"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2020","40,500.0","43,500.0","43,700.0","40,500.0","2.39M","-6.90%"
"Jun 10, 2020","43,500.0","43,100.0","44,100.0","42,500.0","1.30M","0.35%"
"Jun 09, 2020","43,350.0","44,100.0","44,100.0","43,300.0","1.12M","-1.48%"
"Jun 08, 2020","44,000.0","42,700.0","44,000.0","42,500.0","2.49M","4.51%"
"Jun 05, 2020","42,100.0","41,800.0","42,200.0","41,250.0","1.22M","0.72%"
"Jun 04, 2020","41,800.0","41,200.0","42,300.0","41,100.0","2.01M","1.95%"
"Jun 03, 2020","41,000.0","40,900.0","41,200.0","40,500.0","896.13K","1.11%"
"Jun 02, 2020","40,550.0","41,500.0","41,900.0","40,500.0","1.50M","-2.17%"
"Jun 01, 2020","41,450.0","40,300.0","41,550.0","40,250.0","1.10M","3.37%"
"May 29, 2020","40,100.0","40,400.0","40,500.0","39,800.0","1.67M","-1.47%"
"May 28, 2020","40,700.0","40,000.0","40,950.0","39,800.0","1.91M","2.26%"
"May 27, 2020","39,800.0","42,750.0","42,750.0","39,800.0","2.29M","-5.24%"
"May 26, 2020","42,000.0","39,750.0","42,000.0","39,750.0","2.95M","5.93%"
"May 25, 2020","39,650.0","39,300.0","39,800.0","39,000.0","888.30K","0.89%"
"May 22, 2020","39,300.0","39,700.0","40,000.0","39,300.0","1.14M","-1.01%"
"May 21, 2020","39,700.0","39,500.0","40,150.0","39,450.0","2.47M","1.40%"
"May 20, 2020","39,150.0","39,000.0","39,300.0","38,500.0","900.67K","0.13%"
"May 19, 2020","39,100.0","39,900.0","39,900.0","38,900.0","1.69M","0.51%"
"May 18, 2020","38,900.0","38,450.0","38,900.0","38,000.0","1.86M","0.78%"
"May 15, 2020","38,600.0","39,800.0","40,100.0","38,400.0","1.91M","-2.77%"
"May 14, 2020","39,700.0","39,000.0","40,500.0","39,000.0","1.99M","0.25%"
"May 13, 2020","39,600.0","38,300.0","39,800.0","37,800.0","2.73M","2.72%"
"May 12, 2020","38,550.0","38,300.0","38,650.0","37,950.0","1.65M","0.13%"
"May 11, 2020","38,500.0","38,500.0","39,000.0","37,950.0","1.21M","1.32%"
"May 08, 2020","38,000.0","37,950.0","39,300.0","37,550.0","2.56M","1.20%"
"May 07, 2020","37,550.0","36,300.0","37,600.0","36,300.0","2.52M","4.31%"
"May 06, 2020","36,000.0","35,450.0","36,000.0","35,300.0","739.32K","1.98%"
"May 05, 2020","35,300.0","35,300.0","35,800.0","35,200.0","427.65K","0.00%"
"May 04, 2020","35,300.0","35,600.0","36,400.0","35,100.0","655.63K","-0.84%"
"Apr 29, 2020","35,600.0","35,000.0","35,900.0","35,000.0","595.49K","1.28%"
"Apr 28, 2020","35,150.0","35,100.0","35,800.0","34,500.0","589.49K","0.14%"
"Apr 27, 2020","35,100.0","36,200.0","36,400.0","35,100.0","1.21M","-2.50%"
"Apr 24, 2020","36,000.0","36,450.0","36,450.0","35,300.0","592.91K","-0.55%"
"Apr 23, 2020","36,200.0","37,000.0","37,200.0","36,100.0","789.93K","0.00%"
"Apr 22, 2020","36,200.0","33,100.0","37,050.0","33,100.0","1.41M","4.32%"
"Apr 21, 2020","34,700.0","36,000.0","36,800.0","34,700.0","2.24M","-6.47%"
"Apr 20, 2020","37,100.0","37,900.0","38,000.0","36,950.0","1.37M","-0.80%"
