tradeDate,Price,OpenPrice,High,Low,Vol.,Change %
"May 08, 2020",110.02,108.31,110.79,107.2,62010.0,1.58
"May 07, 2020",108.31,106.65,108.36,106.58,37460.0,1.55
"May 06, 2020",106.66,105.37,106.66,104.78,51290.0,1.19
"May 05, 2020",105.41,105.68,106.15,105.11,26210.0,-0.29
"May 04, 2020",105.72,106.84,106.87,105.49,40340.0,-1.05
"Apr 29, 2020",106.84,106.3,106.85,105.9,47880.0,0.55
"Apr 28, 2020",106.26,106.3,106.68,104.89,40490.0,-0.04
"Apr 27, 2020",106.3,106.98,107.59,105.92,37760.0,-0.63
"Apr 24, 2020",106.97,106.99,107.12,105.92,43450.0,0.00
"Apr 23, 2020",106.97,106.78,108.57,106.5,47110.0,0.16
"Apr 22, 2020",106.8,104.71,107.28,102.28,44260.0,2.01
"Apr 21, 2020",104.7,109.7,109.72,104.4,73160.0,-4.54
"Apr 20, 2020",109.68,110.48,111.27,109.66,67800.0,-0.71
"Apr 17, 2020",110.46,108.73,110.61,108.18,51250.0,1.57
"Apr 16, 2020",108.75,108.33,108.76,107.27,37400.0,0.39
"Apr 15, 2020",108.33,107.15,108.9,106.78,48850.0,1.10
"Apr 14, 2020",107.15,107.16,107.45,105.66,50340.0,-0.01
"Apr 13, 2020",107.16,106.2,108.02,103.1,35850.0,0.92
"Apr 10, 2020",106.18,105.08,107.33,101.58,49910.0,1.05
"Apr 09, 2020",105.08,107.14,107.2,103.65,48030.0,1.11
"Apr 08, 2020",103.93,103.16,103.93,101.6,41280.0,0.48
"Apr 07, 2020",103.43,103.43,104.21,102.02,56480.0,0.16
"Apr 06, 2020",103.26,98.1,103.26,97.96,61220.0,5.54
"Apr 03, 2020",97.84,95.62,98.17,94.81,44070.0,2.33
"Apr 01, 2020",95.61,92.42,95.91,92.21,32710.0,3.21
"Mar 31, 2020",92.64,93.06,94.98,91.58,49580.0,-0.69
"Mar 30, 2020",93.28,97.3,97.3,92.65,39710.0,-4.18
"Mar 27, 2020",97.35,97.85,98.32,96.39,40600.0,-0.47
"Mar 26, 2020",97.81,100.07,100.3,97.66,40970.0,-2.28
"Mar 25, 2020",100.09,97.01,100.44,96.99,42910.0,3.24
"Mar 24, 2020",96.95,96.45,97.37,95.9,51420.0,0.51
"Mar 23, 2020",96.46,101.52,101.52,96.08,64720.0,-5.24
"Mar 20, 2020",101.79,101.03,104.69,100.31,50030.0,0.79
"Mar 19, 2020",100.99,101.84,101.96,99.83,87550.0,-0.83
"Mar 18, 2020",101.84,100.75,102.55,100.64,66000.0,1.11
"Mar 17, 2020",100.72,99.64,101.05,96.79,47420.0,1.10
"Mar 16, 2020",99.62,101.4,101.85,98.9,40690.0,-1.74
"Mar 13, 2020",101.38,101.99,102.24,97.07,84570.0,-0.53
"Mar 12, 2020",101.92,105.54,105.54,100.54,74710.0,-3.41
"Mar 11, 2020",105.52,106.2,107.97,102.5,71620.0,-0.64
"Mar 10, 2020",106.2,104.87,108.25,103.35,62290.0,-0.13
"Mar 09, 2020",106.34,113.64,113.64,105.75,54700.0,-6.44
"Mar 06, 2020",113.66,115.03,115.03,112.88,50490.0,-1.19
"Mar 05, 2020",115.03,114.03,116.67,114.03,110890.0,0.89
"Mar 04, 2020",114.02,112.6,114.02,111.81,87830.0,1.28
"Mar 03, 2020",112.58,110.86,113.4,110.78,78360.0,1.73
"Mar 02, 2020",110.67,109.58,110.77,108.15,78120.0,0.99
"Feb 28, 2020",109.58,108.9,109.69,104.87,65540.0,0.29
"Feb 27, 2020",109.26,106.61,109.38,105.69,41780.0,2.49
"Feb 26, 2020",106.61,106.66,107.34,105.08,52900.0,-0.05
"Feb 25, 2020",106.66,104.08,106.68,102.48,42520.0,2.38
