tradeDate;Price;OpenPrice;High;Low;Vol.;Change %
Jun 11, 2020;40500.0;43500.0;43700.0;40500.0;2390000.0;-6.90
Jun 10, 2020;43500.0;43100.0;44100.0;42500.0;1300000.0;0.35
Jun 09, 2020;43350.0;44100.0;44100.0;43300.0;1120000.0;-1.48
Jun 08, 2020;44000.0;42700.0;44000.0;42500.0;2490000.0;4.51
Jun 05, 2020;42100.0;41800.0;42200.0;41250.0;1220000.0;0.72
Jun 04, 2020;41800.0;41200.0;42300.0;41100.0;2009999.9999999998;1.95
Jun 03, 2020;41000.0;40900.0;41200.0;40500.0;896130.0;1.11
Jun 02, 2020;40550.0;41500.0;41900.0;40500.0;1500000.0;-2.17
Jun 01, 2020;41450.0;40300.0;41550.0;40250.0;1100000.0;3.37
May 29, 2020;40100.0;40400.0;40500.0;39800.0;1670000.0;-1.47
May 28, 2020;40700.0;40000.0;40950.0;39800.0;1910000.0;2.26
May 27, 2020;39800.0;42750.0;42750.0;39800.0;2290000.0;-5.24
May 26, 2020;42000.0;39750.0;42000.0;39750.0;2950000.0;5.93
May 25, 2020;39650.0;39300.0;39800.0;39000.0;888300.0;0.89
May 22, 2020;39300.0;39700.0;40000.0;39300.0;1140000.0;-1.01
May 21, 2020;39700.0;39500.0;40150.0;39450.0;2470000.0;1.40
May 20, 2020;39150.0;39000.0;39300.0;38500.0;900670.0;0.13
May 19, 2020;39100.0;39900.0;39900.0;38900.0;1690000.0;0.51
May 18, 2020;38900.0;38450.0;38900.0;38000.0;1860000.0;0.78
May 15, 2020;38600.0;39800.0;40100.0;38400.0;1910000.0;-2.77
May 14, 2020;39700.0;39000.0;40500.0;39000.0;1990000.0;0.25
May 13, 2020;39600.0;38300.0;39800.0;37800.0;2730000.0;2.72
May 12, 2020;38550.0;38300.0;38650.0;37950.0;1650000.0;0.13
May 11, 2020;38500.0;38500.0;39000.0;37950.0;1210000.0;1.32
May 08, 2020;38000.0;37950.0;39300.0;37550.0;2560000.0;1.20
May 07, 2020;37550.0;36300.0;37600.0;36300.0;2520000.0;4.31
