tradeDate;Price;OpenPrice;High;Low;Vol.;Change %
Jun 11, 2020;49200.0;52800.0;52800.0;49150.0;1530000.0;-6.82
Jun 10, 2020;52800.0;52600.0;53000.0;51400.0;1130000.0;0.76
Jun 09, 2020;52400.0;51000.0;53000.0;50900.0;2260000.0;3.56
Jun 08, 2020;50600.0;50200.0;51500.0;50100.0;1400000.0;1.71
Jun 05, 2020;49750.0;49850.0;49850.0;49100.0;669340.0;-0.20
Jun 04, 2020;49850.0;50000.0;50700.0;49750.0;690490.0;-0.10
Jun 03, 2020;49900.0;50000.0;50300.0;49400.0;1060000.0;0.00
Jun 02, 2020;49900.0;51000.0;51100.0;49900.0;1120000.0;-1.58
Jun 01, 2020;50700.0;50100.0;51200.0;50100.0;710180.0;1.50
May 29, 2020;49950.0;50200.0;50400.0;49700.0;865840.0;-0.89
May 28, 2020;50400.0;50500.0;51100.0;49800.0;771840.0;-0.20
May 27, 2020;50500.0;52500.0;53200.0;50500.0;1800000.0;-2.88
May 26, 2020;52000.0;49400.0;52400.0;49250.0;2160000.0;5.05
May 25, 2020;49500.0;49200.0;49750.0;49000.0;618230.0;0.71
May 22, 2020;49150.0;49700.0;50400.0;49100.0;891980.0;-1.90
May 21, 2020;50100.0;49900.0;51000.0;49500.0;1350000.0;1.21
May 20, 2020;49500.0;48550.0;50000.0;48300.0;873620.0;1.85
May 19, 2020;48600.0;50100.0;50100.0;48500.0;999630.0;-0.41
May 18, 2020;48800.0;48500.0;49200.0;48000.0;619780.0;1.14
May 15, 2020;48250.0;49900.0;50300.0;48200.0;932240.0;-2.92
May 14, 2020;49700.0;49500.0;51000.0;49500.0;963990.0;-1.58
May 13, 2020;50500.0;49700.0;52500.0;48550.0;1090000.0;1.41
May 12, 2020;49800.0;47900.0;50000.0;47500.0;1470000.0;3.43
May 11, 2020;48150.0;48450.0;48800.0;48000.0;917750.0;0.52
May 08, 2020;47900.0;47000.0;49400.0;47000.0;1650000.0;2.02
May 07, 2020;46950.0;46500.0;47500.0;46000.0;874170.0;0.97
May 06, 2020;46500.0;45200.0;46500.0;44500.0;587550.0;3.33
May 05, 2020;45000.0;44000.0;45000.0;44000.0;361060.0;2.04
May 04, 2020;44100.0;46000.0;46450.0;44100.0;449700.0;-4.55
Apr 29, 2020;46200.0;45600.0;46500.0;45600.0;312690.0;0.22
Apr 28, 2020;46100.0;46300.0;46900.0;45100.0;433680.0;-0.75
Apr 27, 2020;46450.0;48000.0;48000.0;46450.0;287510.0;-1.17
Apr 24, 2020;47000.0;47500.0;47500.0;46400.0;307960.0;-0.63
Apr 23, 2020;47300.0;47900.0;48350.0;47000.0;607220.0;0.64
Apr 22, 2020;47000.0;44100.0;48000.0;44100.0;398660.0;3.07
Apr 21, 2020;45600.0;47000.0;47600.0;45600.0;608330.0;-4.70
Apr 20, 2020;47850.0;48100.0;48450.0;47200.0;893750.0;-1.24
Apr 17, 2020;48450.0;49000.0;49000.0;47500.0;758580.0;0.41
Apr 16, 2020;48250.0;48500.0;48600.0;47200.0;448560.0;-0.72
Apr 15, 2020;48600.0;47000.0;49100.0;46900.0;699600.0;5.19
Apr 14, 2020;46200.0;46250.0;46600.0;45200.0;558310.0;-0.11
Apr 13, 2020;46250.0;47000.0;47600.0;45900.0;688640.0;0.54
Apr 10, 2020;46000.0;47000.0;48100.0;45550.0;750810.0;-2.54
Apr 09, 2020;47200.0;47800.0;49600.0;47000.0;803850.0;-1.26
Apr 08, 2020;47800.0;46000.0;49500.0;44800.0;993810.0;0.00
Apr 07, 2020;47800.0;45500.0;47900.0;44700.0;851500.0;5.64
Apr 06, 2020;45250.0;42400.0;45250.0;42350.0;1130000.0;6.97
Apr 03, 2020;42300.0;40500.0;42300.0;40500.0;1120000.0;6.95
Apr 01, 2020;39550.0;37000.0;39550.0;36900.0;640300.0;6.89
Mar 31, 2020;37000.0;36000.0;37700.0;35700.0;805060.0;2.78
Mar 30, 2020;36000.0;35700.0;37800.0;35350.0;539450.0;-5.26
Mar 27, 2020;38000.0;40000.0;40800.0;38000.0;891510.0;-3.80
Mar 26, 2020;39500.0;37800.0;39500.0;37500.0;1360000.0;6.90
Mar 25, 2020;36950.0;36450.0;36950.0;36200.0;572360.0;6.95
Mar 24, 2020;34550.0;33000.0;34550.0;32500.0;656590.0;6.97
Mar 23, 2020;32300.0;35000.0;35000.0;32300.0;719140.0;-6.92
Mar 20, 2020;34700.0;37100.0;37800.0;34700.0;1740000.0;-6.47
Mar 19, 2020;37100.0;38800.0;38800.0;36800.0;410470.0;-4.87
Mar 18, 2020;39000.0;39700.0;40200.0;39000.0;359810.0;0.00
Mar 17, 2020;39000.0;38000.0;40000.0;36500.0;259670.00000000003;1.30
Mar 16, 2020;38500.0;40500.0;41000.0;38500.0;256329.99999999997;-4.82
Mar 13, 2020;40450.0;39500.0;42000.0;39500.0;771590.0;-4.71
Mar 12, 2020;42450.0;42800.0;45000.0;42450.0;333240.0;-6.91
Mar 11, 2020;45600.0;48700.0;50600.0;45300.0;333320.0;-6.37
Mar 10, 2020;48700.0;48300.0;52000.0;47750.0;379820.0;-5.07
Mar 09, 2020;51300.0;51500.0;52000.0;51300.0;223930.0;-6.90
Mar 06, 2020;55100.0;55000.0;55500.0;54600.0;140150.0;-0.18
Mar 05, 2020;55200.0;56200.0;56200.0;55100.0;180900.0;-0.90
Mar 04, 2020;55700.0;55700.0;55700.0;55000.0;98150.0;0.00
Mar 03, 2020;55700.0;55500.0;55800.0;54900.0;134260.0;1.83
Mar 02, 2020;54700.0;54900.0;55500.0;54700.0;150220.0;-0.36
Feb 28, 2020;54900.0;55000.0;55500.0;54500.0;225310.0;-2.66
Feb 27, 2020;56400.0;55600.0;56400.0;54600.0;240770.0;1.62
Feb 26, 2020;55500.0;55700.0;56600.0;55500.0;258550.0;-2.46
Feb 25, 2020;56900.0;55500.0;56900.0;55500.0;98010.0;1.61
Feb 24, 2020;56000.0;54500.0;57500.0;54500.0;211810.0;-4.27
Feb 21, 2020;58500.0;57500.0;59800.0;57500.0;369290.0;1.74
Feb 20, 2020;57500.0;56400.0;58000.0;56400.0;281140.0;1.95
Feb 19, 2020;56400.0;56100.0;57000.0;55500.0;159970.0;0.53
Feb 18, 2020;56100.0;57300.0;57300.0;56000.0;313670.0;-0.53
Feb 17, 2020;56400.0;57000.0;57500.0;56400.0;178000.0;-1.05
Feb 14, 2020;57000.0;57500.0;57700.0;57000.0;215320.0;-0.87
Feb 13, 2020;57500.0;58300.0;58300.0;57300.0;145610.0;0.00
Feb 12, 2020;57500.0;59300.0;59300.0;57400.0;192330.0;-0.52
Feb 11, 2020;57800.0;57500.0;58000.0;57300.0;210080.0;0.52
Feb 10, 2020;57500.0;59700.0;59700.0;57200.0;208410.0;-3.85
Feb 07, 2020;59800.0;59600.0;59800.0;58600.0;158980.0;2.40
Feb 06, 2020;58400.0;58000.0;58400.0;57100.0;176570.0;2.82
Feb 05, 2020;56800.0;55900.0;57100.0;55800.0;298760.0;1.97
Feb 04, 2020;55700.0;55100.0;57000.0;55100.0;312880.0;0.18
Feb 03, 2020;55600.0;55000.0;58200.0;54700.0;270730.0;-5.44
Jan 31, 2020;58800.0;63100.0;64600.0;58800.0;176570.0;-6.81
Jan 30, 2020;63100.0;65900.0;66000.0;62500.0;335430.0;-5.82
Jan 22, 2020;67000.0;65300.0;67000.0;65200.0;156250.0;1.67
Jan 21, 2020;65900.0;65800.0;65900.0;65200.0;119020.0;0.76
Jan 20, 2020;65400.0;65900.0;66200.0;65100.0;107680.0;-0.76
Jan 17, 2020;65900.0;66100.0;66100.0;65700.0;131930.0;-0.15
Jan 16, 2020;66000.0;65800.0;66300.0;65800.0;157100.0;0.15
Jan 15, 2020;65900.0;66400.0;66400.0;65300.0;92440.0;-0.15
Jan 14, 2020;66000.0;66500.0;67000.0;65000.0;171640.0;-1.05
Jan 13, 2020;66700.0;66900.0;67000.0;66500.0;63230.0;-0.45
Jan 10, 2020;67000.0;66000.0;67300.0;65000.0;136260.0;2.92
Jan 09, 2020;65100.0;67200.0;67200.0;65100.0;157250.0;-1.36
Jan 08, 2020;66000.0;66900.0;66900.0;65700.0;163230.0;-2.22
Jan 07, 2020;67500.0;67900.0;68000.0;67400.0;67160.0;-0.15
Jan 06, 2020;67600.0;68300.0;68500.0;67600.0;129160.0;-1.46
Jan 03, 2020;68600.0;69400.0;69400.0;68500.0;59290.0;-0.58
Jan 02, 2020;69000.0;68600.0;69500.0;68600.0;87010.0;0.58
Dec 31, 2019;68600.0;69100.0;70500.0;68600.0;85290.0;-1.15
Dec 30, 2019;69400.0;69000.0;69500.0;68500.0;137330.0;0.87
Dec 27, 2019;68800.0;67900.0;69900.0;67900.0;126510.0;1.18
Dec 26, 2019;68000.0;68600.0;68700.0;67500.0;182140.0;-1.02
Dec 25, 2019;68700.0;69600.0;70200.0;68700.0;165220.0;-1.29
Dec 24, 2019;69600.0;72000.0;72500.0;69400.0;185890.0;-3.33
Dec 23, 2019;72000.0;72500.0;73300.0;72000.0;325140.0;-0.69
Dec 20, 2019;72500.0;71500.0;73600.0;71500.0;957620.0;1.40
Dec 19, 2019;71500.0;74100.0;74400.0;71500.0;193310.0;-2.05
Dec 18, 2019;73000.0;72200.0;74600.0;71600.0;292770.0;1.11
Dec 17, 2019;72200.0;73500.0;74400.0;72200.0;378650.0;-0.69
Dec 16, 2019;72700.0;68600.0;72700.0;68000.0;434040.0;6.91
Dec 13, 2019;68000.0;68000.0;68300.0;67000.0;137540.0;0.00
Dec 12, 2019;68000.0;67700.0;68400.0;67600.0;169360.0;0.00
Dec 11, 2019;68000.0;68100.0;68500.0;67500.0;91410.0;0.44
Dec 10, 2019;67700.0;66000.0;68900.0;66000.0;267860.0;3.04
Dec 09, 2019;65700.0;66000.0;66000.0;65400.0;120840.0;-0.15
Dec 06, 2019;65800.0;66200.0;66200.0;65000.0;108190.0;-0.60
Dec 05, 2019;66200.0;66800.0;67700.0;66000.0;105160.0;-0.90
Dec 04, 2019;66800.0;66700.0;67100.0;65100.0;130449.99999999999;0.15
Dec 03, 2019;66700.0;68100.0;68800.0;66500.0;199420.0;-2.63
Dec 02, 2019;68500.0;70900.0;70900.0;68500.0;88870.0;-2.56
Nov 29, 2019;70300.0;70100.0;70400.0;69800.0;67070.0;0.29
Nov 28, 2019;70100.0;70800.0;71500.0;69900.0;114250.0;-1.27
Nov 27, 2019;71000.0;71400.0;71900.0;71000.0;108940.0;-0.56
Nov 26, 2019;71400.0;71900.0;72400.0;71400.0;121720.0;-0.97
Nov 25, 2019;72100.0;71000.0;72200.0;70900.0;112070.0;1.69
Nov 22, 2019;70900.0;71000.0;71700.0;70400.0;135120.0;0.57
Nov 21, 2019;70500.0;71600.0;72000.0;70500.0;195650.0;-2.22
Nov 20, 2019;72100.0;72200.0;72300.0;71900.0;118680.0;-0.55
Nov 19, 2019;72500.0;73000.0;73000.0;72400.0;179930.0;-0.68
Nov 18, 2019;73000.0;73000.0;73500.0;72900.0;110590.0;-0.27
Nov 15, 2019;73200.0;73000.0;73900.0;72700.0;118990.0;0.97
Nov 14, 2019;72500.0;71612.0;72599.0;71612.0;105870.0;0.68
Nov 13, 2019;72007.0;72993.0;72993.0;71612.0;194320.0;-1.08
Nov 12, 2019;72796.0;72599.0;72993.0;72007.0;136550.0;0.27
Nov 11, 2019;72599.0;72599.0;73289.0;72204.0;135680.0;0.00
