tradeDate;Price;OpenPrice;High;Low;Vol.;Change %
Jun 11, 2020;67000.0;69000.0;73000.0;67000.0;596480.0;-3.46
Jun 10, 2020;69400.0;69000.0;69900.0;67500.0;418980.0;-1.56
Jun 09, 2020;70500.0;71500.0;71700.0;70300.0;453560.0;-1.95
Jun 08, 2020;71900.0;72000.0;72800.0;71000.0;630860.0;-1.78
Jun 05, 2020;73200.0;72000.0;75000.0;72000.0;323220.0;1.67
Jun 04, 2020;72000.0;67300.0;72000.0;67300.0;542240.0;6.98
Jun 03, 2020;67300.0;67000.0;69900.0;66900.0;1540000.0;-6.40
Jun 02, 2020;71900.0;77300.0;77700.0;71900.0;844250.0;-6.99
Jun 01, 2020;77300.0;75900.0;78000.0;75100.0;447410.0;1.71
May 29, 2020;76000.0;75000.0;76800.0;75000.0;238500.0;-1.04
May 28, 2020;76800.0;74500.0;78500.0;74500.0;479930.0;3.64
May 27, 2020;74100.0;69900.0;74100.0;69600.0;1200000.0;6.93
May 26, 2020;69300.0;68800.0;69900.0;67800.0;377220.0;1.91
May 25, 2020;68000.0;68100.0;68400.0;67500.0;207710.0;-0.15
May 22, 2020;68100.0;69500.0;69900.0;68000.0;274320.0;-2.01
May 21, 2020;69500.0;69800.0;70500.0;68000.0;274820.0;-0.29
May 20, 2020;69700.0;66700.0;70400.0;66700.0;354870.0;2.50
May 19, 2020;68000.0;68500.0;70600.0;68000.0;333030.0;-0.73
May 18, 2020;68500.0;67500.0;68600.0;66400.0;274500.0;2.24
May 15, 2020;67000.0;69000.0;70500.0;67000.0;420700.0;-2.90
May 14, 2020;69000.0;69900.0;70700.0;69000.0;303350.0;-2.27
May 13, 2020;70600.0;69000.0;72400.0;67500.0;482130.0;2.32
May 12, 2020;69000.0;66000.0;69000.0;65100.0;400210.0;4.07
May 11, 2020;66300.0;66300.0;67400.0;65600.0;288520.0;1.22
May 08, 2020;65500.0;67200.0;68200.0;65400.0;496840.0;-2.24
May 07, 2020;67000.0;66000.0;68200.0;66000.0;340880.0;2.76
May 06, 2020;65200.0;61000.0;65200.0;61000.0;350690.0;6.89
May 05, 2020;61000.0;61000.0;61700.0;59500.0;181260.0;0.00
May 04, 2020;61000.0;62500.0;62700.0;61000.0;258519.99999999997;-2.71
Apr 29, 2020;62700.0;62700.0;63800.0;62500.0;243670.0;-1.72
Apr 28, 2020;63800.0;63500.0;64500.0;62000.0;250210.0;-0.31
Apr 27, 2020;64000.0;61500.0;64000.0;61500.0;467190.0;5.61
