tradeDate;Price;OpenPrice;High;Low;Vol.;Change %
Jun 11, 2020;22950.0;24700.0;24800.0;22950.0;9260000.0;-6.90
Jun 10, 2020;24650.0;24200.0;25000.0;24100.0;8250000.0;1.86
Jun 09, 2020;24200.0;25000.0;25000.0;24200.0;6700000.0;-2.81
Jun 08, 2020;24900.0;24850.0;25200.0;24600.0;7060000.0;1.84
Jun 05, 2020;24450.0;24500.0;24700.0;24200.0;5420000.0;-0.81
Jun 04, 2020;24650.0;24200.0;24900.0;24100.0;8950000.0;2.71
Jun 03, 2020;24000.0;23600.0;24050.0;23550.0;6900000.0;2.35
Jun 02, 2020;23450.0;23800.0;24300.0;23400.0;9590000.0;-0.21
Jun 01, 2020;23500.0;22800.0;23500.0;22700.0;7120000.0;4.44
May 29, 2020;22500.0;22450.0;22700.0;22450.0;3560000.0;-0.22
May 28, 2020;22550.0;22550.0;22950.0;22350.0;5940000.0;0.67
May 27, 2020;22400.0;23300.0;23450.0;22400.0;8420000.0;-3.24
May 26, 2020;23150.0;23050.0;23300.0;22850.0;6280000.0;0.43
May 25, 2020;23050.0;22900.0;23350.0;22700.0;6730000.0;1.10
May 22, 2020;22800.0;22800.0;23600.0;22650.0;7640000.0;-0.65
May 21, 2020;22950.0;22350.0;23250.0;22300.0;10620000.0;2.91
May 20, 2020;22300.0;22000.0;22300.0;21900.0;5340000.0;0.00
May 19, 2020;22300.0;22000.0;22450.0;21800.0;11020000.0;4.45
May 18, 2020;21350.0;20950.0;21350.0;20700.0;5200000.0;2.15
May 15, 2020;20900.0;21550.0;21600.0;20850.0;7300000.0;-2.11
May 14, 2020;21350.0;21400.0;21750.0;21350.0;5830000.0;-1.39
May 13, 2020;21650.0;21400.0;21950.0;21150.0;6960000.0;0.00
May 12, 2020;21650.0;21150.0;21800.0;20850.0;6580000.0;1.88
May 11, 2020;21250.0;21450.0;21550.0;20900.0;7650000.0;1.67
May 08, 2020;20900.0;20700.0;21650.0;20600.0;12670000.0;2.45
May 07, 2020;20400.0;20200.0;20650.0;20100.0;7520000.0;0.99
May 06, 2020;20200.0;19950.0;20300.0;19550.0;6890000.0;1.76
May 05, 2020;19850.0;20050.0;20150.0;19650.0;2980000.0;-1.00
May 04, 2020;20050.0;19750.0;20450.0;19550.0;7530000.0;0.25
Apr 29, 2020;20000.0;19300.0;20000.0;19100.0;9340000.0;4.99
Apr 28, 2020;19050.0;18850.0;19300.0;18700.0;3940000.0;1.06
Apr 27, 2020;18850.0;19400.0;19400.0;18850.0;4310000.0;-1.82
Apr 24, 2020;19200.0;19200.0;19300.0;19000.0;2870000.0;0.00
Apr 23, 2020;19200.0;19500.0;19700.0;19200.0;2950000.0;-0.26
Apr 22, 2020;19250.0;18400.0;19700.0;18400.0;6360000.0;2.39
Apr 21, 2020;18800.0;19650.0;19750.0;18750.0;9300000.0;-5.29
Apr 20, 2020;19850.0;20300.0;20450.0;19850.0;6290000.0;-1.24
Apr 17, 2020;20100.0;20500.0;20500.0;20000.0;8580000.0;1.52
Apr 16, 2020;19800.0;19600.0;19900.0;19400.0;3710000.0;-0.25
Apr 15, 2020;19850.0;19200.0;19950.0;19200.0;6760000.0;3.39
Apr 14, 2020;19200.0;19550.0;19750.0;18800.0;7390000.0;-2.04
Apr 13, 2020;19600.0;19400.0;20000.0;19250.0;4179999.9999999995;0.77
Apr 10, 2020;19450.0;19800.0;20100.0;19300.0;5700000.0;-1.77
Apr 09, 2020;19800.0;20000.0;20350.0;19800.0;7270000.0;0.51
Apr 08, 2020;19700.0;19300.0;20000.0;19100.0;4640000.0;-0.76
Apr 07, 2020;19850.0;20200.0;20250.0;19600.0;7260000.0;-1.24
Apr 06, 2020;20100.0;19300.0;20100.0;19000.0;10560000.0;6.91
Apr 03, 2020;18800.0;18600.0;19000.0;18500.0;4630000.0;2.73
Apr 01, 2020;18300.0;17000.0;18350.0;17000.0;5510000.0;6.40
Mar 31, 2020;17200.0;18000.0;18500.0;16600.0;6100000.0;-2.82
Mar 30, 2020;17700.0;17850.0;18000.0;17700.0;7330000.0;-6.84
Mar 27, 2020;19000.0;19050.0;19100.0;18700.0;6260000.0;1.06
Mar 26, 2020;18800.0;19050.0;19600.0;18800.0;5120000.0;-3.84
Mar 25, 2020;19550.0;19000.0;19550.0;18800.0;7040000.0;6.83
Mar 24, 2020;18300.0;18450.0;18700.0;17650.0;6360000.0;-0.81
Mar 23, 2020;18450.0;18800.0;19000.0;18450.0;6450000.0;-6.82
