tradeDate;Price;OpenPrice;High;Low;Vol.;Change %
Jun 11, 2020;18000.0;18100.0;18150.0;17850.0;185650.0;-0.55
Jun 10, 2020;18100.0;18150.0;18150.0;17800.0;95310.0;0.00
Jun 09, 2020;18100.0;17750.0;18300.0;17750.0;139250.0;1.97
Jun 08, 2020;17750.0;17900.0;18200.0;17700.0;453800.0;0.28
Jun 05, 2020;17700.0;17800.0;18000.0;17650.0;447980.0;0.28
Jun 04, 2020;17650.0;17600.0;17950.0;17600.0;328350.0;0.00
Jun 03, 2020;17650.0;17700.0;18150.0;17600.0;213440.0;0.28
Jun 02, 2020;17600.0;17450.0;18000.0;17450.0;425640.0;0.86
Jun 01, 2020;17450.0;17450.0;18100.0;17100.0;229560.0;0.87
May 29, 2020;17300.0;17000.0;17600.0;17000.0;362450.0;2.37
May 28, 2020;16900.0;17200.0;17600.0;16900.0;502180.0;-1.74
May 27, 2020;17200.0;17000.0;17600.0;17000.0;471440.0;1.78
May 26, 2020;16900.0;16800.0;17100.0;16800.0;382380.0;0.00
May 25, 2020;16900.0;16700.0;17150.0;16500.0;389240.0;0.00
May 22, 2020;16900.0;16700.0;17500.0;16550.0;641700.0;-2.87
May 21, 2020;17400.0;16400.0;17400.0;16300.0;968450.0;6.75
May 20, 2020;16300.0;16200.0;16600.0;16050.0;363970.0;0.31
May 19, 2020;16250.0;15800.0;16450.0;15800.0;430260.0;3.17
May 18, 2020;15750.0;15400.0;15750.0;15300.0;518890.0;1.61
May 15, 2020;15500.0;15300.0;15600.0;15250.0;436860.0;0.98
May 14, 2020;15350.0;15050.0;15450.0;15050.0;739600.0;0.66
May 13, 2020;15250.0;15250.0;15300.0;14200.0;500730.0;0.00
May 12, 2020;15250.0;15350.0;15450.0;15000.0;209410.0;-0.97
May 11, 2020;15400.0;15250.0;15500.0;15150.0;186110.0;0.98
May 08, 2020;15250.0;15050.0;15550.0;15050.0;463060.0;0.99
May 07, 2020;15100.0;15150.0;15150.0;14850.0;222720.0;0.67
May 06, 2020;15000.0;15000.0;15000.0;14800.0;823590.0;0.00
May 05, 2020;15000.0;15050.0;15050.0;14700.0;490590.0;-0.33
May 04, 2020;15050.0;14800.0;15100.0;14800.0;284550.0;0.33
Apr 29, 2020;15000.0;14900.0;15150.0;14900.0;443860.0;-0.99
Apr 28, 2020;15150.0;15000.0;15150.0;14850.0;223530.0;0.33
Apr 27, 2020;15100.0;15100.0;15300.0;14850.0;438480.0;-1.31
Apr 24, 2020;15300.0;15150.0;15400.0;15150.0;191720.0;0.00
Apr 23, 2020;15300.0;15600.0;15700.0;15300.0;221620.0;-0.65
Apr 22, 2020;15400.0;14950.0;15600.0;14950.0;821030.0;1.65
Apr 21, 2020;15150.0;15200.0;15300.0;14850.0;248790.0;-0.33
Apr 20, 2020;15200.0;15300.0;15500.0;15100.0;841910.0;0.00
Apr 17, 2020;15200.0;15200.0;15600.0;15000.0;874840.0;0.33
Apr 16, 2020;15150.0;15000.0;15200.0;14950.0;217150.0;0.00
Apr 15, 2020;15150.0;15150.0;15200.0;14900.0;121970.0;0.00
Apr 14, 2020;15150.0;15200.0;15350.0;14950.0;138290.0;-0.33
Apr 13, 2020;15200.0;15150.0;15200.0;14850.0;101110.0;0.33
Apr 10, 2020;15150.0;15050.0;15150.0;14650.0;499740.0;-0.33
Apr 09, 2020;15200.0;15200.0;15300.0;15050.0;259700.0;0.00
Apr 08, 2020;15200.0;14800.0;15450.0;14800.0;263460.0;-1.94
Apr 07, 2020;15500.0;15000.0;15500.0;15000.0;1370000.0;0.00
Apr 06, 2020;15500.0;15200.0;15500.0;14700.0;203550.0;1.97
Apr 03, 2020;15200.0;14850.0;15200.0;14250.0;1310000.0;0.00
Apr 01, 2020;15200.0;14000.0;15200.0;14000.0;532880.0;3.75
Mar 31, 2020;14650.0;15300.0;15650.0;14650.0;625330.0;-6.69
Mar 30, 2020;15700.0;14800.0;15700.0;14650.0;381240.0;0.00
Mar 27, 2020;15700.0;15200.0;15700.0;14500.0;358450.0;1.95
Mar 26, 2020;15400.0;16000.0;16000.0;15150.0;184520.0;-3.75
Mar 25, 2020;16000.0;15700.0;16050.0;15450.0;68370.0;0.00
Mar 24, 2020;16000.0;15100.0;16100.0;15100.0;139440.0;0.00
Mar 23, 2020;16000.0;16000.0;16300.0;14850.0;398180.0;0.31
Mar 20, 2020;15950.0;15650.0;16000.0;15300.0;31860.0;1.92
Mar 19, 2020;15650.0;16000.0;16350.0;15600.0;135020.0;-4.28
Mar 18, 2020;16350.0;16100.0;16350.0;15900.0;848880.0;1.55
Mar 17, 2020;16100.0;15100.0;16200.0;15100.0;371710.0;0.63
Mar 16, 2020;16000.0;16400.0;16400.0;15350.0;312960.0;-2.44
Mar 13, 2020;16400.0;15550.0;16650.0;15550.0;855780.0;-1.80
Mar 12, 2020;16700.0;16100.0;16750.0;15650.0;244060.0;-0.60
Mar 11, 2020;16800.0;16950.0;16950.0;15900.0;198680.0;-0.88
Mar 10, 2020;16950.0;16200.0;17000.0;16200.0;126130.0;-0.29
Mar 09, 2020;17000.0;16100.0;17150.0;16100.0;136890.0;-1.16
Mar 06, 2020;17200.0;17400.0;17400.0;16850.0;405560.0;-0.58
Mar 05, 2020;17300.0;17350.0;17700.0;16750.0;835990.0;-1.14
Mar 04, 2020;17500.0;17650.0;17650.0;17200.0;135790.0;0.00
Mar 03, 2020;17500.0;17250.0;17750.0;17250.0;120610.0;-1.13
Mar 02, 2020;17700.0;16950.0;17800.0;16950.0;364250.0;2.91
Feb 28, 2020;17200.0;17050.0;17300.0;16900.0;140490.0;-0.58
Feb 27, 2020;17300.0;17000.0;17300.0;17000.0;41090.0;0.29
Feb 26, 2020;17250.0;17200.0;17300.0;17000.0;55470.0;0.29
Feb 25, 2020;17200.0;16500.0;17350.0;16500.0;27960.0;0.00
Feb 24, 2020;17200.0;17300.0;17300.0;16500.0;80590.0;-0.58
Feb 21, 2020;17300.0;17300.0;17300.0;16900.0;395070.0;0.58
Feb 20, 2020;17200.0;17450.0;17450.0;17200.0;63830.0;-0.58
Feb 19, 2020;17300.0;17300.0;17400.0;17250.0;25140.0;-0.57
Feb 18, 2020;17400.0;17500.0;17550.0;17300.0;154820.0;0.29
Feb 17, 2020;17350.0;17400.0;17450.0;17250.0;34290.0;0.29
Feb 14, 2020;17300.0;17300.0;17500.0;17200.0;55680.0;-0.57
Feb 13, 2020;17400.0;17300.0;17500.0;17300.0;47470.0;-0.29
Feb 12, 2020;17450.0;17650.0;17650.0;17300.0;105970.0;-0.57
Feb 11, 2020;17550.0;17450.0;17550.0;17200.0;245700.0;0.57
Feb 10, 2020;17450.0;17500.0;17500.0;17150.0;82270.0;-0.29
Feb 07, 2020;17500.0;17700.0;17700.0;17250.0;46160.0;-1.13
Feb 06, 2020;17700.0;17050.0;17700.0;17000.0;70610.0;2.91
Feb 05, 2020;17200.0;17200.0;17550.0;17150.0;138670.0;-1.99
Feb 04, 2020;17550.0;17400.0;17750.0;17100.0;91610.0;-0.85
Feb 03, 2020;17700.0;17350.0;17800.0;16650.0;113880.0;-0.84
Jan 31, 2020;17850.0;17950.0;18000.0;17300.0;63460.0;-0.56
Jan 30, 2020;17950.0;17300.0;18400.0;17000.0;275370.0;2.87
Jan 22, 2020;17450.0;17500.0;17500.0;17200.0;47520.0;-0.29
Jan 21, 2020;17500.0;17800.0;17800.0;17200.0;34150.0;-1.69
Jan 20, 2020;17800.0;17550.0;17850.0;17450.0;86230.0;0.00
Jan 17, 2020;17800.0;17500.0;18000.0;17500.0;751480.0;1.42
Jan 16, 2020;17550.0;17450.0;18000.0;17400.0;76990.0;-2.50
Jan 15, 2020;18000.0;18000.0;18000.0;17500.0;57900.0;0.00
Jan 14, 2020;18000.0;17300.0;18000.0;17250.0;30350.0;0.00
Jan 13, 2020;18000.0;18000.0;18100.0;17300.0;35660.0;0.00
Jan 10, 2020;18000.0;17500.0;18200.0;17500.0;489560.0;3.15
Jan 09, 2020;17450.0;17400.0;17500.0;17200.0;187500.0;0.87
Jan 08, 2020;17300.0;17150.0;17500.0;17150.0;148340.0;-0.86
Jan 07, 2020;17450.0;17500.0;17650.0;17100.0;52990.0;-0.29
Jan 06, 2020;17500.0;17100.0;17650.0;17100.0;56180.0;1.45
Jan 03, 2020;17250.0;17600.0;17700.0;17250.0;17370.0;-2.54
Jan 02, 2020;17700.0;17000.0;17800.0;17000.0;61940.0;-0.56
Dec 31, 2019;17800.0;17800.0;17800.0;16850.0;149850.0;0.00
