tradeDate;Price;OpenPrice;High;Low;Vol.;Change %
Jun 11, 2020;46000.0;48800.0;48800.0;46000.0;4280000.0;-5.74
Jun 10, 2020;48800.0;49000.0;49000.0;48400.0;1310000.0;-0.31
Jun 09, 2020;48950.0;49600.0;49650.0;48900.0;1490000.0;-0.81
Jun 08, 2020;49350.0;49000.0;50000.0;49000.0;4110000.0000000005;1.33
Jun 05, 2020;48700.0;48400.0;48700.0;48150.0;1240000.0;0.62
Jun 04, 2020;48400.0;48900.0;48900.0;48400.0;1260000.0;-0.51
Jun 03, 2020;48650.0;48000.0;48950.0;47900.0;1890000.0;1.35
Jun 02, 2020;48000.0;48300.0;48500.0;48000.0;1460000.0;-0.62
Jun 01, 2020;48300.0;48000.0;48350.0;48000.0;1300000.0;0.73
May 29, 2020;47950.0;48000.0;48100.0;47500.0;1350000.0;-0.10
May 28, 2020;48000.0;48200.0;48600.0;48000.0;1190000.0;0.00
May 27, 2020;48000.0;48900.0;49400.0;48000.0;2100000.0;-1.64
May 26, 2020;48800.0;48500.0;48800.0;48350.0;1620000.0;0.72
May 25, 2020;48450.0;48500.0;48600.0;47800.0;2029999.9999999998;0.00
May 22, 2020;48450.0;49000.0;49000.0;48450.0;1730000.0;-1.72
May 21, 2020;49300.0;48900.0;49300.0;48850.0;2009999.9999999998;0.82
May 20, 2020;48900.0;49000.0;49000.0;48550.0;1250000.0;-0.71
May 19, 2020;49250.0;49200.0;49700.0;48600.0;2880000.0;1.86
May 18, 2020;48350.0;47500.0;48350.0;47400.0;2000000.0;0.73
May 15, 2020;48000.0;48300.0;48900.0;47750.0;2430000.0;-1.44
May 14, 2020;48700.0;48950.0;49100.0;48500.0;2600000.0;-1.32
May 13, 2020;49350.0;47500.0;49550.0;47400.0;6850000.0;6.02
May 12, 2020;46548.2;46205.9;46548.2;45863.6;3250000.0;0.74
May 11, 2020;46205.9;46205.9;46548.2;45606.9;2440000.0;0.56
May 08, 2020;45949.2;45863.6;47147.1;45863.6;4120000.0;0.37
May 07, 2020;45778.1;45350.2;45778.1;44836.8;2340000.0;1.13
May 06, 2020;45264.7;43638.9;45435.8;43638.9;3990000.0;3.93
May 05, 2020;43553.3;43467.8;43638.9;43125.5;779690.0;0.79
May 04, 2020;43211.1;42954.4;43553.3;42612.1;1030000.0;-0.59
Apr 29, 2020;43467.8;43467.8;43981.2;43211.1;1550000.0;0.20
Apr 28, 2020;43382.2;43382.2;43467.8;42954.4;1120000.0;0.00
Apr 27, 2020;43382.2;44066.7;44066.7;43211.1;1630000.0;-0.59
Apr 24, 2020;43638.9;43553.3;43810.0;42868.8;1620000.0;0.00
Apr 23, 2020;43638.9;44580.1;44665.7;43638.9;1570000.0;-0.20
Apr 22, 2020;43724.5;41756.5;43810.0;41670.9;2810000.0;3.65
Apr 21, 2020;42184.3;43211.1;43553.3;41842.0;4300000.0;-3.90
