tradeDate;Price;OpenPrice;High;Low;Vol.;Change %
Jun 11, 2020;27200.0;27800.0;27900.0;26900.0;1800000.0;-2.86
Jun 10, 2020;28000.0;28050.0;28100.0;27400.0;719230.0;-0.18
Jun 09, 2020;28050.0;27400.0;28100.0;27250.0;1000000.0;2.37
Jun 08, 2020;27400.0;27600.0;27900.0;27250.0;1490000.0;-0.36
Jun 05, 2020;27500.0;27400.0;27800.0;26900.0;931870.0;-1.08
Jun 04, 2020;27800.0;28500.0;28700.0;27800.0;943650.0;-2.46
Jun 03, 2020;28500.0;28500.0;28500.0;27000.0;2000000.0;6.94
Jun 02, 2020;26650.0;26650.0;26650.0;26500.0;2240000.0;6.81
Jun 01, 2020;24950.0;24250.0;25000.0;24250.0;890790.0;3.10
May 29, 2020;24200.0;23600.0;24200.0;23250.0;937900.0;2.11
May 28, 2020;23700.0;24000.0;24000.0;23650.0;510180.0;0.00
May 27, 2020;23700.0;24800.0;24800.0;23700.0;850800.0;-2.67
May 26, 2020;24350.0;23700.0;24350.0;23700.0;755080.0;1.04
May 25, 2020;24100.0;24000.0;24400.0;23800.0;942600.0;0.84
May 22, 2020;23900.0;24000.0;24500.0;23850.0;1050000.0;-4.59
May 21, 2020;25050.0;23150.0;25050.0;23150.0;1120000.0;6.82
May 20, 2020;23450.0;23300.0;23550.0;23300.0;435170.0;-0.42
May 19, 2020;23550.0;23700.0;23900.0;23300.0;1320000.0;1.51
May 18, 2020;23200.0;22700.0;23200.0;22550.0;880590.0;1.53
May 15, 2020;22850.0;23000.0;23500.0;22550.0;561390.0;-0.65
May 14, 2020;23000.0;23200.0;23500.0;23000.0;860840.0;-2.95
May 13, 2020;23700.0;22600.0;23900.0;22200.0;2270000.0;4.41
May 12, 2020;22700.0;22550.0;22900.0;22450.0;1020000.0;0.67
May 11, 2020;22550.0;22400.0;22900.0;22000.0;1470000.0;0.67
May 08, 2020;22400.0;21300.0;22750.0;21300.0;2220000.0;5.16
May 07, 2020;21300.0;21800.0;21800.0;21200.0;1200000.0;-0.47
May 06, 2020;21400.0;21600.0;21600.0;21150.0;393860.0;-1.15
May 05, 2020;21650.0;21600.0;21700.0;21100.0;1180000.0;0.46
May 04, 2020;21550.0;20650.0;21650.0;20550.0;1810000.0;4.36
Apr 29, 2020;20650.0;20550.0;20700.0;20450.0;2100000.0;0.49
Apr 28, 2020;20550.0;20500.0;20700.0;20100.0;1660000.0;0.24
Apr 27, 2020;20500.0;20400.0;20800.0;20250.0;1760000.0;-0.49
Apr 24, 2020;20600.0;20600.0;20600.0;20050.0;2080000.0;0.00
Apr 23, 2020;20600.0;21000.0;21200.0;20200.0;2250000.0;-0.96
Apr 22, 2020;20800.0;19500.0;20900.0;19300.0;1490000.0;3.48
Apr 21, 2020;20100.0;20800.0;21000.0;19950.0;2220000.0;-5.85
