tradeDate;Price;OpenPrice;High;Low;Vol.;Change %
Jun 11, 2020;17500.0;18700.0;18850.0;17500.0;9860000.0;-5.91
Jun 10, 2020;18600.0;18050.0;18850.0;17950.0;10290000.0;2.76
Jun 09, 2020;18100.0;18150.0;18200.0;18050.0;5950000.0;0.00
Jun 08, 2020;18100.0;18150.0;18300.0;18050.0;8109999.999999999;1.12
Jun 05, 2020;17900.0;17950.0;18000.0;17800.0;6860000.0;-0.56
Jun 04, 2020;18000.0;18150.0;18300.0;18000.0;8630000.0;-0.28
Jun 03, 2020;18050.0;18000.0;18100.0;17900.0;4400000.0;0.84
Jun 02, 2020;17900.0;18000.0;18300.0;17900.0;14020000.0;0.28
Jun 01, 2020;17850.0;17250.0;18050.0;17250.0;17150000.0;3.78
May 29, 2020;17200.0;17300.0;17300.0;17150.0;4370000.0;-0.58
May 28, 2020;17300.0;17350.0;17500.0;17250.0;3440000.0;0.00
May 27, 2020;17300.0;17800.0;17800.0;17300.0;10810000.0;-1.70
May 26, 2020;17600.0;17400.0;17600.0;17350.0;9160000.0;1.73
May 25, 2020;17300.0;17250.0;17450.0;17200.0;4240000.0;0.29
May 22, 2020;17250.0;17500.0;17650.0;17200.0;7710000.0;-1.99
May 21, 2020;17600.0;17350.0;17650.0;17250.0;8730000.0;1.73
May 20, 2020;17300.0;17250.0;17400.0;17150.0;4059999.9999999995;-0.57
May 19, 2020;17400.0;17400.0;17500.0;17250.0;9170000.0;2.05
May 18, 2020;17050.0;16950.0;17100.0;16800.0;4690000.0;0.59
May 15, 2020;16950.0;17400.0;17450.0;16950.0;8050000.000000001;-2.02
May 14, 2020;17300.0;17300.0;17550.0;17100.0;7370000.0;-1.14
May 13, 2020;17500.0;17400.0;17650.0;17000.0;10540000.0;1.74
May 12, 2020;17200.0;16800.0;17200.0;16600.0;11940000.0;2.38
May 11, 2020;16800.0;16900.0;17000.0;16500.0;13870000.0;1.20
May 08, 2020;16600.0;16400.0;17000.0;16400.0;12650000.0;1.84
May 07, 2020;16300.0;15950.0;16350.0;15950.0;6240000.0;2.19
May 06, 2020;15950.0;15900.0;16000.0;15700.0;3830000.0;0.95
May 05, 2020;15800.0;15900.0;15950.0;15650.0;2510000.0;-0.32
May 04, 2020;15850.0;15950.0;16050.0;15850.0;2270000.0;-0.63
Apr 29, 2020;15950.0;15900.0;16100.0;15850.0;2730000.0;0.95
Apr 28, 2020;15800.0;15800.0;15950.0;15600.0;2900000.0;0.64
Apr 27, 2020;15700.0;16100.0;16200.0;15700.0;4850000.0;-2.18
Apr 24, 2020;16050.0;16000.0;16150.0;15900.0;2660000.0;-0.62
Apr 23, 2020;16150.0;16400.0;16450.0;16050.0;3570000.0;0.31
Apr 22, 2020;16100.0;15250.0;16150.0;15250.0;5230000.0;2.88
Apr 21, 2020;15650.0;16400.0;16450.0;15650.0;10670000.0;-6.01
Apr 20, 2020;16650.0;17000.0;17150.0;16600.0;10900000.0;-2.06
Apr 17, 2020;17000.0;16700.0;17150.0;16600.0;7570000.0;3.03
Apr 16, 2020;16500.0;16250.0;16500.0;16000.0;4540000.0;0.92
Apr 15, 2020;16350.0;16000.0;16500.0;15900.0;10310000.0;2.83
Apr 14, 2020;15900.0;16000.0;16000.0;15500.0;7020000.0;0.95
