tradeDate;Price;OpenPrice;High;Low;Vol.;Change %
Jun 11, 2020;58500.0;63300.0;64100.0;58500.0;2640000.0;-7.00
Jun 10, 2020;62900.0;62900.0;63000.0;62500.0;1210000.0;-0.16
Jun 09, 2020;63000.0;63500.0;64200.0;62700.0;1610000.0;-0.63
Jun 08, 2020;63400.0;63400.0;64400.0;62800.0;1760000.0;0.63
Jun 05, 2020;63000.0;63000.0;63300.0;62500.0;1830000.0;-0.79
Jun 04, 2020;63500.0;64600.0;64600.0;63300.0;1530000.0;-0.78
Jun 03, 2020;64000.0;64500.0;64500.0;63600.0;749700.0;0.16
Jun 02, 2020;63900.0;63600.0;65800.0;63400.0;4190000.0000000005;1.27
Jun 01, 2020;63100.0;62700.0;63700.0;62700.0;1080000.0;0.64
May 29, 2020;62700.0;62800.0;62900.0;62200.0;698100.0;-0.16
May 28, 2020;62800.0;63400.0;63400.0;62400.0;797480.0;0.48
May 27, 2020;62500.0;63200.0;64600.0;62500.0;2190000.0;0.00
May 26, 2020;62500.0;62000.0;62800.0;61900.0;1050000.0;1.13
May 25, 2020;61800.0;62200.0;62700.0;61500.0;1350000.0;-0.32
May 22, 2020;62000.0;63500.0;63700.0;62000.0;1310000.0;-2.82
May 21, 2020;63800.0;63800.0;64000.0;62800.0;1510000.0;0.00
May 20, 2020;63800.0;62500.0;63900.0;62500.0;998400.0;1.27
May 19, 2020;63000.0;63300.0;64400.0;62500.0;1920000.0;0.80
May 18, 2020;62500.0;62100.0;62800.0;61400.0;840070.0;0.64
May 15, 2020;62100.0;64500.0;64900.0;62100.0;1310000.0;-2.82
May 14, 2020;63900.0;61500.0;65200.0;61000.0;2570000.0;3.23
May 13, 2020;61900.0;61300.0;62500.0;60500.0;1600000.0;-0.16
May 12, 2020;62000.0;63000.0;63200.0;61800.0;1030000.0;-1.74
May 11, 2020;63100.0;61500.0;63100.0;60600.0;1840000.0;3.44
May 08, 2020;61000.0;59000.0;62400.0;58900.0;3320000.0;3.74
May 07, 2020;58800.0;58800.0;59000.0;58000.0;780600.0;1.38
May 06, 2020;58000.0;57000.0;58000.0;55700.0;1020000.0;2.84
May 05, 2020;56400.0;57200.0;57500.0;56400.0;1100000.0;-1.57
May 04, 2020;57300.0;57200.0;58700.0;57100.0;1150000.0;-2.55
Apr 29, 2020;58800.0;59700.0;59900.0;58800.0;830530.0;-1.51
Apr 28, 2020;59700.0;58500.0;60300.0;58000.0;1100000.0;2.05
Apr 27, 2020;58500.0;60000.0;60500.0;58500.0;1120000.0;-1.68
Apr 24, 2020;59500.0;57800.0;59500.0;57200.0;1220000.0;2.23
Apr 23, 2020;58200.0;59500.0;59800.0;58200.0;842920.0;0.00
Apr 22, 2020;58200.0;55500.0;58600.0;55500.0;1060000.0;2.83
Apr 21, 2020;56600.0;58100.0;58800.0;56100.0;1860000.0;-4.71
Apr 20, 2020;59400.0;60600.0;61000.0;59400.0;1840000.0;-1.98
Apr 17, 2020;60600.0;61000.0;61400.0;60500.0;1420000.0;-0.33
Apr 16, 2020;60800.0;59600.0;61200.0;59600.0;981480.0;-0.16
Apr 15, 2020;60900.0;61000.0;62300.0;60700.0;1110000.0;-0.16
Apr 14, 2020;61000.0;58000.0;61000.0;57200.0;1450000.0;4.99
Apr 13, 2020;58100.0;60200.0;61400.0;58100.0;2110000.0;-3.49
Apr 10, 2020;60200.0;59000.0;62500.0;58300.0;1910000.0;1.35
Apr 09, 2020;59400.0;59000.0;59700.0;58100.0;2049999.9999999998;0.85
Apr 08, 2020;58900.0;56100.0;58900.0;55500.0;1340000.0;2.43
Apr 07, 2020;57500.0;56800.0;58400.0;55100.0;2100000.0;2.86
Apr 06, 2020;55900.0;53300.0;55900.0;53100.0;2560000.0;6.88
Apr 03, 2020;52300.0;49600.0;52300.0;49500.0;1840000.0;6.30
Apr 01, 2020;49200.0;48800.0;50000.0;48800.0;1730000.0;0.41
Mar 31, 2020;49000.0;49100.0;49900.0;48200.0;3670000.0;-0.20
Mar 30, 2020;49100.0;48500.0;49100.0;48400.0;1380000.0;-0.41
Mar 27, 2020;49300.0;48700.0;51000.0;48500.0;2590000.0;0.61
Mar 26, 2020;49000.0;49000.0;49200.0;48550.0;2760000.0;-0.20
Mar 25, 2020;49100.0;49000.0;49700.0;48500.0;2860000.0;0.00
Mar 24, 2020;49100.0;48500.0;49100.0;48300.0;3560000.0;-0.20
Mar 23, 2020;49200.0;48100.0;49200.0;46400.0;5030000.0;0.00
Mar 20, 2020;49200.0;49000.0;49200.0;47800.0;4120000.0;0.00
Mar 19, 2020;49200.0;48500.0;49200.0;48050.0;3350000.0;-0.40
Mar 18, 2020;49400.0;49500.0;49700.0;48800.0;2170000.0;-0.20
Mar 17, 2020;49500.0;48000.0;49500.0;47700.0;3880000.0;0.00
Mar 16, 2020;49500.0;49000.0;49800.0;47500.0;3220000.0;-0.70
Mar 13, 2020;49850.0;46500.0;49950.0;46500.0;3780000.0;-0.20
Mar 12, 2020;49950.0;47200.0;49950.0;46500.0;4070000.0000000005;0.00
Mar 11, 2020;49950.0;53300.0;53300.0;49200.0;2640000.0;-4.68
Mar 10, 2020;52400.0;52900.0;53800.0;52000.0;2390000.0;0.77
Mar 09, 2020;52000.0;53000.0;56800.0;51000.0;4210000.0;-4.41
Mar 06, 2020;54400.0;50800.0;54400.0;50100.0;2790000.0;6.88
Mar 05, 2020;50900.0;49450.0;52000.0;49150.0;1780000.0;3.88
Mar 04, 2020;49000.0;48900.0;49350.0;48650.0;909830.0;0.00
Mar 03, 2020;49000.0;49200.0;49800.0;48500.0;1230000.0;0.00
Mar 02, 2020;49000.0;48350.0;49000.0;47850.0;1590000.0;0.00
Feb 28, 2020;49000.0;49700.0;49700.0;47700.0;2260000.0;-1.41
Feb 27, 2020;49700.0;49200.0;49800.0;48800.0;1640000.0;-0.10
Feb 26, 2020;49750.0;49800.0;50300.0;49000.0;1250000.0;-1.68
Feb 25, 2020;50600.0;50500.0;51300.0;49800.0;896710.0;-0.98
Feb 24, 2020;51100.0;51600.0;52500.0;51000.0;1430000.0;-3.58
Feb 21, 2020;53000.0;51500.0;54000.0;51500.0;2060000.0;3.72
Feb 20, 2020;51100.0;50900.0;51400.0;50400.0;1370000.0;1.39
Feb 19, 2020;50400.0;49600.0;51700.0;49600.0;1820000.0;1.41
Feb 18, 2020;49700.0;49200.0;49700.0;49200.0;591220.0;0.00
Feb 17, 2020;49700.0;49800.0;49800.0;48950.0;1490000.0;-0.20
Feb 14, 2020;49800.0;50200.0;50200.0;49450.0;1120000.0;-0.80
Feb 13, 2020;50200.0;50700.0;50900.0;50100.0;547970.0;-0.59
Feb 12, 2020;50500.0;50000.0;50700.0;50000.0;804720.0;1.20
Feb 11, 2020;49900.0;49200.0;51700.0;49200.0;2080000.0;0.00
Feb 10, 2020;49900.0;49900.0;49900.0;48800.0;600280.0;0.00
Feb 07, 2020;49900.0;49800.0;49900.0;48800.0;932290.0;0.00
Feb 06, 2020;49900.0;49950.0;49950.0;47500.0;2390000.0;-0.20
Feb 05, 2020;50000.0;50500.0;50500.0;49200.0;750710.0;0.00
Feb 04, 2020;50000.0;50100.0;51000.0;49500.0;744900.0;0.00
Feb 03, 2020;50000.0;46700.0;50000.0;46600.0;1290000.0;-0.20
Jan 31, 2020;50100.0;50000.0;51700.0;50000.0;791350.0;0.00
Jan 30, 2020;50100.0;53000.0;53000.0;50000.0;1590000.0;-6.18
Jan 22, 2020;53400.0;54200.0;54600.0;53300.0;540210.0;-2.02
Jan 21, 2020;54500.0;54300.0;54900.0;54100.0;369330.0;0.37
