tradeDate;Price;OpenPrice;High;Low;Vol.;Change %
Jun 11, 2020;83200.0;89500.0;89500.0;83200.0;2780000.0;-6.94
Jun 10, 2020;89400.0;88500.0;90000.0;87100.0;1010000.0;0.79
Jun 09, 2020;88700.0;90800.0;90800.0;88600.0;1120000.0;-1.55
Jun 08, 2020;90100.0;87500.0;91300.0;86800.0;3690000.0;4.65
Jun 05, 2020;86100.0;85500.0;86200.0;85100.0;744280.0;0.70
Jun 04, 2020;85500.0;85600.0;87000.0;85300.0;1010000.0;0.12
Jun 03, 2020;85400.0;85500.0;85800.0;85200.0;861720.0;0.12
Jun 02, 2020;85300.0;86100.0;86800.0;85300.0;1110000.0;-0.81
Jun 01, 2020;86000.0;84600.0;86100.0;84600.0;819630.0;1.65
May 29, 2020;84600.0;84600.0;85000.0;84100.0;849500.0;-0.12
May 28, 2020;84700.0;85000.0;85700.0;84500.0;950520.0;-0.12
May 27, 2020;84800.0;86900.0;87400.0;84800.0;1320000.0;-1.97
May 26, 2020;86500.0;86200.0;86800.0;85600.0;1180000.0;0.46
May 25, 2020;86100.0;85000.0;87000.0;84200.0;1140000.0;1.29
May 22, 2020;85000.0;87000.0;87100.0;85000.0;1480000.0;-2.30
May 21, 2020;87000.0;86600.0;88300.0;86200.0;1540000.0;0.58
May 20, 2020;86500.0;86100.0;86700.0;85700.0;1100000.0;-0.80
May 19, 2020;87200.0;87500.0;87700.0;86500.0;1670000.0;1.99
May 18, 2020;85500.0;82000.0;85600.0;82000.0;2180000.0;4.14
May 15, 2020;82100.0;83200.0;83800.0;82000.0;1110000.0;-1.08
May 14, 2020;83000.0;82000.0;83800.0;82000.0;1040000.0;-1.07
May 13, 2020;83900.0;82000.0;84100.0;81100.0;1670000.0;0.72
May 12, 2020;83300.0;84800.0;84800.0;82500.0;1940000.0;-2.00
May 11, 2020;85000.0;84000.0;85600.0;83800.0;1260000.0;1.43
May 08, 2020;83800.0;83000.0;85900.0;83000.0;2360000.0;1.45
May 07, 2020;82600.0;81800.0;82600.0;81500.0;1210000.0;1.72
May 06, 2020;81200.0;80000.0;81200.0;79000.0;846520.0;2.40
May 05, 2020;79300.0;79800.0;80600.0;78800.0;522280.0;-0.13
May 04, 2020;79400.0;81500.0;81500.0;79400.0;917320.0;-2.82
Apr 29, 2020;81700.0;80900.0;82300.0;79000.0;1180000.0;0.99
Apr 28, 2020;80900.0;81500.0;81900.0;80400.0;899940.0;-1.58
Apr 27, 2020;82200.0;83900.0;83900.0;81200.0;1120000.0;-0.96
Apr 24, 2020;83000.0;83500.0;83500.0;81200.0;1030000.0;-0.60
Apr 23, 2020;83500.0;85000.0;85000.0;82000.0;1350000.0;1.83
