tradeDate;Price;OpenPrice;High;Low;Vol.;Change %
Jun 11, 2020;54500.0;54500.0;54600.0;54100.0;760090.0;0.00
Jun 10, 2020;54500.0;54500.0;54800.0;53500.0;1070000.0;0.00
Jun 09, 2020;54500.0;54800.0;55500.0;53500.0;1390000.0;-0.37
Jun 08, 2020;54700.0;54500.0;54900.0;54300.0;665510.0;0.18
Jun 05, 2020;54600.0;54500.0;54600.0;54300.0;565320.0;0.18
Jun 04, 2020;54500.0;54000.0;55300.0;53300.0;1060000.0;0.37
Jun 03, 2020;54300.0;54100.0;54500.0;53200.0;689390.0;0.18
Jun 02, 2020;54200.0;54700.0;55300.0;53500.0;1180000.0;-1.45
Jun 01, 2020;55000.0;53700.0;55000.0;53400.0;1190000.0;2.42
May 29, 2020;53700.0;54000.0;54900.0;53300.0;899220.0;-1.10
May 28, 2020;54300.0;53800.0;54900.0;52700.0;1360000.0;0.93
May 27, 2020;53800.0;53400.0;54100.0;52500.0;1050000.0;0.75
May 26, 2020;53400.0;53400.0;53900.0;52500.0;1120000.0;0.19
May 25, 2020;53300.0;53400.0;53900.0;52200.0;1040000.0;0.00
May 22, 2020;53300.0;53500.0;54300.0;52400.0;1050000.0;-0.37
May 21, 2020;53500.0;53200.0;53800.0;52100.0;1750000.0;0.75
May 20, 2020;53100.0;53200.0;53500.0;52000.0;992870.0;0.19
May 19, 2020;53000.0;52900.0;53500.0;52100.0;961210.0;0.38
May 18, 2020;52800.0;52600.0;53200.0;51600.0;1240000.0;0.38
May 15, 2020;52600.0;52700.0;53900.0;52100.0;912370.0;0.00
May 14, 2020;52600.0;52200.0;53500.0;51500.0;1220000.0;0.19
May 13, 2020;52500.0;52700.0;52800.0;51500.0;1300000.0;-0.38
May 12, 2020;52700.0;54100.0;54200.0;52500.0;979420.0;-2.41
May 11, 2020;54000.0;51900.0;54500.0;51900.0;855360.0;0.19
May 08, 2020;53900.0;53100.0;54000.0;53000.0;1340000.0;1.51
May 07, 2020;53100.0;53000.0;53600.0;51700.0;1520000.0;0.19
May 06, 2020;53000.0;52500.0;53700.0;51500.0;1280000.0;0.38
May 05, 2020;52800.0;52800.0;54500.0;52000.0;1820000.0;0.00
May 04, 2020;52800.0;53500.0;55000.0;52100.0;1110000.0;-0.75
Apr 29, 2020;53200.0;53000.0;54200.0;51800.0;1600000.0;0.19
Apr 28, 2020;53100.0;52800.0;54000.0;52000.0;1130000.0;0.57
Apr 27, 2020;52800.0;53000.0;53600.0;51700.0;853170.0;-0.38
Apr 24, 2020;53000.0;52500.0;53500.0;51500.0;1110000.0;0.76
Apr 23, 2020;52600.0;52500.0;53700.0;51500.0;1160000.0;0.19
Apr 22, 2020;52500.0;52100.0;52500.0;51200.0;738970.0;0.00
Apr 21, 2020;52500.0;52000.0;52800.0;51500.0;653990.0;-0.38
Apr 20, 2020;52700.0;52700.0;53000.0;51200.0;886650.0;0.00
Apr 17, 2020;52700.0;52100.0;53000.0;51900.0;640160.0;1.54
Apr 16, 2020;51900.0;51700.0;51900.0;51400.0;455280.0;0.00
Apr 15, 2020;51900.0;51800.0;52000.0;51200.0;446900.0;0.00
Apr 14, 2020;51900.0;51800.0;51900.0;51300.0;409520.0;-0.19
Apr 13, 2020;52000.0;51900.0;52100.0;51400.0;291630.0;0.00
Apr 10, 2020;52000.0;52000.0;52000.0;51400.0;232060.0;0.00
Apr 09, 2020;52000.0;52100.0;53000.0;51800.0;532050.0;0.00
Apr 08, 2020;52000.0;51700.0;52000.0;51200.0;281500.0;0.58
Apr 07, 2020;51700.0;52000.0;52100.0;50800.0;589840.0;-0.58
Apr 06, 2020;52000.0;51900.0;52000.0;51400.0;244740.0;0.19
Apr 03, 2020;51900.0;51800.0;51900.0;51200.0;376190.0;0.19
Apr 01, 2020;51800.0;51900.0;52000.0;51700.0;462500.0;-0.19
Mar 31, 2020;51900.0;51600.0;52000.0;51600.0;452830.0;0.00
Mar 30, 2020;51900.0;51600.0;52000.0;51100.0;239260.0;-0.19
Mar 27, 2020;52000.0;52000.0;52000.0;51000.0;729270.0;0.39
Mar 26, 2020;51800.0;51500.0;52000.0;51000.0;225930.0;-0.58
Mar 25, 2020;52100.0;52000.0;52200.0;51300.0;316070.0;0.19
Mar 24, 2020;52000.0;51500.0;52500.0;51400.0;418880.0;0.00
Mar 23, 2020;52000.0;50500.0;52000.0;49400.0;915750.0;1.96
Mar 20, 2020;51000.0;51000.0;51000.0;49100.0;2920000.0;0.00
Mar 19, 2020;51000.0;51000.0;51000.0;50100.0;709880.0;0.00
Mar 18, 2020;51000.0;51300.0;51500.0;50000.0;464360.0;-0.97
Mar 17, 2020;51500.0;51500.0;51600.0;50800.0;306060.0;-0.19
Mar 16, 2020;51600.0;52800.0;52800.0;51100.0;405920.0;-2.64
Mar 13, 2020;53000.0;52200.0;53000.0;51200.0;357570.0;0.38
Mar 12, 2020;52800.0;53000.0;53000.0;51600.0;425390.0;-0.38
Mar 11, 2020;53000.0;53000.0;53100.0;51800.0;777760.0;0.00
Mar 10, 2020;53000.0;52000.0;53400.0;52000.0;692090.0;0.00
Mar 09, 2020;53000.0;53000.0;54000.0;51700.0;612380.0;-1.85
Mar 06, 2020;54000.0;53500.0;54000.0;53000.0;581020.0;0.19
Mar 05, 2020;53900.0;53800.0;54500.0;53200.0;639330.0;0.19
Mar 04, 2020;53800.0;53700.0;54400.0;53000.0;586250.0;0.19
Mar 03, 2020;53700.0;53300.0;54100.0;53300.0;721830.0;0.19
Mar 02, 2020;53600.0;53300.0;53700.0;53100.0;524049.99999999994;0.19
Feb 28, 2020;53500.0;53300.0;53600.0;52800.0;858160.0;-0.74
Feb 27, 2020;53900.0;53800.0;53900.0;53100.0;316500.0;0.19
Feb 26, 2020;53800.0;53600.0;53800.0;53300.0;376460.0;0.19
Feb 25, 2020;53700.0;53500.0;53700.0;53000.0;579540.0;0.19
Feb 24, 2020;53600.0;54000.0;54000.0;53200.0;338570.0;-0.74
Feb 21, 2020;54000.0;54500.0;54500.0;53700.0;250410.0;-0.92
Feb 20, 2020;54500.0;54200.0;55000.0;54100.0;429000.0;0.74
Feb 19, 2020;54100.0;54100.0;54100.0;53000.0;767180.0;0.19
Feb 18, 2020;54000.0;54300.0;54400.0;53100.0;780110.0;-0.55
Feb 17, 2020;54300.0;54000.0;54300.0;53200.0;502660.0;0.18
Feb 14, 2020;54200.0;54300.0;54400.0;53300.0;592440.0;-0.55
Feb 13, 2020;54500.0;54300.0;54500.0;53400.0;455910.0;0.18
Feb 12, 2020;54400.0;54300.0;54600.0;53200.0;481440.0;0.37
Feb 11, 2020;54200.0;54200.0;55000.0;53000.0;422890.0;0.18
Feb 10, 2020;54100.0;54200.0;54200.0;53200.0;335600.0;0.00
Feb 07, 2020;54100.0;53500.0;54500.0;53000.0;367780.0;2.08
Feb 06, 2020;53000.0;53500.0;54800.0;52800.0;1350000.0;-1.85
Feb 05, 2020;54000.0;55000.0;56200.0;53700.0;529660.0;-1.82
