tradeDate;Price;OpenPrice;High;Low;Vol.;Change %
Jun 11, 2020;44400.0;48000.0;48000.0;44400.0;997810.0;-6.92
Jun 10, 2020;47700.0;47600.0;47700.0;46600.0;690860.0;0.21
Jun 09, 2020;47600.0;48000.0;48100.0;47400.0;670760.0;-0.83
Jun 08, 2020;48000.0;47400.0;48100.0;47300.0;1540000.0;2.13
Jun 05, 2020;47000.0;47200.0;47200.0;45400.0;586880.0;-0.32
Jun 04, 2020;47150.0;47000.0;47400.0;46900.0;868580.0;0.96
Jun 03, 2020;46700.0;46900.0;47000.0;46500.0;508870.0;0.65
Jun 02, 2020;46400.0;46800.0;47100.0;46150.0;1310000.0;0.22
Jun 01, 2020;46300.0;46150.0;46700.0;46150.0;817190.0;0.33
May 29, 2020;46150.0;46800.0;46850.0;46050.0;806010.0;-1.39
May 28, 2020;46800.0;46900.0;47000.0;46550.0;458950.0;-0.21
May 27, 2020;46900.0;47000.0;47650.0;46900.0;958690.0;0.00
May 26, 2020;46900.0;47000.0;47000.0;46400.0;626270.0;1.19
May 25, 2020;46350.0;46400.0;46800.0;45500.0;625220.0;-0.11
May 22, 2020;46400.0;46900.0;46900.0;46200.0;795930.0;-1.28
May 21, 2020;47000.0;47000.0;47500.0;46500.0;1020000.0;0.32
May 20, 2020;46850.0;46100.0;46850.0;46100.0;738990.0;0.11
May 19, 2020;46800.0;47500.0;47500.0;46300.0;1380000.0;3.20
May 18, 2020;45350.0;44500.0;45500.0;44500.0;851610.0;1.91
May 15, 2020;44500.0;45900.0;45950.0;44500.0;1240000.0;-2.41
May 14, 2020;45600.0;45600.0;45800.0;44850.0;995730.0;-0.11
May 13, 2020;45650.0;45550.0;46500.0;44600.0;1760000.0;0.22
May 12, 2020;45550.0;44300.0;46000.0;43400.0;1800000.0;2.82
May 11, 2020;44300.0;44000.0;44500.0;43650.0;1340000.0;1.14
May 08, 2020;43800.0;42200.0;44950.0;42200.0;2380000.0;4.16
May 07, 2020;42050.0;42000.0;42400.0;41600.0;1270000.0;0.24
