tradeDate;Price;OpenPrice;High;Low;Vol.;Change %
Jun 11, 2020;60500.0;64600.0;65000.0;60500.0;2000000.0;-6.92
Jun 10, 2020;65000.0;65500.0;65600.0;64000.0;808850.0;-0.76
Jun 09, 2020;65500.0;66600.0;66700.0;64800.0;741240.0;-0.91
Jun 08, 2020;66100.0;64100.0;66200.0;64100.0;2210000.0;3.77
Jun 05, 2020;63700.0;63600.0;63700.0;63400.0;540200.0;0.00
Jun 04, 2020;63700.0;63800.0;64000.0;63400.0;790280.0;0.47
Jun 03, 2020;63400.0;63300.0;63800.0;63100.0;454850.0;0.32
Jun 02, 2020;63200.0;64000.0;64000.0;63200.0;570230.0;-1.10
Jun 01, 2020;63900.0;63400.0;64300.0;63300.0;704970.0;1.27
May 29, 2020;63100.0;62500.0;64000.0;62100.0;764030.0;0.64
May 28, 2020;62700.0;62500.0;63100.0;62200.0;796350.0;-0.48
May 27, 2020;63000.0;64500.0;65000.0;63000.0;1270000.0;-1.87
May 26, 2020;64200.0;64400.0;64800.0;63900.0;1050000.0;0.31
May 25, 2020;64000.0;63500.0;64300.0;63500.0;709350.0;1.27
May 22, 2020;63200.0;63600.0;63700.0;62800.0;801200.0;-1.25
May 21, 2020;64000.0;63600.0;64000.0;63000.0;1380000.0;0.00
May 20, 2020;64000.0;63600.0;64400.0;63400.0;691470.0;-0.47
May 19, 2020;64300.0;64300.0;65300.0;63500.0;1050000.0;1.26
May 18, 2020;63500.0;61800.0;64000.0;61500.0;785810.0;2.42
May 15, 2020;62000.0;63800.0;63900.0;61500.0;1380000.0;-2.52
May 14, 2020;63600.0;63800.0;64900.0;63300.0;1020000.0;-2.00
May 13, 2020;64900.0;64000.0;65500.0;62000.0;1460000.0;1.72
May 12, 2020;63800.0;59700.0;63800.0;58700.0;2360000.0;6.87
May 11, 2020;59700.0;58800.0;59900.0;58300.0;1230000.0;2.58
May 08, 2020;58200.0;58000.0;59500.0;57900.0;1520000.0;1.22
May 07, 2020;57500.0;57000.0;57600.0;56800.0;823310.0;1.77
May 06, 2020;56500.0;56000.0;56800.0;56000.0;932630.0;0.89
May 05, 2020;56000.0;56800.0;57100.0;55700.0;786060.0;-0.88
May 04, 2020;56500.0;56800.0;58000.0;56200.0;274490.0;-0.70
Apr 29, 2020;56900.0;57200.0;57400.0;56700.0;890670.0;-0.52
Apr 28, 2020;57200.0;58000.0;58400.0;57000.0;716420.0;-1.38
Apr 27, 2020;58000.0;60000.0;60200.0;58000.0;932470.0;-2.52
Apr 24, 2020;59500.0;59600.0;59700.0;59100.0;434140.0;0.17
Apr 23, 2020;59400.0;60500.0;60600.0;59000.0;634070.0;1.02
Apr 22, 2020;58800.0;56200.0;58900.0;56200.0;873320.0;1.55
Apr 21, 2020;57900.0;59500.0;60200.0;56900.0;1310000.0;-3.82
Apr 20, 2020;60200.0;61000.0;61200.0;59500.0;1220000.0;0.84
Apr 17, 2020;59700.0;59800.0;60500.0;59400.0;1190000.0;1.19
Apr 16, 2020;59000.0;58800.0;59500.0;57500.0;621760.0;-0.34
Apr 15, 2020;59200.0;57800.0;59400.0;57800.0;797850.0;2.96
Apr 14, 2020;57500.0;58400.0;58400.0;56500.0;740380.0;-0.17
Apr 13, 2020;57600.0;57600.0;59400.0;56700.0;820650.0;0.00
Apr 10, 2020;57600.0;58000.0;58800.0;56100.0;847960.0;-0.69
Apr 09, 2020;58000.0;56200.0;59900.0;56200.0;1080000.0;3.20
Apr 08, 2020;56200.0;54300.0;56500.0;54300.0;833930.0;-1.40
Apr 07, 2020;57000.0;56000.0;57300.0;55000.0;1210000.0;2.70
Apr 06, 2020;55500.0;54600.0;55500.0;53100.0;1280000.0;6.94
Apr 03, 2020;51900.0;49500.0;52000.0;49200.0;873070.0;6.79
Apr 01, 2020;48600.0;45100.0;49100.0;45100.0;545620.0;5.88
Mar 31, 2020;45900.0;47270.1;48738.2;44040.5;595870.0;-2.90
