tradeDate;Price;OpenPrice;High;Low;Vol.;Change %
Jun 11, 2020;10500.0;11250.0;11400.0;10500.0;8029999.999999999;-6.67
Jun 10, 2020;11250.0;11100.0;11600.0;10950.0;8460000.0;1.81
Jun 09, 2020;11050.0;10700.0;11200.0;10650.0;11290000.0;3.27
Jun 08, 2020;10700.0;10600.0;10950.0;10550.0;9230000.0;1.42
Jun 05, 2020;10550.0;10450.0;10600.0;10450.0;3630000.0;-0.47
Jun 04, 2020;10600.0;10600.0;10700.0;10550.0;4420000.0;0.00
Jun 03, 2020;10600.0;10500.0;10600.0;10500.0;1850000.0;0.95
Jun 02, 2020;10500.0;10450.0;10800.0;10400.0;8400000.0;0.48
Jun 01, 2020;10450.0;10300.0;10500.0;10200.0;5900000.0;1.95
May 29, 2020;10250.0;10400.0;10400.0;10250.0;3270000.0;-1.44
May 28, 2020;10400.0;10350.0;10500.0;10250.0;4370000.0;0.97
May 27, 2020;10300.0;10800.0;10850.0;10300.0;6550000.0;-2.83
May 26, 2020;10600.0;10300.0;10700.0;10250.0;9490000.0;3.92
May 25, 2020;10200.0;10100.0;10400.0;10000.0;6130000.0;0.99
May 22, 2020;10100.0;10150.0;10200.0;10100.0;3430000.0;-0.98
May 21, 2020;10200.0;10250.0;10300.0;10100.0;3420000.0;0.00
May 20, 2020;10200.0;10200.0;10250.0;10100.0;2830000.0;0.00
May 19, 2020;10200.0;10300.0;10300.0;10150.0;5690000.0;0.99
May 18, 2020;10100.0;10050.0;10150.0;9960.0;4179999.9999999995;1.00
May 15, 2020;10000.0;10150.0;10350.0;9980.0;6770000.0;-1.48
May 14, 2020;10150.0;10250.0;10300.0;10150.0;4740000.0;-1.46
May 13, 2020;10300.0;10400.0;10550.0;10150.0;5440000.0;-0.96
May 12, 2020;10400.0;10150.0;10700.0;10000.0;9620000.0;2.46
May 11, 2020;10150.0;10100.0;10200.0;9970.0;6890000.0;0.50
May 08, 2020;10100.0;10200.0;10400.0;10000.0;9450000.0;-0.98
May 07, 2020;10200.0;9960.0;10200.0;9950.0;5570000.0;2.51
May 06, 2020;9950.0;9560.0;9950.0;9560.0;3990000.0;3.00
May 05, 2020;9660.0;9820.0;9820.0;9510.0;4940000.0;-1.63
May 04, 2020;9820.0;9950.0;10250.0;9820.0;9810000.0;-6.92
Apr 29, 2020;10550.0;10300.0;10700.0;10300.0;7600000.0;2.43
Apr 28, 2020;10300.0;9900.0;10300.0;9900.0;6730000.0;4.04
Apr 27, 2020;9900.0;9680.0;9980.0;9650.0;7550000.0;3.66
Apr 24, 2020;9550.0;9500.0;9550.0;9340.0;4200000.0;0.53
Apr 23, 2020;9500.0;9660.0;9690.0;9500.0;5040000.0;0.21
Apr 22, 2020;9480.0;9150.0;9640.0;9150.0;6720000.0;1.61
Apr 21, 2020;9330.0;9160.0;9720.0;9100.0;8220000.000000001;-0.74
Apr 20, 2020;9400.0;9050.0;9650.0;9050.0;9310000.0;3.98
Apr 17, 2020;9040.0;9100.0;9150.0;9010.0;7230000.0;1.01
Apr 16, 2020;8950.0;9040.0;9040.0;8870.0;6100000.0;-1.21
Apr 15, 2020;9060.0;9050.0;9180.0;9010.0;5990000.0;0.11
Apr 14, 2020;9050.0;8900.0;9110.0;8850.0;8810000.0;2.84
Apr 13, 2020;8800.0;8500.0;9000.0;8500.0;9330000.0;3.17
Apr 10, 2020;8530.0;8710.0;8710.0;8500.0;4340000.0;-2.07
Apr 09, 2020;8710.0;9000.0;9000.0;8700.0;8940000.0;1.99
Apr 08, 2020;8540.0;7900.0;8540.0;7750.0;9410000.0;6.88
Apr 07, 2020;7990.0;8200.0;8200.0;7850.0;3970000.0;-1.84
Apr 06, 2020;8140.0;7800.0;8190.0;7800.0;5090000.0;5.71
Apr 03, 2020;7700.0;7580.0;7740.0;7500.0;4560000.0;4.62
Apr 01, 2020;7360.0;7000.0;7360.0;7000.0;2790000.0;3.81
Mar 31, 2020;7090.0;7140.0;7320.0;6850.0;3330000.0;-0.70
Mar 30, 2020;7140.0;7200.0;7500.0;7090.0;6320000.0;-6.30
Mar 27, 2020;7620.0;7550.0;7990.0;7550.0;3300000.0;0.26
Mar 26, 2020;7600.0;7850.0;7850.0;7600.0;2130000.0;-3.18
Mar 25, 2020;7850.0;8000.0;8000.0;7770.0;2460000.0;4.25
Mar 24, 2020;7530.0;7320.0;7800.0;7320.0;5980000.0;-4.32
Mar 23, 2020;7870.0;8150.0;8150.0;7870.0;4630000.0;-6.97
Mar 20, 2020;8460.0;8500.0;8700.0;8410.0;1980000.0;-0.12
Mar 19, 2020;8470.0;8510.0;8690.0;8400.0;2630000.0;-3.31
Mar 18, 2020;8760.0;8900.0;8950.0;8620.0;1940000.0;-1.02
Mar 17, 2020;8850.0;8410.0;9390.0;8410.0;3060000.0;-0.34
Mar 16, 2020;8880.0;8800.0;8880.0;8310.0;3240000.0;-0.22
Mar 13, 2020;8900.0;7820.0;8900.0;7810.0;4570000.0;6.08
Mar 12, 2020;8390.0;8500.0;8650.0;8390.0;5360000.0;-6.98
Mar 11, 2020;9020.0;9570.0;9650.0;8970.0;5180000.0;-5.05
Mar 10, 2020;9500.0;9200.0;9590.0;9000.0;2870000.0;1.06
