tradeDate;Price;OpenPrice;High;Low;Vol.;Change %
Jun 11, 2020;30500.0;31950.0;32000.0;30500.0;1440000.0;-4.54
Jun 10, 2020;31950.0;31950.0;31950.0;31650.0;480400.0;0.00
Jun 09, 2020;31950.0;32500.0;32500.0;31900.0;585770.0;-0.62
Jun 08, 2020;32150.0;32200.0;32600.0;32000.0;1390000.0;0.47
Jun 05, 2020;32000.0;32000.0;32000.0;31850.0;578070.0;0.00
Jun 04, 2020;32000.0;31700.0;32100.0;31700.0;1060000.0;0.95
Jun 03, 2020;31700.0;31650.0;31800.0;31600.0;517360.0;0.16
Jun 02, 2020;31650.0;31800.0;32000.0;31550.0;432350.0;-0.16
Jun 01, 2020;31700.0;31300.0;31800.0;31300.0;454600.0;1.44
May 29, 2020;31250.0;31450.0;31450.0;31150.0;477830.0;-0.64
May 28, 2020;31450.0;31800.0;31850.0;31400.0;486440.0;-0.32
May 27, 2020;31550.0;32500.0;32600.0;31550.0;959990.0;-2.92
May 26, 2020;32500.0;31200.0;32500.0;31200.0;1490000.0;4.17
May 25, 2020;31200.0;31200.0;31300.0;30950.0;415190.0;0.00
May 22, 2020;31200.0;31600.0;31600.0;31200.0;408660.0;-1.89
May 21, 2020;31800.0;31400.0;31800.0;31200.0;515860.0;1.27
May 20, 2020;31400.0;31450.0;31500.0;31250.0;380660.0;-0.16
May 19, 2020;31450.0;31500.0;31750.0;31300.0;1130000.0;0.32
May 18, 2020;31350.0;31050.0;31350.0;30850.0;495250.0;-0.16
May 15, 2020;31400.0;31950.0;31950.0;30900.0;678800.0;-1.72
May 14, 2020;31950.0;31600.0;32100.0;31600.0;460710.0;-0.16
May 13, 2020;32000.0;31300.0;32000.0;30900.0;1000000.0;2.24
May 12, 2020;31300.0;30700.0;31450.0;30450.0;924900.0;1.95
May 11, 2020;30700.0;30900.0;30950.0;30500.0;349490.0;0.33
May 08, 2020;30600.0;30850.0;31400.0;30450.0;853130.0;0.00
May 07, 2020;30600.0;30500.0;30700.0;30300.0;370940.0;0.66
May 06, 2020;30400.0;30000.0;30400.0;30000.0;190640.0;1.33
May 05, 2020;30000.0;29600.0;30000.0;29600.0;226730.0;1.35
May 04, 2020;29600.0;29550.0;30000.0;29550.0;643730.0;-1.33
Apr 29, 2020;30000.0;30350.0;30450.0;30000.0;547650.0;-1.15
Apr 28, 2020;30350.0;30500.0;30500.0;29950.0;357440.0;-0.49
Apr 27, 2020;30500.0;30850.0;31100.0;30300.0;446050.0;-0.33
Apr 24, 2020;30600.0;29400.0;30650.0;29400.0;914120.0;3.73
Apr 23, 2020;29500.0;30000.0;30000.0;29500.0;811490.0;0.17
Apr 22, 2020;29450.0;29000.0;29950.0;28900.0;752290.0;0.51
Apr 21, 2020;29300.0;30600.0;30800.0;29300.0;1200000.0;-5.02
Apr 20, 2020;30850.0;31000.0;31300.0;30650.0;384660.0;-0.48
Apr 17, 2020;31000.0;30800.0;31400.0;30800.0;617040.0;0.65
Apr 16, 2020;30800.0;30750.0;31000.0;30650.0;406410.0;-0.65
Apr 15, 2020;31000.0;30500.0;31350.0;30450.0;1220000.0;1.81
Apr 14, 2020;30450.0;30400.0;30600.0;29900.0;589070.0;0.16
Apr 13, 2020;30400.0;30350.0;30900.0;29900.0;586150.0;0.16
Apr 10, 2020;30350.0;29850.0;31100.0;29800.0;1020000.0;1.68
Apr 09, 2020;29850.0;29850.0;30400.0;29750.0;651200.0;0.17
Apr 08, 2020;29800.0;29150.0;29950.0;29100.0;326710.0;-0.67
Apr 07, 2020;30000.0;30450.0;30450.0;29100.0;467970.0;-0.66
Apr 06, 2020;30200.0;29300.0;30250.0;29100.0;572640.0;4.68
Apr 03, 2020;28850.0;28650.0;29100.0;28550.0;397310.0;1.94
Apr 01, 2020;28300.0;27800.0;28450.0;27500.0;365330.0;3.66
Mar 31, 2020;27300.0;27400.0;28200.0;26100.0;509950.0;-0.36
Mar 30, 2020;27400.0;27200.0;27950.0;26500.0;597290.0;-2.14
Mar 27, 2020;28000.0;28300.0;28350.0;27950.0;392970.0;-1.23
Mar 26, 2020;28350.0;28600.0;29100.0;28350.0;336770.0;-2.91
Mar 25, 2020;29200.0;28800.0;29500.0;28450.0;358100.0;3.55
Mar 24, 2020;28200.0;28400.0;28600.0;27700.0;463230.0;1.62
Mar 23, 2020;27750.0;29000.0;29050.0;27750.0;1250000.0;-6.88
Mar 20, 2020;29800.0;29800.0;30000.0;29550.0;409020.0;0.00
Mar 19, 2020;29800.0;30000.0;30150.0;29500.0;568630.0;-1.65
Mar 18, 2020;30300.0;31000.0;31000.0;30000.0;567680.0;1.34
Mar 17, 2020;29900.0;27700.0;30000.0;27700.0;1230000.0;6.60
Mar 16, 2020;28050.0;27700.0;28500.0;27700.0;892480.0;-0.53
Mar 13, 2020;28200.0;26250.0;28700.0;26250.0;1340000.0;0.71
Mar 12, 2020;28000.0;28600.0;29000.0;27850.0;1150000.0;-6.20
Mar 11, 2020;29850.0;30300.0;30750.0;29300.0;1200000.0;-1.49
