tradeDate;Price;OpenPrice;High;Low;Vol.;Change %
Jun 11, 2020;3230.0;3450.0;3450.0;3230.0;43040000.0;-6.92
Jun 10, 2020;3470.0;3520.0;3690.0;3440.0;60200000.0;-5.96
Jun 09, 2020;3690.0;3880.0;3920.0;3510.0;58450000.0;0.00
Jun 08, 2020;3690.0;3690.0;3690.0;3620.0;44370000.0;6.96
Jun 05, 2020;3450.0;3450.0;3450.0;3400.0;68090000.0;6.81
Jun 04, 2020;3230.0;3000.0;3230.0;2870.0;44680000.0;6.95
Jun 03, 2020;3020.0;3220.0;3230.0;3000.0;23320000.0;-5.63
Jun 02, 2020;3200.0;3420.0;3440.0;3170.0;46640000.0;-5.88
Jun 01, 2020;3400.0;3470.0;3640.0;3260.0;82210000.0;-2.86
May 29, 2020;3500.0;3420.0;3520.0;3400.0;10230000.0;2.64
May 28, 2020;3410.0;3400.0;3480.0;3390.0;6000000.0;0.29
May 27, 2020;3400.0;3420.0;3450.0;3400.0;5640000.0;-0.29
May 26, 2020;3410.0;3410.0;3490.0;3390.0;12530000.0;-0.87
May 25, 2020;3440.0;3450.0;3520.0;3400.0;6460000.0;-1.43
May 22, 2020;3490.0;3550.0;3600.0;3470.0;4090000.0;-3.59
May 21, 2020;3620.0;3800.0;3870.0;3370.0;46410000.0;0.00
May 20, 2020;3620.0;3390.0;3620.0;3380.0;13940000.0;6.78
May 19, 2020;3390.0;3420.0;3440.0;3390.0;5780000.0;-0.59
May 18, 2020;3410.0;3430.0;3440.0;3390.0;4690000.0;-0.58
May 15, 2020;3430.0;3470.0;3540.0;3420.0;4500000.0;-0.58
May 14, 2020;3450.0;3370.0;3490.0;3360.0;5880000.0;2.37
May 13, 2020;3370.0;3420.0;3430.0;3370.0;11710000.0;-2.32
May 12, 2020;3450.0;3490.0;3510.0;3420.0;8390000.0;-1.15
May 11, 2020;3490.0;3530.0;3630.0;3400.0;13840000.0;-1.41
May 08, 2020;3540.0;3570.0;3610.0;3540.0;8060000.000000001;-0.84
May 07, 2020;3570.0;3620.0;3630.0;3560.0;3590000.0;-1.11
May 06, 2020;3610.0;3650.0;3670.0;3500.0;12200000.0;0.56
May 05, 2020;3590.0;3510.0;3630.0;3510.0;4120000.0;1.99
May 04, 2020;3520.0;3550.0;3640.0;3510.0;11270000.0;-6.38
Apr 29, 2020;3760.0;3710.0;3810.0;3710.0;6590000.0;0.27
Apr 28, 2020;3750.0;3870.0;3880.0;3750.0;6100000.0;-3.35
Apr 27, 2020;3880.0;3810.0;3960.0;3750.0;14540000.0;4.58
Apr 24, 2020;3710.0;3640.0;3740.0;3520.0;13510000.0;1.92
Apr 23, 2020;3640.0;3640.0;3750.0;3590.0;7070000.0;1.96
Apr 22, 2020;3570.0;3400.0;3690.0;3360.0;9510000.0;-0.56
Apr 21, 2020;3590.0;3760.0;3800.0;3590.0;24420000.0;-6.99
Apr 20, 2020;3860.0;4000.0;4000.0;3840.0;16420000.000000002;-1.53
Apr 17, 2020;3920.0;3910.0;4040.0;3900.0;16239999.999999998;-2.00
Apr 16, 2020;4000.0;4000.0;4180.0;3920.0;14420000.0;0.00
Apr 15, 2020;4000.0;3710.0;4080.0;3710.0;16350000.000000002;4.17
Apr 14, 2020;3840.0;3950.0;4010.0;3840.0;17930000.0;-5.88
Apr 13, 2020;4080.0;4100.0;4240.0;3890.0;13460000.0;-0.49
Apr 10, 2020;4100.0;4560.0;4570.0;3990.0;82340000.0;-4.21
