tradeDate;Price;OpenPrice;High;Low;Vol.;Change %
Jun 11, 2020;177000.0;178000.0;180500.0;177000.0;61230.0;-0.56
Jun 10, 2020;178000.0;178700.0;180000.0;177500.0;44990.0;-0.39
Jun 09, 2020;178700.0;182700.0;182700.0;178000.0;54360.0;-1.81
Jun 08, 2020;182000.0;179000.0;183500.0;179000.0;98910.0;1.68
Jun 05, 2020;179000.0;179000.0;181900.0;179000.0;26270.0;0.00
Jun 04, 2020;179000.0;181800.0;183000.0;179000.0;51660.0;-0.56
Jun 03, 2020;180000.0;183500.0;185000.0;180000.0;54700.0;-1.64
Jun 02, 2020;183000.0;177700.0;189000.0;177700.0;144460.0;2.98
Jun 01, 2020;177700.0;176400.0;182000.0;175300.0;86810.0;0.74
May 29, 2020;176400.0;174800.0;177000.0;174000.0;61380.0;0.68
May 28, 2020;175200.0;176500.0;177200.0;173000.0;73990.0;0.00
May 27, 2020;175200.0;175600.0;176000.0;175000.0;72140.0;-0.06
May 26, 2020;175300.0;175100.0;179000.0;174500.0;97860.0;0.17
May 25, 2020;175000.0;174000.0;176100.0;173000.0;59220.0;0.57
May 22, 2020;174000.0;176000.0;176000.0;173000.0;45220.0;-1.14
May 21, 2020;176000.0;178000.0;178000.0;173000.0;128710.00000000001;2.03
May 20, 2020;172500.0;175000.0;175000.0;172500.0;60740.0;0.29
May 19, 2020;172000.0;175000.0;177000.0;172000.0;181100.0;-0.58
May 18, 2020;173000.0;174000.0;174000.0;172300.0;111480.0;0.46
May 15, 2020;172200.0;172200.0;175000.0;172200.0;58620.0;0.00
May 14, 2020;172200.0;172000.0;173000.0;171000.0;45790.0;0.12
May 13, 2020;172000.0;168000.0;174000.0;166000.0;115740.0;-0.86
May 12, 2020;173500.0;173300.0;175100.0;173000.0;59110.0;0.23
May 11, 2020;173100.0;172000.0;176000.0;169000.0;111670.0;0.64
May 08, 2020;172000.0;170000.0;180000.0;170000.0;245530.0;1.78
May 07, 2020;169000.0;161900.0;169000.0;160000.0;63680.0;6.96
May 06, 2020;158000.0;161800.0;161800.0;152000.0;86530.0;4.15
May 05, 2020;151700.0;155000.0;155000.0;150900.0;117620.0;-2.13
May 04, 2020;155000.0;163000.0;163500.0;155000.0;198030.0;-4.91
