tradeDate;Price;OpenPrice;High;Low;Vol.;Change %
Jun 11, 2020;16200.0;16200.0;16400.0;15300.0;3120000.0;0.00
Jun 10, 2020;16200.0;16100.0;16600.0;15750.0;2620000.0;0.31
Jun 09, 2020;16150.0;16700.0;16700.0;16100.0;2200000.0;0.31
Jun 08, 2020;16100.0;15200.0;16100.0;15200.0;3890000.0;6.98
Jun 05, 2020;15050.0;15100.0;15100.0;14900.0;2150000.0;0.00
Jun 04, 2020;15050.0;15000.0;15200.0;14950.0;2390000.0;0.67
Jun 03, 2020;14950.0;14950.0;15000.0;14800.0;2180000.0;0.00
Jun 02, 2020;14950.0;15100.0;15100.0;14800.0;2280000.0;-0.33
Jun 01, 2020;15000.0;14900.0;15000.0;14700.0;2280000.0;0.67
May 29, 2020;14900.0;14850.0;14900.0;14700.0;2150000.0;0.00
May 28, 2020;14900.0;14950.0;15000.0;14800.0;2270000.0;-0.33
May 27, 2020;14950.0;15300.0;15300.0;14800.0;2480000.0;-0.33
May 26, 2020;15000.0;14800.0;15350.0;14800.0;3190000.0;1.35
May 25, 2020;14800.0;14800.0;14900.0;14800.0;2150000.0;-0.67
May 22, 2020;14900.0;14900.0;15200.0;14750.0;2290000.0;-1.32
May 21, 2020;15100.0;15100.0;15150.0;14850.0;2390000.0;1.00
May 20, 2020;14950.0;15000.0;15000.0;14850.0;2800000.0;-0.33
May 19, 2020;15000.0;14850.0;15150.0;14700.0;2170000.0;2.04
May 18, 2020;14700.0;14800.0;14850.0;14600.0;2170000.0;-0.68
May 15, 2020;14800.0;14750.0;14950.0;14700.0;2150000.0;0.34
May 14, 2020;14750.0;14950.0;14950.0;14700.0;2280000.0;-1.34
May 13, 2020;14950.0;14500.0;15200.0;14300.0;2710000.0;3.10
May 12, 2020;14500.0;14700.0;14750.0;14450.0;2250000.0;-2.03
May 11, 2020;14800.0;15000.0;15000.0;14600.0;2140000.0;0.34
May 08, 2020;14750.0;14250.0;15050.0;14250.0;3440000.0;3.51
May 07, 2020;14250.0;14200.0;14350.0;14000.0;2170000.0;0.00
