tradeDate;Price;OpenPrice;High;Low;Vol.;Change %
Jun 11, 2020;14900.0;16000.0;16200.0;14900.0;9350000.0;-6.88
Jun 10, 2020;16000.0;15750.0;16100.0;15400.0;6540000.0;0.95
Jun 09, 2020;15850.0;16300.0;16300.0;15800.0;6440000.0;-1.25
Jun 08, 2020;16050.0;16200.0;16200.0;15900.0;5990000.0;2.23
Jun 05, 2020;15700.0;15700.0;15800.0;15500.0;5730000.0;0.00
Jun 04, 2020;15700.0;15450.0;15950.0;15450.0;9360000.0;3.29
Jun 03, 2020;15200.0;15100.0;15200.0;15000.0;3250000.0;1.00
Jun 02, 2020;15050.0;15300.0;15350.0;15000.0;6110000.0;-0.99
Jun 01, 2020;15200.0;14900.0;15300.0;14850.0;4460000.0;2.70
May 29, 2020;14800.0;14800.0;14900.0;14650.0;3570000.0;-0.34
May 28, 2020;14850.0;14900.0;15100.0;14800.0;4880000.0;-0.34
May 27, 2020;14900.0;15500.0;15550.0;14900.0;7940000.0;-2.93
May 26, 2020;15350.0;14700.0;15400.0;14650.0;8119999.999999999;5.50
May 25, 2020;14550.0;14400.0;14600.0;14300.0;6020000.0;1.75
May 22, 2020;14300.0;14200.0;14700.0;14100.0;7460000.0;-0.35
May 21, 2020;14350.0;14450.0;14500.0;14200.0;3310000.0;0.35
May 20, 2020;14300.0;14250.0;14400.0;14200.0;2580000.0;0.00
May 19, 2020;14300.0;14500.0;14600.0;14200.0;6870000.0;1.06
May 18, 2020;14150.0;13950.0;14200.0;13850.0;2310000.0;1.43
May 15, 2020;13950.0;14350.0;14450.0;13900.0;3730000.0;-2.11
May 14, 2020;14250.0;13850.0;14650.0;13850.0;5860000.0;1.42
May 13, 2020;14050.0;14000.0;14300.0;13700.0;5490000.0;-1.06
May 12, 2020;14200.0;14000.0;14350.0;13800.0;3960000.0;0.35
May 11, 2020;14150.0;13700.0;14150.0;13650.0;6210000.0;4.81
May 08, 2020;13500.0;13200.0;13800.0;13200.0;7920000.0;2.27
May 07, 2020;13200.0;12950.0;13200.0;12900.0;2330000.0;1.93
May 06, 2020;12950.0;12750.0;13000.0;12700.0;1680000.0;2.37
May 05, 2020;12650.0;12700.0;12900.0;12600.0;1670000.0;-0.39
May 04, 2020;12700.0;12900.0;13000.0;12700.0;2180000.0;-2.31
Apr 29, 2020;13000.0;13000.0;13100.0;12900.0;1450000.0;0.39
Apr 28, 2020;12950.0;13100.0;13100.0;12800.0;2590000.0;-1.15
Apr 27, 2020;13100.0;13350.0;13350.0;13050.0;2110000.0;-1.13
Apr 24, 2020;13250.0;13250.0;13350.0;13050.0;1510000.0;-0.38
Apr 23, 2020;13300.0;13500.0;13800.0;13300.0;2590000.0;0.00
Apr 22, 2020;13300.0;12500.0;13450.0;12500.0;3440000.0;3.50
Apr 21, 2020;12850.0;13300.0;13450.0;12750.0;4440000.0;-6.20
Apr 20, 2020;13700.0;13650.0;13800.0;13450.0;3330000.0;0.74
Apr 17, 2020;13600.0;13500.0;13800.0;13450.0;3940000.0;1.87
Apr 16, 2020;13350.0;13200.0;13550.0;13100.0;2600000.0;0.00
Apr 15, 2020;13350.0;13300.0;13450.0;13200.0;3080000.0;1.14
Apr 14, 2020;13200.0;13050.0;13200.0;12750.0;3900000.0;0.38
Apr 13, 2020;13150.0;13150.0;13400.0;13000.0;3570000.0;-1.13
Apr 10, 2020;13300.0;13300.0;13600.0;13000.0;3230000.0;0.76
