tradeDate;Price;OpenPrice;High;Low;Vol.;Change %
Jun 11, 2020;20900.0;21900.0;21900.0;20900.0;3480000.0;-4.35
Jun 10, 2020;21850.0;21350.0;21950.0;21250.0;2300000.0;1.39
Jun 09, 2020;21550.0;21700.0;21800.0;21500.0;1700000.0;-0.69
Jun 08, 2020;21700.0;21550.0;21900.0;21550.0;3480000.0;1.17
Jun 05, 2020;21450.0;21250.0;21450.0;21100.0;2250000.0;1.18
Jun 04, 2020;21200.0;21400.0;21450.0;21200.0;2220000.0;-0.70
Jun 03, 2020;21350.0;21150.0;21450.0;21150.0;2060000.0;0.95
Jun 02, 2020;21150.0;21500.0;21500.0;21100.0;2470000.0;-0.70
Jun 01, 2020;21300.0;20800.0;21300.0;20800.0;2340000.0;2.90
May 29, 2020;20700.0;20850.0;20950.0;20700.0;1100000.0;-0.96
May 28, 2020;20900.0;20900.0;21200.0;20800.0;1580000.0;0.00
May 27, 2020;20900.0;21200.0;21400.0;20900.0;2670000.0;-1.18
May 26, 2020;21150.0;21100.0;21300.0;21000.0;2220000.0;0.48
May 25, 2020;21050.0;21100.0;21300.0;20950.0;1960000.0;0.00
May 22, 2020;21050.0;21600.0;21600.0;21050.0;3320000.0;-4.32
May 21, 2020;22000.0;21050.0;22000.0;20850.0;3540000.0;4.51
May 20, 2020;21050.0;21000.0;21200.0;20950.0;1910000.0;-1.17
May 19, 2020;21300.0;21350.0;21400.0;20950.0;4139999.9999999995;3.15
May 18, 2020;20650.0;20050.0;20750.0;19900.0;3020000.0;1.98
May 15, 2020;20250.0;20600.0;20600.0;20000.0;3000000.0;-1.22
May 14, 2020;20500.0;20400.0;20600.0;20100.0;3350000.0;-0.49
May 13, 2020;20600.0;20300.0;20700.0;19800.0;4750000.0;0.00
May 12, 2020;20600.0;20100.0;20750.0;19600.0;3560000.0;1.98
May 11, 2020;20200.0;19500.0;20200.0;19350.0;4770000.0;6.88
May 08, 2020;18900.0;17700.0;18900.0;17700.0;7260000.0;6.78
May 07, 2020;17700.0;17550.0;17700.0;17450.0;2410000.0;0.85
May 06, 2020;17550.0;17550.0;17550.0;17250.0;1180000.0;0.86
May 05, 2020;17400.0;17500.0;17600.0;17350.0;546010.0;0.00
May 04, 2020;17400.0;17200.0;17700.0;17150.0;2020000.0;1.16
Apr 29, 2020;17200.0;17100.0;17550.0;17000.0;2860000.0;0.58
Apr 28, 2020;17100.0;17150.0;17150.0;16850.0;921180.0;0.29
Apr 27, 2020;17050.0;17100.0;17250.0;17000.0;962880.0;-0.29
Apr 24, 2020;17100.0;17100.0;17150.0;16900.0;851770.0;0.88
Apr 23, 2020;16950.0;17200.0;17300.0;16950.0;1400000.0;0.30
Apr 22, 2020;16900.0;16250.0;17200.0;16250.0;1740000.0;0.30
Apr 21, 2020;16850.0;17300.0;17400.0;16700.0;3050000.0;-4.80
Apr 20, 2020;17700.0;17900.0;17950.0;17500.0;1850000.0;-0.28
Apr 17, 2020;17750.0;17800.0;17850.0;17500.0;2250000.0;1.14
Apr 16, 2020;17550.0;17500.0;17550.0;17200.0;1860000.0;0.00
Apr 15, 2020;17550.0;17300.0;17550.0;17200.0;2540000.0;2.33
Apr 14, 2020;17150.0;17350.0;17350.0;16900.0;1450000.0;-0.29
Apr 13, 2020;17200.0;16750.0;17600.0;16750.0;2560000.0;2.69
Apr 10, 2020;16750.0;16700.0;16950.0;16650.0;1500000.0;-0.89
Apr 09, 2020;16900.0;17100.0;17150.0;16850.0;2200000.0;1.20
Apr 08, 2020;16700.0;16800.0;16800.0;16300.0;1410000.0;-1.47
Apr 07, 2020;16950.0;17000.0;17200.0;16800.0;2420000.0;0.00
Apr 06, 2020;16950.0;16200.0;16950.0;16100.0;2970000.0;6.94
Apr 03, 2020;15850.0;15500.0;15950.0;15500.0;1430000.0;2.26
Apr 01, 2020;15500.0;15000.0;15600.0;14350.0;1320000.0;3.33
Mar 31, 2020;15000.0;15000.0;15500.0;14000.0;1580000.0;0.67
Mar 30, 2020;14900.0;15100.0;15500.0;14900.0;3360000.0;-6.88
Mar 27, 2020;16000.0;16150.0;16200.0;15600.0;2750000.0;-0.62
Mar 26, 2020;16100.0;16600.0;16600.0;16100.0;1490000.0;-3.01
Mar 25, 2020;16600.0;16500.0;16700.0;16300.0;2950000.0;3.11
Mar 24, 2020;16100.0;16500.0;16500.0;16000.0;3210000.0;-0.31
Mar 23, 2020;16150.0;16200.0;17000.0;16150.0;3270000.0;-6.92
Mar 20, 2020;17350.0;17450.0;17500.0;17150.0;1880000.0;0.58
Mar 19, 2020;17250.0;17600.0;17800.0;17150.0;2210000.0;-3.90
Mar 18, 2020;17950.0;18100.0;18200.0;17700.0;1910000.0;0.00
Mar 17, 2020;17950.0;17000.0;17950.0;16850.0;3110000.0;2.87
Mar 16, 2020;17450.0;18250.0;18250.0;17200.0;3650000.0;-4.38
Mar 13, 2020;18250.0;16700.0;18550.0;16700.0;4330000.0;1.67
Mar 12, 2020;17950.0;18000.0;18500.0;17950.0;4050000.0;-6.99
Mar 11, 2020;19300.0;20800.0;20950.0;19300.0;5630000.0;-6.76
Mar 10, 2020;20700.0;20400.0;21000.0;20100.0;3160000.0;0.73
Mar 09, 2020;20550.0;20650.0;21000.0;20550.0;4580000.0;-6.80
Mar 06, 2020;22050.0;22200.0;22200.0;21800.0;2250000.0;-1.12
Mar 05, 2020;22300.0;22550.0;22850.0;22300.0;2020000.0;-1.11
Mar 04, 2020;22550.0;22350.0;22600.0;22200.0;1940000.0;0.22
Mar 03, 2020;22500.0;22850.0;23000.0;22500.0;2160000.0;0.00
Mar 02, 2020;22500.0;22400.0;22650.0;22100.0;2570000.0;1.12
Feb 28, 2020;22250.0;22000.0;22400.0;21850.0;2430000.0;-2.20
Feb 27, 2020;22750.0;22350.0;22750.0;22200.0;2320000.0;1.79
Feb 26, 2020;22350.0;21750.0;22500.0;21600.0;2240000.0;0.68
Feb 25, 2020;22200.0;21000.0;22250.0;20800.0;3240000.0;3.26
Feb 24, 2020;21500.0;22750.0;22750.0;21500.0;7510000.0;-6.93
Feb 21, 2020;23100.0;23400.0;23700.0;23100.0;2960000.0;-1.70
Feb 20, 2020;23500.0;23700.0;23900.0;23300.0;2950000.0;-0.63
Feb 19, 2020;23650.0;23600.0;23700.0;23450.0;1980000.0;-0.21
Feb 18, 2020;23700.0;23800.0;24100.0;23550.0;4270000.0;-0.42
Feb 17, 2020;23800.0;23400.0;23900.0;23250.0;6390000.0;2.15
Feb 14, 2020;23300.0;23100.0;23400.0;22900.0;4380000.0;3.10
Feb 13, 2020;22600.0;22550.0;22650.0;22400.0;1820000.0;-0.22
Feb 12, 2020;22650.0;22300.0;22950.0;22200.0;3160000.0;2.26
Feb 11, 2020;22150.0;21850.0;22300.0;21850.0;1350000.0;1.37
Feb 10, 2020;21850.0;21900.0;22000.0;21650.0;1300000.0;-1.35
Feb 07, 2020;22150.0;22350.0;22350.0;21900.0;1970000.0;-0.89
Feb 06, 2020;22350.0;21650.0;22450.0;21500.0;2680000.0;2.76
Feb 05, 2020;21750.0;22000.0;22150.0;21550.0;2430000.0;0.00
Feb 04, 2020;21750.0;21500.0;21900.0;21200.0;2200000.0;1.40
Feb 03, 2020;21450.0;20500.0;22100.0;20350.0;4260000.0;-0.69
Jan 31, 2020;21600.0;22650.0;22900.0;21600.0;6120000.0;-5.68
Jan 30, 2020;22900.0;23500.0;23800.0;22750.0;4010000.0;-5.37
Jan 22, 2020;24200.0;24250.0;24250.0;23950.0;2310000.0;0.62
Jan 21, 2020;24050.0;23450.0;24050.0;23400.0;7460000.0;3.00
Jan 20, 2020;23350.0;23300.0;23450.0;23200.0;2020000.0;-0.21
Jan 17, 2020;23400.0;23400.0;23600.0;23300.0;1880000.0;0.43
Jan 16, 2020;23300.0;22900.0;23350.0;22900.0;4380000.0;1.75
Jan 15, 2020;22900.0;22900.0;23000.0;22800.0;1930000.0;0.00
Jan 14, 2020;22900.0;22950.0;23050.0;22900.0;1800000.0;-0.22
Jan 13, 2020;22950.0;23000.0;23150.0;22750.0;892360.0;-0.86
Jan 10, 2020;23150.0;23000.0;23500.0;23000.0;3680000.0;0.43
Jan 09, 2020;23050.0;23000.0;23100.0;22850.0;2009999.9999999998;1.32
Jan 08, 2020;22750.0;22800.0;23050.0;22600.0;1710000.0;-1.94
Jan 07, 2020;23200.0;23050.0;23200.0;23000.0;1040000.0;0.65
Jan 06, 2020;23050.0;23400.0;23400.0;23050.0;1160000.0;-2.54
Jan 03, 2020;23650.0;23900.0;23950.0;23650.0;756700.0;-0.63
Jan 02, 2020;23800.0;23550.0;23850.0;23500.0;1390000.0;1.06
Dec 31, 2019;23550.0;23450.0;23750.0;23450.0;731740.0;0.43
Dec 30, 2019;23450.0;23500.0;23950.0;23350.0;2450000.0;1.08
Dec 27, 2019;23200.0;23050.0;23200.0;22950.0;819850.0;0.65
Dec 26, 2019;23050.0;23000.0;23050.0;22900.0;855750.0;0.22
Dec 25, 2019;23000.0;23000.0;23150.0;22950.0;598950.0;0.00
Dec 24, 2019;23000.0;23150.0;23150.0;22850.0;419130.0;-0.43
Dec 23, 2019;23100.0;23000.0;23250.0;22900.0;2390000.0;1.32
Dec 20, 2019;22800.0;22400.0;22800.0;22400.0;653220.0;2.01
Dec 19, 2019;22350.0;22600.0;22750.0;22300.0;1750000.0;-1.54
Dec 18, 2019;22700.0;22700.0;22800.0;22600.0;681130.0;-0.22
Dec 17, 2019;22750.0;23100.0;23150.0;22750.0;797100.0;-1.73
Dec 16, 2019;23150.0;23000.0;23150.0;22900.0;837370.0;0.00
Dec 13, 2019;23150.0;23200.0;23250.0;23000.0;903570.0;0.00
Dec 12, 2019;23150.0;22650.0;23300.0;22650.0;1020000.0;1.98
Dec 11, 2019;22700.0;22500.0;22750.0;22500.0;795470.0;1.34
Dec 10, 2019;22400.0;22750.0;22800.0;22300.0;1280000.0;-1.75
Dec 09, 2019;22800.0;23150.0;23250.0;22700.0;799820.0;-1.51
Dec 06, 2019;23150.0;23250.0;23400.0;23100.0;509280.0;-0.43
Dec 05, 2019;23250.0;23450.0;23550.0;23100.0;588750.0;-0.85
Dec 04, 2019;23450.0;22550.0;23450.0;22550.0;1110000.0;3.99
Dec 03, 2019;22550.0;22700.0;22750.0;22350.0;1530000.0;-0.66
Dec 02, 2019;22700.0;22950.0;23050.0;22600.0;1160000.0;-0.87
Nov 29, 2019;22900.0;23000.0;23100.0;22750.0;754400.0;0.00
Nov 28, 2019;22900.0;23350.0;23350.0;22900.0;1130000.0;-1.93
Nov 27, 2019;23350.0;23500.0;23600.0;23350.0;816030.0;-0.43
Nov 26, 2019;23450.0;23400.0;23500.0;23300.0;995420.0;0.64
Nov 25, 2019;23300.0;23100.0;23300.0;22850.0;1110000.0;1.08
Nov 22, 2019;23050.0;24000.0;24000.0;22800.0;2350000.0;-1.91
Nov 21, 2019;23500.0;24350.0;24400.0;23500.0;4050000.0;-3.69
Nov 20, 2019;24400.0;24800.0;24900.0;24300.0;1190000.0;-1.41
Nov 19, 2019;24750.0;24450.0;24800.0;24450.0;986340.0;1.23
Nov 18, 2019;24450.0;24900.0;24950.0;24450.0;1330000.0;-1.81
Nov 15, 2019;24900.0;24700.0;24950.0;24400.0;1360000.0;0.81
Nov 14, 2019;24700.0;24700.0;24750.0;24450.0;1790000.0;-0.20
Nov 13, 2019;24750.0;25300.0;25300.0;24750.0;3310000.0;-1.59
Nov 12, 2019;25150.0;25050.0;25200.0;25000.0;1410000.0;0.00
Nov 11, 2019;25150.0;25200.0;25500.0;25050.0;3590000.0;0.20
