tradeDate;Price;OpenPrice;High;Low;Vol.;Change %
Jun 11, 2020;88000.0;89500.0;89600.0;87000.0;1160000.0;-1.79
Jun 10, 2020;89600.0;89500.0;89800.0;89300.0;793590.0;0.11
Jun 09, 2020;89500.0;89900.0;90000.0;89400.0;417690.0;0.11
Jun 08, 2020;89400.0;89000.0;90200.0;88400.0;802240.0;0.45
Jun 05, 2020;89000.0;89100.0;89300.0;87000.0;810570.0;0.00
Jun 04, 2020;89000.0;88000.0;89000.0;88000.0;450240.0;1.25
Jun 03, 2020;87900.0;87000.0;87900.0;86900.0;462750.0;1.50
Jun 02, 2020;86600.0;86900.0;86900.0;86300.0;1010000.0;0.12
Jun 01, 2020;86500.0;85500.0;86700.0;85500.0;725310.0;1.53
May 29, 2020;85200.0;85000.0;86000.0;84500.0;1160000.0;0.83
May 28, 2020;84500.0;83000.0;85100.0;83000.0;1850000.0;1.93
May 27, 2020;82900.0;83000.0;84400.0;82900.0;817770.0;0.48
May 26, 2020;82500.0;81000.0;82600.0;81000.0;740930.0;1.73
May 25, 2020;81100.0;80900.0;81300.0;80800.0;708710.0;0.12
May 22, 2020;81000.0;81200.0;81300.0;80000.0;805710.0;-0.25
May 21, 2020;81200.0;80000.0;81200.0;79600.0;1430000.0;2.01
May 20, 2020;79600.0;78400.0;79700.0;78400.0;710200.0;0.76
May 19, 2020;79000.0;79900.0;80100.0;78800.0;1130000.0;0.64
May 18, 2020;78500.0;76300.0;79000.0;75800.0;1000000.0;3.29
May 15, 2020;76000.0;76400.0;76500.0;75600.0;1600000.0;0.00
May 14, 2020;76000.0;75000.0;76400.0;74900.0;2120000.0;0.53
May 13, 2020;75600.0;75600.0;76500.0;72000.0;1850000.0;0.00
May 12, 2020;75600.0;74600.0;76000.0;74400.0;2200000.0;1.48
May 11, 2020;74500.0;73500.0;74500.0;72500.0;1700000.0;1.36
May 08, 2020;73500.0;70000.0;74200.0;69800.0;3870000.0;5.45
May 07, 2020;69700.0;67800.0;69700.0;67700.0;1940000.0;3.11
May 06, 2020;67600.0;67300.0;67700.0;66500.0;855770.0;1.20
May 05, 2020;66800.0;67300.0;67700.0;66800.0;1010000.0;-0.89
May 04, 2020;67400.0;68000.0;68100.0;66800.0;852260.0;-0.88
Apr 29, 2020;68000.0;67000.0;68100.0;67000.0;1520000.0;1.49
Apr 28, 2020;67000.0;66800.0;68500.0;65200.0;2049999.9999999998;0.30
Apr 27, 2020;66800.0;69900.0;69900.0;66800.0;2550000.0;-3.05
Apr 24, 2020;68900.0;69200.0;69600.0;67500.0;972170.0;-0.43
Apr 23, 2020;69200.0;71000.0;71000.0;68800.0;1200000.0;-0.14
Apr 22, 2020;69300.0;69000.0;71100.0;69000.0;1610000.0;-3.08
Apr 21, 2020;71500.0;71000.0;71500.0;67800.0;2160000.0;-0.56
Apr 20, 2020;71900.0;71700.0;72400.0;70800.0;1030000.0;0.70
Apr 17, 2020;71400.0;71500.0;71800.0;70900.0;1470000.0;0.28
Apr 16, 2020;71200.0;70000.0;71200.0;69800.0;1060000.0;0.42
Apr 15, 2020;70900.0;69700.0;71300.0;69700.0;1020000.0;1.43
Apr 14, 2020;69900.0;70500.0;70800.0;67800.0;1940000.0;-1.27
Apr 13, 2020;70800.0;70600.0;71800.0;70000.0;1050000.0;0.28
Apr 10, 2020;70600.0;71000.0;71900.0;69600.0;1600000.0;-0.56
Apr 09, 2020;71000.0;68000.0;72000.0;68000.0;1800000.0;5.19
Apr 08, 2020;67500.0;67000.0;68200.0;66800.0;1780000.0;-1.03
Apr 07, 2020;68200.0;68000.0;69000.0;66800.0;1770000.0;0.29
Apr 06, 2020;68000.0;67500.0;68300.0;66000.0;2110000.0;3.82
Apr 03, 2020;65500.0;65000.0;66300.0;64000.0;1730000.0;0.77
Apr 01, 2020;65000.0;61500.0;65900.0;61500.0;1230000.0;4.84
Mar 31, 2020;62000.0;61500.0;64100.0;60000.0;957500.0;1.64
Mar 30, 2020;61000.0;60100.0;61400.0;59800.0;1640000.0;-4.84
Mar 27, 2020;64100.0;63300.0;65900.0;62500.0;1570000.0;1.42
Mar 26, 2020;63200.0;62000.0;64700.0;61500.0;1480000.0;1.94
Mar 25, 2020;62000.0;60000.0;62000.0;59700.0;1840000.0;6.90
Mar 24, 2020;58000.0;57200.0;58400.0;56600.0;1500000.0;1.40
Mar 23, 2020;57200.0;57600.0;58500.0;57200.0;1880000.0;-6.99
Mar 20, 2020;61500.0;66000.0;66300.0;61500.0;2760000.0;-6.82
Mar 19, 2020;66000.0;67300.0;68700.0;66000.0;1190000.0;-4.76
Mar 18, 2020;69300.0;68000.0;70700.0;68000.0;1100000.0;2.67
Mar 17, 2020;67500.0;63600.0;67500.0;63600.0;1360000.0;0.60
Mar 16, 2020;67100.0;71000.0;71000.0;66500.0;1020000.0;-5.49
Mar 13, 2020;71000.0;66700.0;73000.0;66700.0;1860000.0;-0.98
Mar 12, 2020;71700.0;72000.0;73000.0;71700.0;1580000.0;-6.88
Mar 11, 2020;77000.0;80400.0;80400.0;74400.0;1810000.0;-3.63
Mar 10, 2020;79900.0;78000.0;79900.0;75400.0;1430000.0;1.65
Mar 09, 2020;78600.0;79000.0;80900.0;78600.0;1210000.0;-6.98
Mar 06, 2020;84500.0;83000.0;85700.0;82000.0;884750.0;1.68
Mar 05, 2020;83100.0;82200.0;83600.0;82200.0;833710.0;1.71
Mar 04, 2020;81700.0;82000.0;82000.0;81000.0;581530.0;-0.61
Mar 03, 2020;82200.0;83500.0;83500.0;82200.0;848270.0;0.49
Mar 02, 2020;81800.0;81500.0;82200.0;81300.0;668980.0;-0.73
Feb 28, 2020;82400.0;80100.0;83400.0;80100.0;1710000.0;-1.90
Feb 27, 2020;84000.0;84000.0;84600.0;82900.0;1230000.0;-1.18
Feb 26, 2020;85000.0;86000.0;86000.0;84000.0;1160000.0;-1.39
Feb 25, 2020;86200.0;86000.0;87000.0;85800.0;1230000.0;-1.15
Feb 24, 2020;87200.0;86000.0;88000.0;86000.0;995910.0;-2.02
Feb 21, 2020;89000.0;89500.0;89500.0;89000.0;898350.0;-0.56
Feb 20, 2020;89500.0;89700.0;90400.0;89200.0;541120.0;0.00
Feb 19, 2020;89500.0;89000.0;89500.0;89000.0;264010.0;0.11
Feb 18, 2020;89400.0;89600.0;89600.0;89000.0;432880.0;0.00
