tradeDate;Price;OpenPrice;High;Low;Vol.;Change %
Jun 11, 2020;93000.0;95600.0;96200.0;93000.0;761540.0;-2.72
Jun 10, 2020;95600.0;96200.0;96200.0;95400.0;488490.0;-0.62
Jun 09, 2020;96200.0;97000.0;97000.0;96100.0;318400.0;0.21
Jun 08, 2020;96000.0;95200.0;97600.0;95200.0;482180.0;1.05
Jun 05, 2020;95000.0;96000.0;96200.0;95000.0;525870.0;-1.04
Jun 04, 2020;96000.0;96800.0;96800.0;96000.0;550740.0;-0.83
Jun 03, 2020;96800.0;96500.0;96800.0;95500.0;466430.0;0.10
Jun 02, 2020;96700.0;97200.0;97200.0;96500.0;501700.0;-0.51
Jun 01, 2020;97200.0;97000.0;97200.0;96500.0;481490.0;0.21
May 29, 2020;97000.0;97000.0;97500.0;96600.0;493500.0;0.00
May 28, 2020;97000.0;96900.0;97500.0;96300.0;314790.0;0.10
May 27, 2020;96900.0;96900.0;97900.0;96500.0;591440.0;0.00
May 26, 2020;96900.0;97000.0;97500.0;96400.0;360000.0;-0.21
May 25, 2020;97100.0;96200.0;97100.0;96000.0;216400.0;0.73
May 22, 2020;96400.0;98000.0;98000.0;96400.0;292930.0;-1.63
May 21, 2020;98000.0;97000.0;98000.0;96900.0;674380.0;1.45
May 20, 2020;96600.0;96400.0;97000.0;96100.0;254730.0;0.10
May 19, 2020;96500.0;97100.0;97400.0;96000.0;729850.0;0.00
May 18, 2020;96500.0;97000.0;97000.0;95500.0;229440.0;-0.52
May 15, 2020;97000.0;96000.0;97500.0;95800.0;327650.0;1.04
May 14, 2020;96000.0;95000.0;96700.0;93900.0;1000000.0;1.05
May 13, 2020;95000.0;95100.0;96000.0;91500.0;2650000.0;-2.06
May 12, 2020;97000.0;97400.0;97400.0;95000.0;770030.0;-0.51
May 11, 2020;97500.0;98000.0;98000.0;95900.0;1360000.0;0.00
May 08, 2020;97500.0;96400.0;100000.0;96100.0;1680000.0;1.56
May 07, 2020;96000.0;95000.0;96000.0;94000.0;617800.0;1.05
May 06, 2020;95000.0;92600.0;95000.0;92500.0;773570.0;2.48
May 05, 2020;92700.0;91800.0;93000.0;91800.0;274700.0;0.98
May 04, 2020;91800.0;91900.0;92500.0;90000.0;259550.0;-0.11
Apr 29, 2020;91900.0;93000.0;93400.0;90500.0;314400.0;-0.11
Apr 28, 2020;92000.0;92500.0;92900.0;91500.0;222920.0;0.00
Apr 27, 2020;92000.0;95000.0;95000.0;92000.0;453720.0;-1.08
Apr 24, 2020;93000.0;93000.0;93900.0;92400.0;300240.0;0.00
Apr 23, 2020;93000.0;93000.0;94900.0;92700.0;347420.0;0.54
Apr 22, 2020;92500.0;92000.0;92800.0;90500.0;884070.0;-0.54
Apr 21, 2020;93000.0;95500.0;95500.0;92500.0;892270.0;-3.33
Apr 20, 2020;96200.0;96100.0;96400.0;94900.0;1060000.0;0.10
Apr 17, 2020;96100.0;95300.0;96100.0;89200.0;1190000.0;0.21
Apr 16, 2020;95900.0;96000.0;96000.0;94700.0;845580.0;-0.10
Apr 15, 2020;96000.0;95600.0;96000.0;94900.0;1180000.0;0.42
Apr 14, 2020;95600.0;96500.0;96500.0;94500.0;631630.0;-0.42
Apr 13, 2020;96000.0;95800.0;96000.0;94900.0;1410000.0;1.05
Apr 10, 2020;95000.0;96000.0;96800.0;93700.0;983120.0;-1.04
Apr 09, 2020;96000.0;94000.0;97300.0;93800.0;1560000.0;2.13
Apr 08, 2020;94000.0;97000.0;97000.0;94000.0;760120.0;-3.39
Apr 07, 2020;97300.0;97600.0;100900.0;93000.0;2860000.0;0.00
Apr 06, 2020;97300.0;92000.0;97300.0;91300.0;2700000.0;6.92
Apr 03, 2020;91000.0;86000.0;91000.0;86000.0;1180000.0;5.81
Apr 01, 2020;86000.0;82500.0;87000.0;81000.0;437820.0;3.12
Mar 31, 2020;83400.0;81400.0;87000.0;80400.0;1300000.0;2.46
Mar 30, 2020;81400.0;80800.0;82000.0;80800.0;881240.0;-6.22
Mar 27, 2020;86800.0;82000.0;87400.0;79500.0;1150000.0;6.11
Mar 26, 2020;81800.0;77600.0;81800.0;75600.0;1240000.0;6.93
Mar 25, 2020;76500.0;71500.0;76500.0;68000.0;1400000.0;6.99
Mar 24, 2020;71500.0;71800.0;75000.0;71500.0;1470000.0;-6.90
Mar 23, 2020;76800.0;78000.0;78300.0;76800.0;678160.0;-6.91
Mar 20, 2020;82500.0;88700.0;88700.0;82500.0;1080000.0;-6.99
Mar 19, 2020;88700.0;86900.0;88700.0;83100.0;1100000.0;-0.34
Mar 18, 2020;89000.0;87900.0;90000.0;86500.0;785390.0;0.56
Mar 17, 2020;88500.0;89500.0;92300.0;87600.0;681330.0;-4.32
Mar 16, 2020;92500.0;92000.0;92500.0;86600.0;971340.0;0.00
Mar 13, 2020;92500.0;86000.0;92500.0;85400.0;1230000.0;0.76
Mar 12, 2020;91800.0;91000.0;92300.0;90300.0;1900000.0;-5.36
Mar 11, 2020;97000.0;98000.0;98000.0;91100.0;1050000.0;-0.72
Mar 10, 2020;97700.0;93000.0;99200.0;91200.0;825490.0;0.00
Mar 09, 2020;97700.0;101500.0;102000.0;97700.0;966890.0;-6.95
Mar 06, 2020;105000.0;105000.0;105000.0;103100.0;750830.0;-0.57
Mar 05, 2020;105600.0;105100.0;105900.0;103800.0;352300.0;0.09
Mar 04, 2020;105500.0;104600.0;105500.0;103500.0;443810.0;0.00
Mar 03, 2020;105500.0;105100.0;105600.0;104500.0;557950.0;0.09
Mar 02, 2020;105400.0;104000.0;105400.0;102700.0;742130.0;0.00
Feb 28, 2020;105400.0;105000.0;105400.0;103000.0;870840.0;-0.19
Feb 27, 2020;105600.0;105800.0;106000.0;104100.0;740420.0;-0.28
Feb 26, 2020;105900.0;104000.0;106600.0;104000.0;625410.0;-1.03
Feb 25, 2020;107000.0;106700.0;107300.0;105900.0;543820.0;-0.28
Feb 24, 2020;107300.0;107100.0;108000.0;105500.0;1430000.0;-2.37
Feb 21, 2020;109900.0;108600.0;110000.0;107800.0;309060.0;-0.09
Feb 20, 2020;110000.0;106000.0;110000.0;105000.0;353570.0;4.76
Feb 19, 2020;105000.0;103500.0;107000.0;103500.0;875320.0;0.48
Feb 18, 2020;104500.0;107000.0;107000.0;104000.0;791870.0;-3.24
Feb 17, 2020;108000.0;110000.0;110000.0;105000.0;742220.0;-1.82
Feb 14, 2020;110000.0;112300.0;112600.0;110000.0;252390.0;-2.14
Feb 13, 2020;112400.0;111500.0;112700.0;111400.0;285340.0;0.36
Feb 12, 2020;112000.0;113400.0;113400.0;112000.0;452790.0;-1.23
Feb 11, 2020;113400.0;113500.0;114200.0;113000.0;290630.0;-0.26
Feb 10, 2020;113700.0;113000.0;114100.0;113000.0;192700.0;-0.61
Feb 07, 2020;114400.0;114000.0;114400.0;112000.0;1300000.0;0.00
Feb 06, 2020;114400.0;114500.0;114700.0;112800.0;676290.0;-0.09
Feb 05, 2020;114500.0;114800.0;114800.0;113000.0;468420.0;-0.26
Feb 04, 2020;114800.0;113600.0;114800.0;111800.0;1490000.0;0.00
Feb 03, 2020;114800.0;113800.0;114800.0;112300.0;760420.0;0.00
Jan 31, 2020;114800.0;114900.0;114900.0;113600.0;831740.0;-0.09
Jan 30, 2020;114900.0;114100.0;114900.0;112100.0;682720.0;0.00
Jan 22, 2020;114900.0;114900.0;114900.0;114200.0;371780.0;0.00
Jan 21, 2020;114900.0;114300.0;115000.0;114300.0;181510.0;0.00
Jan 20, 2020;114900.0;114900.0;114900.0;114300.0;370670.0;0.00
Jan 17, 2020;114900.0;114900.0;115100.0;114400.0;169100.0;-0.09
Jan 16, 2020;115000.0;115000.0;115100.0;114300.0;186740.0;0.00
