tradeDate;Price;OpenPrice;High;Low;Vol.;Change %
Jun 11, 2020;113500.0;117800.0;117900.0;113500.0;697580.0;-3.65
Jun 10, 2020;117800.0;117900.0;118400.0;117400.0;544330.0;0.00
Jun 09, 2020;117800.0;116800.0;118800.0;116000.0;727700.0;2.43
Jun 08, 2020;115000.0;114300.0;115600.0;114300.0;688020.0;0.61
Jun 05, 2020;114300.0;114100.0;114300.0;113600.0;368780.0;0.00
Jun 04, 2020;114300.0;113900.0;114300.0;113800.0;687650.0;0.44
Jun 03, 2020;113800.0;114700.0;114700.0;113700.0;311360.0;-0.78
Jun 02, 2020;114700.0;113300.0;115500.0;113200.0;593950.0;1.24
Jun 01, 2020;113300.0;113000.0;114000.0;112900.0;406510.0;0.27
May 29, 2020;113000.0;113300.0;113300.0;112900.0;449840.0;-0.26
May 28, 2020;113300.0;113000.0;114200.0;113000.0;436060.0;0.27
May 27, 2020;113000.0;113000.0;115200.0;113000.0;496870.0;0.00
May 26, 2020;113000.0;113000.0;113300.0;112400.0;464120.0;-0.09
May 25, 2020;113100.0;114000.0;114000.0;113100.0;331260.0;-0.79
May 22, 2020;114000.0;114800.0;114800.0;113000.0;397860.0;-0.87
May 21, 2020;115000.0;113700.0;115000.0;113600.0;452160.0;1.14
May 20, 2020;113700.0;114500.0;114500.0;113500.0;290200.0;-1.04
May 19, 2020;114900.0;115000.0;116000.0;114500.0;565860.0;0.79
May 18, 2020;114000.0;114000.0;114200.0;113100.0;403230.0;0.00
May 15, 2020;114000.0;114000.0;114500.0;113800.0;396390.0;0.00
May 14, 2020;114000.0;114800.0;114800.0;112800.0;529830.0;-0.78
May 13, 2020;114900.0;117000.0;117000.0;109200.0;709770.0;-2.13
May 12, 2020;117400.0;118600.0;118600.0;116600.0;448580.0;-1.01
May 11, 2020;118600.0;119300.0;119300.0;117600.0;404180.0;-1.17
May 08, 2020;120000.0;115200.0;123200.0;115100.0;922100.0;4.17
May 07, 2020;115200.0;112200.0;115200.0;112200.0;413820.0;2.77
May 06, 2020;112100.0;111800.0;112500.0;111700.0;411930.0;0.54
May 05, 2020;111500.0;114200.0;114300.0;111200.0;257529.99999999997;-2.45
May 04, 2020;114300.0;115500.0;116000.0;113900.0;265270.0;-1.04
Apr 29, 2020;115500.0;112900.0;116500.0;112100.0;500000.0;2.30
Apr 28, 2020;112900.0;113000.0;113500.0;112200.0;211570.0;-0.53
Apr 27, 2020;113500.0;115200.0;115200.0;113000.0;279920.0;-1.48
Apr 24, 2020;115200.0;116500.0;116500.0;114700.0;220300.0;-1.03
Apr 23, 2020;116400.0;115500.0;117300.0;115500.0;417880.0;1.13
Apr 22, 2020;115100.0;114700.0;115500.0;113800.0;422410.0;0.09
Apr 21, 2020;115000.0;116500.0;116500.0;113000.0;270040.0;-1.88
Apr 20, 2020;117200.0;117600.0;117600.0;116500.0;380240.0;-0.17
Apr 17, 2020;117400.0;116000.0;118000.0;116000.0;391890.0;1.21
Apr 16, 2020;116000.0;111000.0;116000.0;110600.0;304040.0;4.69
Apr 15, 2020;110800.0;111800.0;112200.0;106000.0;244450.0;-1.77
Apr 14, 2020;112800.0;114500.0;114500.0;109500.0;300930.0;-2.51
Apr 13, 2020;115700.0;113000.0;116700.0;112000.0;241950.0;6.05
Apr 10, 2020;109100.0;102000.0;109100.0;102000.0;268880.0;6.96
Apr 09, 2020;102000.0;99000.0;103000.0;98600.0;359760.0;3.03
Apr 08, 2020;99000.0;98500.0;99000.0;97500.0;272420.0;0.00
Apr 07, 2020;99000.0;100000.0;100000.0;97200.0;264000.0;-0.90
Apr 06, 2020;99900.0;99900.0;100200.0;99000.0;466290.0;0.00
Apr 03, 2020;99900.0;99200.0;101400.0;99000.0;377340.0;0.71
Apr 01, 2020;99200.0;97200.0;99200.0;97000.0;250950.0;2.06
Mar 31, 2020;97200.0;96500.0;98900.0;96000.0;153980.0;0.73
Mar 30, 2020;96500.0;94000.0;96500.0;93200.0;131550.0;-0.41
Mar 27, 2020;96900.0;96500.0;96900.0;94200.0;222210.0;-0.10
Mar 26, 2020;97000.0;97100.0;97100.0;94600.0;208360.0;-0.10
Mar 25, 2020;97100.0;98000.0;99500.0;96600.0;310640.0;0.62
Mar 24, 2020;96500.0;94800.0;98000.0;94600.0;331440.0;0.73
Mar 23, 2020;95800.0;100000.0;100000.0;95800.0;400260.0;-6.99
Mar 20, 2020;103000.0;98000.0;103000.0;97400.0;467800.0;5.10
Mar 19, 2020;98000.0;99200.0;100000.0;95100.0;540170.0;-3.35
Mar 18, 2020;101400.0;101700.0;102000.0;98000.0;383680.0;-0.29
Mar 17, 2020;101700.0;98000.0;101700.0;97700.0;439950.0;1.70
Mar 16, 2020;100000.0;99300.0;100000.0;96000.0;397240.0;-0.99
Mar 13, 2020;101000.0;99500.0;101000.0;94000.0;488260.0;0.00
Mar 12, 2020;101000.0;105500.0;106000.0;99100.0;791610.0;-5.16
Mar 11, 2020;106500.0;114500.0;114500.0;106500.0;683340.0;-6.99
Mar 10, 2020;114500.0;109000.0;114500.0;107800.0;346960.0;0.88
Mar 09, 2020;113500.0;119000.0;119000.0;112100.0;340670.0;-5.81
Mar 06, 2020;120500.0;122900.0;122900.0;119900.0;299570.0;-2.03
Mar 05, 2020;123000.0;121500.0;123900.0;121400.0;413440.0;1.40
Mar 04, 2020;121300.0;120800.0;128700.0;119900.0;401940.0;0.41
Mar 03, 2020;120800.0;120500.0;121900.0;120300.0;335300.0;0.00
Mar 02, 2020;120800.0;121000.0;121000.0;119400.0;339750.0;-0.90
Feb 28, 2020;121900.0;122000.0;122700.0;121800.0;305420.0;-0.73
Feb 27, 2020;122800.0;125000.0;125000.0;122700.0;243980.0;-1.76
Feb 26, 2020;125000.0;125500.0;125600.0;124800.0;388100.0;-1.57
Feb 25, 2020;127000.0;127800.0;127800.0;125200.0;247200.0;-0.78
Feb 24, 2020;128000.0;128400.0;128500.0;127300.0;306570.0;-0.47
Feb 21, 2020;128600.0;128500.0;128800.0;128400.0;371740.0;0.08
Feb 20, 2020;128500.0;128400.0;128700.0;128000.0;257700.0;0.08
Feb 19, 2020;128400.0;128700.0;128700.0;128300.0;377580.0;-0.23
Feb 18, 2020;128700.0;128800.0;128800.0;128400.0;347240.0;0.00
Feb 17, 2020;128700.0;128500.0;128900.0;128500.0;324750.0;0.08
Feb 14, 2020;128600.0;129200.0;129200.0;128400.0;280880.0;-0.46
