tradeDate;Price;OpenPrice;High;Low;Vol.;Change %
Jun 11, 2020;122300.0;123000.0;125000.0;121000.0;1100000.0;-0.57
Jun 10, 2020;123000.0;126000.0;126000.0;122800.0;1240000.0;-1.60
Jun 09, 2020;125000.0;123100.0;126000.0;123100.0;1700000.0;1.79
Jun 08, 2020;122800.0;119200.0;123400.0;119100.0;1420000.0;3.02
Jun 05, 2020;119200.0;117800.0;119200.0;116700.0;1080000.0;1.19
Jun 04, 2020;117800.0;117000.0;117900.0;117000.0;735420.0;1.03
Jun 03, 2020;116600.0;116200.0;118100.0;115600.0;1320000.0;0.52
Jun 02, 2020;116000.0;116100.0;117000.0;115700.0;891910.0;-0.09
Jun 01, 2020;116100.0;115100.0;117000.0;115100.0;1050000.0;0.96
May 29, 2020;115000.0;113500.0;115200.0;113500.0;1200000.0;0.17
May 28, 2020;114800.0;115000.0;116000.0;114800.0;1000000.0;-0.17
May 27, 2020;115000.0;117700.0;117800.0;115000.0;1110000.0;-2.21
May 26, 2020;117600.0;118000.0;118000.0;115200.0;983170.0;0.00
May 25, 2020;117600.0;114500.0;117600.0;114100.0;1580000.0;2.80
May 22, 2020;114400.0;114400.0;114800.0;113500.0;1080000.0;-0.52
May 21, 2020;115000.0;114000.0;115000.0;113500.0;1580000.0;0.88
May 20, 2020;114000.0;112500.0;114400.0;112500.0;1200000.0;1.24
May 19, 2020;112600.0;113800.0;114400.0;112300.0;1430000.0;1.35
May 18, 2020;111100.0;110800.0;111800.0;109000.0;898370.0;0.27
May 15, 2020;110800.0;113000.0;113500.0;109400.0;2320000.0;-1.95
May 14, 2020;113000.0;112600.0;113900.0;112500.0;1400000.0;-0.62
May 13, 2020;113700.0;113200.0;115000.0;110000.0;2510000.0;-0.18
May 12, 2020;113900.0;108500.0;114400.0;107400.0;2940000.0;4.98
May 11, 2020;108500.0;105000.0;108500.0;104700.0;1790000.0;3.33
May 08, 2020;105000.0;104500.0;107600.0;104000.0;3180000.0;1.55
May 07, 2020;103400.0;101600.0;103800.0;101500.0;1580000.0;1.87
May 06, 2020;101500.0;100700.0;101500.0;99700.0;1110000.0;1.00
May 05, 2020;100500.0;98800.0;100900.0;98000.0;1160000.0;2.97
