tradeDate;Price;OpenPrice;High;Low;Vol.;Change %
Jun 11, 2020;23100.0;24300.0;24300.0;23100.0;7900000.0;-4.35
Jun 10, 2020;24150.0;24000.0;24500.0;23500.0;5600000.0;0.21
Jun 09, 2020;24100.0;24450.0;24450.0;24000.0;4910000.0;-1.43
Jun 08, 2020;24450.0;24850.0;25000.0;24400.0;8060000.000000001;-0.20
Jun 05, 2020;24500.0;23900.0;24500.0;23800.0;5510000.0;2.08
Jun 04, 2020;24000.0;24500.0;24600.0;23950.0;5970000.0;-1.23
Jun 03, 2020;24300.0;24150.0;24400.0;23950.0;3920000.0;0.83
Jun 02, 2020;24100.0;24850.0;24850.0;23950.0;5980000.0;-1.83
Jun 01, 2020;24550.0;23750.0;24550.0;23400.0;8950000.0;5.14
May 29, 2020;23350.0;23100.0;23400.0;22950.0;3700000.0;1.08
May 28, 2020;23100.0;23100.0;23500.0;22750.0;6460000.0;0.43
May 27, 2020;23000.0;24300.0;24450.0;23000.0;7920000.0;-4.76
May 26, 2020;24150.0;24300.0;24750.0;24050.0;5060000.0;0.63
May 25, 2020;24000.0;24000.0;24250.0;23600.0;5170000.0;-0.62
May 22, 2020;24150.0;24700.0;24750.0;24100.0;4840000.0;-2.23
May 21, 2020;24700.0;24500.0;24750.0;24150.0;6690000.0;0.41
May 20, 2020;24600.0;24500.0;24900.0;24450.0;4800000.0;-1.60
May 19, 2020;25000.0;26000.0;26000.0;24950.0;7260000.0;-0.40
May 18, 2020;25100.0;23800.0;25100.0;23650.0;11750000.0;5.24
May 15, 2020;23850.0;23750.0;23950.0;23450.0;5060000.0;0.85
May 14, 2020;23650.0;23700.0;23900.0;23350.0;5060000.0;-1.05
May 13, 2020;23900.0;23700.0;24200.0;23050.0;7310000.0;-0.62
May 12, 2020;24050.0;24200.0;24200.0;23350.0;6830000.0;-0.21
May 11, 2020;24100.0;23200.0;24150.0;23200.0;8510000.0;5.70
May 08, 2020;22800.0;21500.0;22850.0;21500.0;14720000.0;6.54
May 07, 2020;21400.0;20800.0;21400.0;20800.0;3380000.0;2.64
May 06, 2020;20850.0;20350.0;20850.0;20300.0;2650000.0;2.46
May 05, 2020;20350.0;20250.0;20450.0;20000.0;2320000.0;1.50
May 04, 2020;20050.0;19550.0;20400.0;19500.0;3620000.0;-2.20
Apr 29, 2020;20500.0;21000.0;21100.0;20500.0;4670000.0;-2.38
Apr 28, 2020;21000.0;20900.0;21400.0;20500.0;2450000.0;0.00
Apr 27, 2020;21000.0;21900.0;21900.0;20950.0;8930000.0;2.44
Apr 24, 2020;20500.0;19900.0;20500.0;19550.0;3360000.0;3.02
Apr 23, 2020;19900.0;20700.0;20700.0;19900.0;3740000.0;-1.49
Apr 22, 2020;20200.0;19000.0;20850.0;19000.0;5780000.0;3.32
Apr 21, 2020;19550.0;20500.0;20900.0;19550.0;5650000.0;-6.90
Apr 20, 2020;21000.0;21700.0;21700.0;20800.0;3360000.0;-2.10
Apr 17, 2020;21450.0;22000.0;22200.0;21150.0;5010000.0;-1.38
Apr 16, 2020;21750.0;21050.0;21750.0;21000.0;3780000.0;0.00
Apr 15, 2020;21750.0;21750.0;22600.0;21500.0;4990000.0;2.11
Apr 14, 2020;21300.0;21100.0;21300.0;20200.0;8109999.999999999;6.77
Apr 13, 2020;19950.0;19050.0;19950.0;19000.0;4610000.0;6.97
Apr 10, 2020;18650.0;18600.0;18800.0;18200.0;3400000.0;-0.80
Apr 09, 2020;18800.0;18900.0;19300.0;18750.0;5980000.0;-0.53
Apr 08, 2020;18900.0;19000.0;19150.0;18600.0;3740000.0;-2.83
Apr 07, 2020;19450.0;19000.0;19450.0;18650.0;4310000.0;3.73
Apr 06, 2020;18750.0;18000.0;18750.0;17900.0;5260000.0;6.84
Apr 03, 2020;17550.0;17250.0;17850.0;17200.0;3240000.0;1.74
Apr 01, 2020;17250.0;16950.0;17500.0;16000.0;3690000.0;1.77
Mar 31, 2020;16950.0;18200.0;18450.0;16950.0;4500000.0;-6.87
Mar 30, 2020;18200.0;18200.0;18400.0;18200.0;853200.0;-6.91
Mar 27, 2020;19550.0;19600.0;19650.0;18800.0;4780000.0;-0.26
Mar 26, 2020;19600.0;20000.0;20150.0;19400.0;3020000.0;-3.45
Mar 25, 2020;20300.0;20400.0;20500.0;19700.0;2770000.0;4.10
Mar 24, 2020;19500.0;19600.0;20150.0;18600.0;5080000.0;-0.51
Mar 23, 2020;19600.0;20200.0;20200.0;19600.0;3490000.0;-6.89
Mar 20, 2020;21050.0;20800.0;21350.0;20600.0;2840000.0;1.20
Mar 19, 2020;20800.0;21000.0;21000.0;20100.0;3830000.0;-3.48
Mar 18, 2020;21550.0;21500.0;21850.0;20900.0;3260000.0;0.23
Mar 17, 2020;21500.0;19600.0;21700.0;19500.0;6240000.0;2.63
Mar 16, 2020;20950.0;22200.0;22250.0;20950.0;5040000.0;-6.89
Mar 13, 2020;22500.0;21000.0;23050.0;21000.0;5360000.0;-0.22
Mar 12, 2020;22550.0;22600.0;23300.0;22550.0;3090000.0;-6.82
Mar 11, 2020;24200.0;26000.0;26400.0;24200.0;6460000.0;-6.92
Mar 10, 2020;26000.0;25600.0;26500.0;24550.0;4660000.0;1.56
Mar 09, 2020;25600.0;25600.0;26250.0;25600.0;3850000.0;-6.91
Mar 06, 2020;27500.0;27400.0;27700.0;27200.0;2150000.0;-1.26
Mar 05, 2020;27850.0;27500.0;28450.0;27200.0;4980000.0;2.58
Mar 04, 2020;27150.0;26950.0;27300.0;26550.0;2990000.0;0.00
Mar 03, 2020;27150.0;27500.0;27600.0;27100.0;2440000.0;0.93
Mar 02, 2020;26900.0;27100.0;27300.0;26800.0;3120000.0;-1.10
Feb 28, 2020;27200.0;27750.0;27950.0;26800.0;4990000.0;-4.06
Feb 27, 2020;28350.0;28000.0;28550.0;27850.0;2910000.0;0.18
Feb 26, 2020;28300.0;27800.0;28900.0;27700.0;4139999.9999999995;0.00
Feb 25, 2020;28300.0;26200.0;28300.0;26200.0;6050000.0;5.60
Feb 24, 2020;26800.0;28000.0;28300.0;26800.0;8080000.0;-6.94
Feb 21, 2020;28800.0;28500.0;29300.0;28200.0;4760000.0;0.88
Feb 20, 2020;28550.0;28150.0;28550.0;27950.0;3990000.0;2.70
Feb 19, 2020;27800.0;27600.0;27900.0;27500.0;3030000.0;1.46
Feb 18, 2020;27400.0;27000.0;27600.0;26900.0;2660000.0;1.11
Feb 17, 2020;27100.0;27100.0;27300.0;26750.0;2800000.0;-0.18
Feb 14, 2020;27150.0;27000.0;27500.0;26600.0;5750000.0;2.07
Feb 13, 2020;26600.0;25650.0;26600.0;25350.0;3720000.0;2.90
Feb 12, 2020;25850.0;25900.0;26850.0;25700.0;6170000.0;1.77
Feb 11, 2020;25400.0;24600.0;25400.0;24550.0;4950000.0;3.25
Feb 10, 2020;24600.0;24800.0;25300.0;24600.0;4830000.0;-2.96
Feb 07, 2020;25350.0;25100.0;25650.0;24900.0;5940000.0;-0.59
Feb 06, 2020;25500.0;24000.0;25500.0;23550.0;8470000.0;5.59
Feb 05, 2020;24150.0;23850.0;24600.0;23750.0;6400000.0;2.99
Feb 04, 2020;23450.0;22700.0;23450.0;22500.0;4570000.0;3.76
Feb 03, 2020;22600.0;21650.0;23450.0;21250.0;4530000.0;0.67
Jan 31, 2020;22450.0;22500.0;23100.0;22450.0;4660000.0;-1.10
Jan 30, 2020;22700.0;23000.0;23400.0;22350.0;4280000.0;-3.81
Jan 22, 2020;23600.0;23500.0;23800.0;23100.0;2730000.0;0.21
Jan 21, 2020;23550.0;22700.0;23600.0;22600.0;5350000.0;4.67
Jan 20, 2020;22500.0;21800.0;22500.0;21750.0;2480000.0;2.74
Jan 17, 2020;21900.0;21950.0;22150.0;21700.0;2390000.0;0.23
Jan 16, 2020;21850.0;21700.0;21950.0;21650.0;2810000.0;0.92
Jan 15, 2020;21650.0;21150.0;21700.0;21150.0;2020000.0;2.36
Jan 14, 2020;21150.0;20700.0;21300.0;20650.0;2049999.9999999998;2.67
Jan 13, 2020;20600.0;21000.0;21150.0;20600.0;1280000.0;-2.14
Jan 10, 2020;21050.0;20750.0;21300.0;20750.0;3100000.0;1.45
Jan 09, 2020;20750.0;20300.0;20800.0;20250.0;3380000.0;3.23
Jan 08, 2020;20100.0;20150.0;20350.0;19900.0;2420000.0;-1.23
Jan 07, 2020;20350.0;20000.0;20350.0;20000.0;1300000.0;2.01
Jan 06, 2020;19950.0;20150.0;20350.0;19950.0;1660000.0;-2.21
Jan 03, 2020;20400.0;20600.0;20950.0;20350.0;1420000.0;-0.73
Jan 02, 2020;20550.0;20050.0;20700.0;20050.0;1720000.0;2.75
Dec 31, 2019;20000.0;19800.0;20150.0;19800.0;2810000.0;1.01
Dec 30, 2019;19800.0;19700.0;19950.0;19700.0;2140000.0;0.51
Dec 27, 2019;19700.0;19700.0;19750.0;19500.0;1800000.0;0.00
Dec 26, 2019;19700.0;19550.0;19750.0;19500.0;1150000.0;0.77
Dec 25, 2019;19550.0;19400.0;19650.0;19400.0;1510000.0;1.30
Dec 24, 2019;19300.0;19350.0;19400.0;19150.0;1780000.0;-0.26
Dec 23, 2019;19350.0;19600.0;19650.0;19250.0;2880000.0;-1.28
Dec 20, 2019;19600.0;19200.0;19600.0;19150.0;1850000.0;2.08
Dec 19, 2019;19200.0;19200.0;19300.0;19050.0;2009999.9999999998;-0.26
Dec 18, 2019;19250.0;19200.0;19400.0;19200.0;1040000.0;-0.26
Dec 17, 2019;19300.0;19700.0;19700.0;19250.0;685290.0;-1.53
Dec 16, 2019;19600.0;19500.0;19750.0;19250.0;1270000.0;-0.25
Dec 13, 2019;19650.0;19750.0;19950.0;19650.0;971530.0;0.00
Dec 12, 2019;19650.0;19250.0;19700.0;19250.0;1210000.0;2.08
Dec 11, 2019;19250.0;19100.0;19300.0;19000.0;1080000.0;1.05
Dec 10, 2019;19050.0;19400.0;19400.0;19000.0;588880.0;-1.80
Dec 09, 2019;19400.0;19450.0;19700.0;19200.0;681230.0;-1.02
Dec 06, 2019;19600.0;19350.0;19650.0;19300.0;724890.0;0.00
Dec 05, 2019;19600.0;19600.0;19750.0;19350.0;659120.0;-0.76
Dec 04, 2019;19750.0;18750.0;19750.0;18750.0;1790000.0;5.61
Dec 03, 2019;18700.0;19250.0;19450.0;18700.0;1410000.0;-4.10
Dec 02, 2019;19500.0;20000.0;20150.0;19500.0;1080000.0;-3.23
Nov 29, 2019;20150.0;19950.0;20150.0;19900.0;746320.0;0.50
Nov 28, 2019;20050.0;20300.0;20400.0;20000.0;1460000.0;-1.72
Nov 27, 2019;20400.0;20450.0;20500.0;20250.0;811170.0;-0.24
Nov 26, 2019;20450.0;20200.0;20450.0;20200.0;1470000.0;1.24
Nov 25, 2019;20200.0;20000.0;20300.0;20000.0;971910.0;0.00
Nov 22, 2019;20200.0;20300.0;20450.0;19900.0;1430000.0;1.00
Nov 21, 2019;20000.0;20800.0;21150.0;20000.0;3760000.0;-4.31
Nov 20, 2019;20900.0;21300.0;21300.0;20800.0;1170000.0;-1.88
Nov 19, 2019;21300.0;21200.0;21300.0;21100.0;681940.0;0.47
Nov 18, 2019;21200.0;21400.0;21400.0;21150.0;792340.0;-0.93
Nov 15, 2019;21400.0;21050.0;21400.0;21000.0;1380000.0;1.90
Nov 14, 2019;21000.0;21300.0;21500.0;21000.0;2270000.0;-2.33
Nov 13, 2019;21500.0;21700.0;21750.0;21250.0;2360000.0;-0.69
Nov 12, 2019;21650.0;21800.0;21800.0;21650.0;1720000.0;-1.14
Nov 11, 2019;21900.0;22100.0;22150.0;21750.0;1620000.0;-1.13
Nov 08, 2019;22150.0;22000.0;22250.0;22000.0;2230000.0;0.68
Nov 07, 2019;22000.0;22200.0;22250.0;21950.0;1410000.0;-0.68
Nov 06, 2019;22150.0;22150.0;22400.0;22050.0;1960000.0;-0.45
Nov 05, 2019;22250.0;22200.0;22300.0;22000.0;2840000.0;1.14
Nov 04, 2019;22000.0;21600.0;22000.0;21550.0;2560000.0;2.33
Nov 01, 2019;21500.0;21450.0;21650.0;21250.0;2150000.0;0.00
Oct 31, 2019;21500.0;21850.0;21850.0;21500.0;1360000.0;-1.38
Oct 30, 2019;21800.0;21900.0;21900.0;21700.0;1420000.0;-0.46
Oct 29, 2019;21900.0;22100.0;22100.0;21800.0;721860.0;-0.68
Oct 28, 2019;22050.0;22000.0;22100.0;21950.0;1350000.0;0.23
Oct 25, 2019;22000.0;21900.0;22000.0;21750.0;1520000.0;0.92
Oct 24, 2019;21800.0;22100.0;22100.0;21750.0;1860000.0;-1.58
Oct 23, 2019;22150.0;21800.0;22150.0;21650.0;5490000.0;1.14
Oct 22, 2019;21900.0;21950.0;22000.0;21750.0;6450000.0;-0.45
Oct 21, 2019;22000.0;22000.0;22200.0;21750.0;5980000.0;-1.79
Oct 18, 2019;22400.0;22500.0;22500.0;22000.0;5440000.0;-0.44
Oct 17, 2019;22500.0;22550.0;22550.0;22300.0;3380000.0;-0.22
Oct 16, 2019;22550.0;22550.0;22700.0;22450.0;3590000.0;0.00
Oct 15, 2019;22550.0;22200.0;22600.0;22200.0;3600000.0;1.12
Oct 14, 2019;22300.0;22100.0;22300.0;22050.0;6300000.0;0.90
Oct 11, 2019;22100.0;22350.0;22350.0;22100.0;4900000.0;-0.45
Oct 10, 2019;22200.0;22100.0;22300.0;22100.0;4630000.0;0.45
Oct 09, 2019;22100.0;21900.0;22150.0;21900.0;5860000.0;0.45
Oct 08, 2019;22000.0;21750.0;22000.0;21700.0;6270000.0;1.15
Oct 07, 2019;21750.0;22400.0;22400.0;21650.0;6790000.0;-2.47
Oct 04, 2019;22300.0;22750.0;22750.0;22300.0;5300000.0;-1.33
Oct 03, 2019;22600.0;22500.0;22600.0;22150.0;5780000.0;0.00
Oct 02, 2019;22600.0;22300.0;22800.0;22250.0;6790000.0;1.12
Oct 01, 2019;22350.0;22050.0;22400.0;22000.0;2570000.0;1.36
Sep 30, 2019;22050.0;22300.0;22450.0;22000.0;2560000.0;-0.45
Sep 27, 2019;22150.0;21800.0;22150.0;21650.0;3950000.0;2.31
Sep 26, 2019;21650.0;21450.0;21700.0;21450.0;2510000.0;1.17
Sep 25, 2019;21400.0;21300.0;21450.0;21250.0;1990000.0;0.23
Sep 24, 2019;21350.0;21300.0;21450.0;21200.0;1630000.0;-0.23
Sep 23, 2019;21400.0;21400.0;21700.0;21350.0;3620000.0;0.00
Sep 20, 2019;21400.0;21450.0;21500.0;21200.0;2730000.0;-0.23
Sep 19, 2019;21450.0;21000.0;21450.0;21000.0;2490000.0;1.66
Sep 18, 2019;21100.0;20650.0;21100.0;20550.0;3960000.0;2.43
