tradeDate;Price;OpenPrice;High;Low;Vol.;Change %
Jun 11, 2020;26100.0;27900.0;27950.0;26100.0;4730000.0;-6.62
Jun 10, 2020;27950.0;27600.0;28000.0;27200.0;2120000.0;0.18
Jun 09, 2020;27900.0;28350.0;28600.0;27800.0;2860000.0;-2.45
Jun 08, 2020;28600.0;28800.0;28900.0;28250.0;2830000.0;0.53
Jun 05, 2020;28450.0;28400.0;28800.0;28000.0;2160000.0;0.18
Jun 04, 2020;28400.0;28300.0;28850.0;28300.0;2840000.0;1.07
Jun 03, 2020;28100.0;27400.0;28100.0;27100.0;3340000.0;1.81
Jun 02, 2020;27600.0;27550.0;28000.0;27300.0;2910000.0;-0.72
Jun 01, 2020;27800.0;28000.0;28050.0;27650.0;3990000.0;1.09
May 29, 2020;27500.0;26900.0;28200.0;26550.0;7820000.0;2.23
May 28, 2020;26900.0;25550.0;27000.0;25500.0;6480000.0;5.49
May 27, 2020;25500.0;26600.0;26650.0;25500.0;7070000.0;-3.77
May 26, 2020;26500.0;26600.0;26800.0;26250.0;3970000.0;1.15
May 25, 2020;26200.0;25700.0;26650.0;25300.0;3770000.0;1.55
May 22, 2020;25800.0;26000.0;26100.0;25500.0;5940000.0;-1.90
May 21, 2020;26300.0;26600.0;27250.0;26000.0;5050000.0;-0.94
May 20, 2020;26550.0;24800.0;26550.0;24800.0;6790000.0;6.63
May 19, 2020;24900.0;25000.0;25800.0;24600.0;8310000.000000001;1.43
May 18, 2020;24550.0;24200.0;24700.0;24050.0;2600000.0;1.87
May 15, 2020;24100.0;24400.0;24750.0;24100.0;2260000.0;0.21
May 14, 2020;24050.0;24200.0;24350.0;23900.0;3950000.0;-1.84
May 13, 2020;24500.0;25000.0;25100.0;24500.0;4040000.0;-2.97
May 12, 2020;25250.0;25000.0;25400.0;24950.0;3650000.0;-0.79
May 11, 2020;25450.0;25600.0;25650.0;24800.0;3520000.0;0.59
May 08, 2020;25300.0;25000.0;25900.0;25000.0;4040000.0;2.02
May 07, 2020;24800.0;25100.0;25200.0;24650.0;2520000.0;-0.80
May 06, 2020;25000.0;23800.0;25000.0;23550.0;5200000.0;6.16
May 05, 2020;23550.0;23500.0;23850.0;23500.0;2480000.0;0.43
