"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2020","49,200.0","52,800.0","52,800.0","49,150.0","1.53M","-6.82%"
"Jun 10, 2020","52,800.0","52,600.0","53,000.0","51,400.0","1.13M","0.76%"
"Jun 09, 2020","52,400.0","51,000.0","53,000.0","50,900.0","2.26M","3.56%"
"Jun 08, 2020","50,600.0","50,200.0","51,500.0","50,100.0","1.40M","1.71%"
"Jun 05, 2020","49,750.0","49,850.0","49,850.0","49,100.0","669.34K","-0.20%"
"Jun 04, 2020","49,850.0","50,000.0","50,700.0","49,750.0","690.49K","-0.10%"
"Jun 03, 2020","49,900.0","50,000.0","50,300.0","49,400.0","1.06M","0.00%"
"Jun 02, 2020","49,900.0","51,000.0","51,100.0","49,900.0","1.12M","-1.58%"
"Jun 01, 2020","50,700.0","50,100.0","51,200.0","50,100.0","710.18K","1.50%"
"May 29, 2020","49,950.0","50,200.0","50,400.0","49,700.0","865.84K","-0.89%"
"May 28, 2020","50,400.0","50,500.0","51,100.0","49,800.0","771.84K","-0.20%"
"May 27, 2020","50,500.0","52,500.0","53,200.0","50,500.0","1.80M","-2.88%"
"May 26, 2020","52,000.0","49,400.0","52,400.0","49,250.0","2.16M","5.05%"
"May 25, 2020","49,500.0","49,200.0","49,750.0","49,000.0","618.23K","0.71%"
"May 22, 2020","49,150.0","49,700.0","50,400.0","49,100.0","891.98K","-1.90%"
"May 21, 2020","50,100.0","49,900.0","51,000.0","49,500.0","1.35M","1.21%"
"May 20, 2020","49,500.0","48,550.0","50,000.0","48,300.0","873.62K","1.85%"
"May 19, 2020","48,600.0","50,100.0","50,100.0","48,500.0","999.63K","-0.41%"
"May 18, 2020","48,800.0","48,500.0","49,200.0","48,000.0","619.78K","1.14%"
"May 15, 2020","48,250.0","49,900.0","50,300.0","48,200.0","932.24K","-2.92%"
"May 14, 2020","49,700.0","49,500.0","51,000.0","49,500.0","963.99K","-1.58%"
"May 13, 2020","50,500.0","49,700.0","52,500.0","48,550.0","1.09M","1.41%"
"May 12, 2020","49,800.0","47,900.0","50,000.0","47,500.0","1.47M","3.43%"
"May 11, 2020","48,150.0","48,450.0","48,800.0","48,000.0","917.75K","0.52%"
"May 08, 2020","47,900.0","47,000.0","49,400.0","47,000.0","1.65M","2.02%"
"May 07, 2020","46,950.0","46,500.0","47,500.0","46,000.0","874.17K","0.97%"
"May 06, 2020","46,500.0","45,200.0","46,500.0","44,500.0","587.55K","3.33%"
"May 05, 2020","45,000.0","44,000.0","45,000.0","44,000.0","361.06K","2.04%"
"May 04, 2020","44,100.0","46,000.0","46,450.0","44,100.0","449.70K","-4.55%"
