"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2020","67,000.0","69,000.0","73,000.0","67,000.0","596.48K","-3.46%"
"Jun 10, 2020","69,400.0","69,000.0","69,900.0","67,500.0","418.98K","-1.56%"
"Jun 09, 2020","70,500.0","71,500.0","71,700.0","70,300.0","453.56K","-1.95%"
"Jun 08, 2020","71,900.0","72,000.0","72,800.0","71,000.0","630.86K","-1.78%"
"Jun 05, 2020","73,200.0","72,000.0","75,000.0","72,000.0","323.22K","1.67%"
"Jun 04, 2020","72,000.0","67,300.0","72,000.0","67,300.0","542.24K","6.98%"
"Jun 03, 2020","67,300.0","67,000.0","69,900.0","66,900.0","1.54M","-6.40%"
"Jun 02, 2020","71,900.0","77,300.0","77,700.0","71,900.0","844.25K","-6.99%"
"Jun 01, 2020","77,300.0","75,900.0","78,000.0","75,100.0","447.41K","1.71%"
"May 29, 2020","76,000.0","75,000.0","76,800.0","75,000.0","238.50K","-1.04%"
"May 28, 2020","76,800.0","74,500.0","78,500.0","74,500.0","479.93K","3.64%"
"May 27, 2020","74,100.0","69,900.0","74,100.0","69,600.0","1.20M","6.93%"
"May 26, 2020","69,300.0","68,800.0","69,900.0","67,800.0","377.22K","1.91%"
"May 25, 2020","68,000.0","68,100.0","68,400.0","67,500.0","207.71K","-0.15%"
"May 22, 2020","68,100.0","69,500.0","69,900.0","68,000.0","274.32K","-2.01%"
"May 21, 2020","69,500.0","69,800.0","70,500.0","68,000.0","274.82K","-0.29%"
"May 20, 2020","69,700.0","66,700.0","70,400.0","66,700.0","354.87K","2.50%"
"May 19, 2020","68,000.0","68,500.0","70,600.0","68,000.0","333.03K","-0.73%"
"May 18, 2020","68,500.0","67,500.0","68,600.0","66,400.0","274.50K","2.24%"
"May 15, 2020","67,000.0","69,000.0","70,500.0","67,000.0","420.70K","-2.90%"
"May 14, 2020","69,000.0","69,900.0","70,700.0","69,000.0","303.35K","-2.27%"
"May 13, 2020","70,600.0","69,000.0","72,400.0","67,500.0","482.13K","2.32%"
"May 12, 2020","69,000.0","66,000.0","69,000.0","65,100.0","400.21K","4.07%"
"May 11, 2020","66,300.0","66,300.0","67,400.0","65,600.0","288.52K","1.22%"
"May 08, 2020","65,500.0","67,200.0","68,200.0","65,400.0","496.84K","-2.24%"
"May 07, 2020","67,000.0","66,000.0","68,200.0","66,000.0","340.88K","2.76%"
"May 06, 2020","65,200.0","61,000.0","65,200.0","61,000.0","350.69K","6.89%"
"May 05, 2020","61,000.0","61,000.0","61,700.0","59,500.0","181.26K","0.00%"
"May 04, 2020","61,000.0","62,500.0","62,700.0","61,000.0","258.52K","-2.71%"
"Apr 29, 2020","62,700.0","62,700.0","63,800.0","62,500.0","243.67K","-1.72%"
"Apr 28, 2020","63,800.0","63,500.0","64,500.0","62,000.0","250.21K","-0.31%"
"Apr 27, 2020","64,000.0","61,500.0","64,000.0","61,500.0","467.19K","5.61%"
"Apr 24, 2020","60,600.0","56,500.0","60,600.0","55,500.0","375.72K","6.88%"
"Apr 23, 2020","56,700.0","57,200.0","58,900.0","55,500.0","217.07K","0.00%"
"Apr 22, 2020","56,700.0","54,100.0","57,300.0","54,100.0","302.32K","-1.22%"
"Apr 21, 2020","57,400.0","58,600.0","59,500.0","57,400.0","535.58K","-6.97%"
"Apr 20, 2020","61,700.0","61,700.0","63,000.0","59,800.0","454.94K","0.00%"
"Apr 17, 2020","61,700.0","61,000.0","61,900.0","60,000.0","397.14K","3.87%"
"Apr 16, 2020","59,400.0","56,700.0","60,200.0","56,700.0","354.24K","4.76%"
"Apr 15, 2020","56,700.0","53,000.0","56,700.0","53,000.0","549.21K","6.98%"
"Apr 14, 2020","53,000.0","53,500.0","53,700.0","51,000.0","172.56K","-0.93%"
"Apr 13, 2020","53,500.0","53,900.0","54,400.0","53,400.0","144.44K","0.00%"
"Apr 10, 2020","53,500.0","54,000.0","55,000.0","53,000.0","143.23K","-1.47%"
"Apr 09, 2020","54,300.0","53,200.0","55,500.0","53,200.0","191.39K","0.93%"
"Apr 08, 2020","53,800.0","52,900.0","54,200.0","52,000.0","136.45K","-0.74%"
"Apr 07, 2020","54,200.0","54,500.0","54,900.0","52,000.0","318.61K","5.04%"
"Apr 06, 2020","51,600.0","51,000.0","51,600.0","51,000.0","84.89K","6.94%"
"Apr 03, 2020","48,250.0","45,900.0","48,250.0","45,900.0","128.52K","6.98%"
"Apr 01, 2020","45,100.0","45,000.0","46,000.0","44,000.0","217.95K","0.33%"
"Mar 31, 2020","44,950.0","48,100.0","50,000.0","44,950.0","280.35K","-6.94%"
"Mar 30, 2020","48,300.0","48,500.0","49,600.0","47,550.0","165.00K","-5.48%"
"Mar 27, 2020","51,100.0","53,800.0","53,800.0","50,800.0","63.03K","-1.35%"
"Mar 26, 2020","51,800.0","52,500.0","53,000.0","51,000.0","95.83K","-2.26%"
"Mar 25, 2020","53,000.0","53,000.0","54,400.0","52,800.0","152.31K","3.31%"
"Mar 24, 2020","51,300.0","50,100.0","52,000.0","50,000.0","114.07K","2.40%"
"Mar 23, 2020","50,100.0","52,300.0","52,300.0","50,100.0","200.91K","-6.88%"
"Mar 20, 2020","53,800.0","53,500.0","54,200.0","52,500.0","208.66K","1.51%"
"Mar 19, 2020","53,000.0","53,000.0","54,000.0","52,000.0","118.40K","-3.81%"
"Mar 18, 2020","55,100.0","54,700.0","56,300.0","54,700.0","153.03K","0.73%"
"Mar 17, 2020","54,700.0","49,000.0","54,700.0","49,000.0","183.63K","6.01%"
"Mar 16, 2020","51,600.0","52,500.0","54,900.0","51,500.0","140.48K","-5.67%"
"Mar 13, 2020","54,700.0","52,500.0","56,000.0","52,400.0","263.78K","-2.84%"
"Mar 12, 2020","56,300.0","57,000.0","62,900.0","56,300.0","403.67K","-6.94%"
"Mar 11, 2020","60,500.0","65,000.0","66,000.0","60,500.0","430.81K","-6.92%"
"Mar 10, 2020","65,000.0","62,500.0","66,000.0","61,800.0","195.98K","-0.15%"
"Mar 09, 2020","65,100.0","65,100.0","67,900.0","65,100.0","223.24K","-7.00%"
"Mar 06, 2020","70,000.0","66,500.0","70,900.0","65,700.0","303.28K","4.17%"
"Mar 05, 2020","67,200.0","69,500.0","69,900.0","67,000.0","194.51K","-1.90%"
"Mar 04, 2020","68,500.0","70,000.0","72,500.0","68,500.0","291.50K","0.15%"
"Mar 03, 2020","68,400.0","65,500.0","68,400.0","65,100.0","238.76K","6.88%"
"Mar 02, 2020","64,000.0","62,300.0","65,000.0","62,000.0","166.40K","2.73%"
"Feb 28, 2020","62,300.0","62,900.0","64,300.0","62,000.0","129.60K","-4.01%"
"Feb 27, 2020","64,900.0","62,100.0","65,000.0","62,100.0","147.91K","3.84%"
"Feb 26, 2020","62,500.0","62,000.0","63,800.0","61,500.0","79.24K","-2.04%"
"Feb 25, 2020","63,800.0","58,500.0","64,000.0","58,500.0","238.12K","2.41%"
"Feb 24, 2020","62,300.0","65,000.0","65,100.0","62,300.0","264.16K","-6.88%"
"Feb 21, 2020","66,900.0","67,000.0","69,100.0","66,100.0","161.43K","-1.04%"
"Feb 20, 2020","67,600.0","69,000.0","70,900.0","67,300.0","225.11K","-3.43%"
"Feb 19, 2020","70,000.0","69,500.0","71,200.0","69,000.0","133.29K","0.00%"
"Feb 18, 2020","70,000.0","71,800.0","72,400.0","69,000.0","333.58K","2.94%"
"Feb 17, 2020","68,000.0","64,200.0","68,000.0","63,300.0","250.23K","5.92%"
"Feb 14, 2020","64,200.0","63,200.0","65,700.0","62,700.0","172.42K","-0.16%"
"Feb 13, 2020","64,300.0","64,700.0","66,000.0","63,900.0","125.26K","-1.08%"
"Feb 12, 2020","65,000.0","62,500.0","66,700.0","61,700.0","437.87K","3.17%"
"Feb 11, 2020","63,000.0","62,000.0","64,900.0","62,000.0","454.66K","3.79%"
"Feb 10, 2020","60,700.0","58,600.0","60,700.0","57,000.0","256.35K","6.87%"
"Feb 07, 2020","56,800.0","53,400.0","56,800.0","53,100.0","272.13K","6.97%"
"Feb 06, 2020","53,100.0","52,000.0","53,400.0","50,600.0","170.98K","4.94%"
"Feb 05, 2020","50,600.0","50,500.0","52,000.0","50,500.0","148.88K","1.00%"
"Feb 04, 2020","50,100.0","52,200.0","53,300.0","50,000.0","254.79K","-4.02%"
"Feb 03, 2020","52,200.0","55,900.0","55,900.0","52,000.0","304.18K","-6.28%"
"Jan 31, 2020","55,700.0","53,000.0","56,600.0","53,000.0","299.40K","5.29%"
"Jan 30, 2020","52,900.0","52,800.0","54,700.0","52,800.0","130.32K","-0.94%"
"Jan 22, 2020","53,400.0","52,000.0","55,200.0","52,000.0","147.52K","0.75%"
"Jan 21, 2020","53,000.0","53,500.0","54,000.0","52,300.0","123.63K","-0.93%"
"Jan 20, 2020","53,500.0","53,000.0","55,500.0","53,000.0","108.30K","1.52%"
"Jan 17, 2020","52,700.0","48,900.0","52,700.0","48,900.0","251.89K","6.90%"
"Jan 16, 2020","49,300.0","49,450.0","49,800.0","48,700.0","45.11K","-0.30%"
"Jan 15, 2020","49,450.0","49,500.0","49,900.0","49,300.0","58.97K","-0.30%"
"Jan 14, 2020","49,600.0","49,400.0","50,500.0","49,400.0","69.34K","-0.20%"
"Jan 13, 2020","49,700.0","49,550.0","50,800.0","49,550.0","61.63K","0.30%"
"Jan 10, 2020","49,550.0","50,100.0","50,200.0","47,750.0","285.31K","-1.29%"
"Jan 09, 2020","50,200.0","50,400.0","51,700.0","50,200.0","70.23K","-0.40%"
"Jan 08, 2020","50,400.0","51,100.0","51,400.0","50,300.0","104.26K","-2.14%"
"Jan 07, 2020","51,500.0","52,800.0","52,800.0","51,000.0","77.31K","-2.09%"
"Jan 06, 2020","52,600.0","53,000.0","53,100.0","52,100.0","28.89K","-1.31%"
"Jan 03, 2020","53,300.0","53,600.0","54,800.0","53,300.0","135.39K","0.95%"
"Jan 02, 2020","52,800.0","51,300.0","54,200.0","51,300.0","123.27K","2.92%"
"Dec 31, 2019","51,300.0","52,900.0","52,900.0","51,000.0","119.97K","-3.02%"
"Dec 30, 2019","52,900.0","53,700.0","53,700.0","52,600.0","109.63K","-1.86%"
"Dec 27, 2019","53,900.0","55,200.0","55,200.0","53,900.0","70.71K","-2.36%"
"Dec 26, 2019","55,200.0","55,900.0","56,000.0","54,700.0","60.09K","-0.54%"
"Dec 25, 2019","55,500.0","53,100.0","56,400.0","52,500.0","128.32K","4.52%"
"Dec 24, 2019","53,100.0","55,500.0","55,600.0","53,000.0","134.89K","-4.67%"
"Dec 23, 2019","55,700.0","58,000.0","58,200.0","55,700.0","100.30K","-3.97%"
"Dec 20, 2019","58,000.0","60,800.0","61,800.0","58,000.0","118.74K","-4.92%"
"Dec 19, 2019","61,000.0","61,600.0","62,000.0","61,000.0","41.82K","-1.13%"
"Dec 18, 2019","61,700.0","62,000.0","62,800.0","61,700.0","23.98K","-0.32%"
"Dec 17, 2019","61,900.0","62,900.0","63,400.0","61,900.0","20.67K","-1.59%"
"Dec 16, 2019","62,900.0","62,000.0","62,900.0","61,500.0","20.88K","1.45%"
"Dec 13, 2019","62,000.0","63,000.0","63,500.0","61,900.0","50.71K","-1.59%"
"Dec 12, 2019","63,000.0","62,600.0","63,900.0","61,700.0","14.33K","0.80%"
"Dec 11, 2019","62,500.0","62,500.0","63,000.0","61,700.0","31.50K","-0.48%"
"Dec 10, 2019","62,800.0","64,100.0","64,800.0","62,800.0","45.69K","-2.48%"
"Dec 09, 2019","64,400.0","65,900.0","66,500.0","64,200.0","62.93K","-1.53%"
"Dec 06, 2019","65,400.0","63,700.0","66,600.0","63,200.0","57.44K","2.67%"
"Dec 05, 2019","63,700.0","62,300.0","65,000.0","62,300.0","33.22K","1.92%"
"Dec 04, 2019","62,500.0","62,900.0","62,900.0","62,300.0","53.54K","0.00%"
"Dec 03, 2019","62,500.0","62,000.0","63,200.0","62,000.0","93.62K","-0.79%"
"Dec 02, 2019","63,000.0","63,500.0","63,700.0","62,800.0","50.17K","-0.79%"
"Nov 29, 2019","63,500.0","64,000.0","64,900.0","62,700.0","82.73K","-0.78%"
"Nov 28, 2019","64,000.0","66,100.0","66,800.0","64,000.0","86.06K","-3.47%"
"Nov 27, 2019","66,300.0","67,100.0","67,300.0","66,300.0","17.78K","-0.60%"
"Nov 26, 2019","66,700.0","66,700.0","68,200.0","66,700.0","22.56K","0.00%"
"Nov 25, 2019","66,700.0","65,000.0","68,500.0","65,000.0","52.85K","1.68%"
"Nov 22, 2019","65,600.0","68,600.0","68,900.0","65,200.0","152.57K","-3.53%"
"Nov 21, 2019","68,000.0","70,600.0","70,900.0","68,000.0","92.32K","-4.09%"
"Nov 20, 2019","70,900.0","71,800.0","71,800.0","70,300.0","28.29K","-0.14%"
"Nov 19, 2019","71,000.0","71,500.0","72,400.0","70,700.0","89.73K","0.42%"
"Nov 18, 2019","70,700.0","68,200.0","72,500.0","68,200.0","115.51K","2.61%"
"Nov 15, 2019","68,900.0","69,000.0","69,000.0","68,100.0","65.48K","-0.14%"
"Nov 14, 2019","69,000.0","69,800.0","70,100.0","68,000.0","118.10K","-1.71%"
"Nov 13, 2019","70,200.0","71,300.0","73,000.0","70,000.0","156.90K","-1.54%"
"Nov 12, 2019","71,300.0","73,600.0","73,800.0","71,300.0","148.33K","-2.33%"
