"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2020","22,950.0","24,700.0","24,800.0","22,950.0","9.26M","-6.90%"
"Jun 10, 2020","24,650.0","24,200.0","25,000.0","24,100.0","8.25M","1.86%"
"Jun 09, 2020","24,200.0","25,000.0","25,000.0","24,200.0","6.70M","-2.81%"
"Jun 08, 2020","24,900.0","24,850.0","25,200.0","24,600.0","7.06M","1.84%"
"Jun 05, 2020","24,450.0","24,500.0","24,700.0","24,200.0","5.42M","-0.81%"
"Jun 04, 2020","24,650.0","24,200.0","24,900.0","24,100.0","8.95M","2.71%"
"Jun 03, 2020","24,000.0","23,600.0","24,050.0","23,550.0","6.90M","2.35%"
"Jun 02, 2020","23,450.0","23,800.0","24,300.0","23,400.0","9.59M","-0.21%"
"Jun 01, 2020","23,500.0","22,800.0","23,500.0","22,700.0","7.12M","4.44%"
"May 29, 2020","22,500.0","22,450.0","22,700.0","22,450.0","3.56M","-0.22%"
"May 28, 2020","22,550.0","22,550.0","22,950.0","22,350.0","5.94M","0.67%"
"May 27, 2020","22,400.0","23,300.0","23,450.0","22,400.0","8.42M","-3.24%"
"May 26, 2020","23,150.0","23,050.0","23,300.0","22,850.0","6.28M","0.43%"
"May 25, 2020","23,050.0","22,900.0","23,350.0","22,700.0","6.73M","1.10%"
"May 22, 2020","22,800.0","22,800.0","23,600.0","22,650.0","7.64M","-0.65%"
"May 21, 2020","22,950.0","22,350.0","23,250.0","22,300.0","10.62M","2.91%"
"May 20, 2020","22,300.0","22,000.0","22,300.0","21,900.0","5.34M","0.00%"
"May 19, 2020","22,300.0","22,000.0","22,450.0","21,800.0","11.02M","4.45%"
"May 18, 2020","21,350.0","20,950.0","21,350.0","20,700.0","5.20M","2.15%"
"May 15, 2020","20,900.0","21,550.0","21,600.0","20,850.0","7.30M","-2.11%"
"May 14, 2020","21,350.0","21,400.0","21,750.0","21,350.0","5.83M","-1.39%"
"May 13, 2020","21,650.0","21,400.0","21,950.0","21,150.0","6.96M","0.00%"
"May 12, 2020","21,650.0","21,150.0","21,800.0","20,850.0","6.58M","1.88%"
"May 11, 2020","21,250.0","21,450.0","21,550.0","20,900.0","7.65M","1.67%"
"May 08, 2020","20,900.0","20,700.0","21,650.0","20,600.0","12.67M","2.45%"
"May 07, 2020","20,400.0","20,200.0","20,650.0","20,100.0","7.52M","0.99%"
"May 06, 2020","20,200.0","19,950.0","20,300.0","19,550.0","6.89M","1.76%"
"May 05, 2020","19,850.0","20,050.0","20,150.0","19,650.0","2.98M","-1.00%"
"May 04, 2020","20,050.0","19,750.0","20,450.0","19,550.0","7.53M","0.25%"
"Apr 29, 2020","20,000.0","19,300.0","20,000.0","19,100.0","9.34M","4.99%"
"Apr 28, 2020","19,050.0","18,850.0","19,300.0","18,700.0","3.94M","1.06%"
"Apr 27, 2020","18,850.0","19,400.0","19,400.0","18,850.0","4.31M","-1.82%"
"Apr 24, 2020","19,200.0","19,200.0","19,300.0","19,000.0","2.87M","0.00%"
"Apr 23, 2020","19,200.0","19,500.0","19,700.0","19,200.0","2.95M","-0.26%"
"Apr 22, 2020","19,250.0","18,400.0","19,700.0","18,400.0","6.36M","2.39%"
"Apr 21, 2020","18,800.0","19,650.0","19,750.0","18,750.0","9.30M","-5.29%"
"Apr 20, 2020","19,850.0","20,300.0","20,450.0","19,850.0","6.29M","-1.24%"
"Apr 17, 2020","20,100.0","20,500.0","20,500.0","20,000.0","8.58M","1.52%"
"Apr 16, 2020","19,800.0","19,600.0","19,900.0","19,400.0","3.71M","-0.25%"
"Apr 15, 2020","19,850.0","19,200.0","19,950.0","19,200.0","6.76M","3.39%"
"Apr 14, 2020","19,200.0","19,550.0","19,750.0","18,800.0","7.39M","-2.04%"
"Apr 13, 2020","19,600.0","19,400.0","20,000.0","19,250.0","4.18M","0.77%"
"Apr 10, 2020","19,450.0","19,800.0","20,100.0","19,300.0","5.70M","-1.77%"
"Apr 09, 2020","19,800.0","20,000.0","20,350.0","19,800.0","7.27M","0.51%"
"Apr 08, 2020","19,700.0","19,300.0","20,000.0","19,100.0","4.64M","-0.76%"
"Apr 07, 2020","19,850.0","20,200.0","20,250.0","19,600.0","7.26M","-1.24%"
"Apr 06, 2020","20,100.0","19,300.0","20,100.0","19,000.0","10.56M","6.91%"
"Apr 03, 2020","18,800.0","18,600.0","19,000.0","18,500.0","4.63M","2.73%"
"Apr 01, 2020","18,300.0","17,000.0","18,350.0","17,000.0","5.51M","6.40%"
"Mar 31, 2020","17,200.0","18,000.0","18,500.0","16,600.0","6.10M","-2.82%"
"Mar 30, 2020","17,700.0","17,850.0","18,000.0","17,700.0","7.33M","-6.84%"
"Mar 27, 2020","19,000.0","19,050.0","19,100.0","18,700.0","6.26M","1.06%"
"Mar 26, 2020","18,800.0","19,050.0","19,600.0","18,800.0","5.12M","-3.84%"
"Mar 25, 2020","19,550.0","19,000.0","19,550.0","18,800.0","7.04M","6.83%"
"Mar 24, 2020","18,300.0","18,450.0","18,700.0","17,650.0","6.36M","-0.81%"
"Mar 23, 2020","18,450.0","18,800.0","19,000.0","18,450.0","6.45M","-6.82%"
"Mar 20, 2020","19,800.0","20,400.0","20,500.0","19,650.0","6.43M","-1.49%"
"Mar 19, 2020","20,100.0","20,500.0","20,600.0","19,850.0","4.72M","-4.06%"
"Mar 18, 2020","20,950.0","21,300.0","21,550.0","20,950.0","6.42M","-0.24%"
"Mar 17, 2020","21,000.0","20,000.0","21,200.0","19,400.0","7.95M","2.44%"
"Mar 16, 2020","20,500.0","21,950.0","22,050.0","20,500.0","7.51M","-6.61%"
"Mar 13, 2020","21,950.0","20,500.0","22,400.0","20,300.0","10.54M","0.69%"
"Mar 12, 2020","21,800.0","22,000.0","22,400.0","21,600.0","11.31M","-6.03%"
"Mar 11, 2020","23,200.0","24,800.0","25,000.0","22,850.0","8.52M","-5.31%"
"Mar 10, 2020","24,500.0","24,000.0","25,050.0","23,150.0","11.07M","2.08%"
"Mar 09, 2020","24,000.0","24,100.0","24,700.0","24,000.0","10.77M","-6.98%"
"Mar 06, 2020","25,800.0","25,800.0","26,050.0","25,450.0","5.35M","-1.34%"
"Mar 05, 2020","26,150.0","26,800.0","26,850.0","26,150.0","6.00M","-1.13%"
"Mar 04, 2020","26,450.0","26,300.0","26,450.0","26,000.0","4.59M","0.00%"
"Mar 03, 2020","26,450.0","26,200.0","26,950.0","25,950.0","9.51M","3.73%"
"Mar 02, 2020","25,500.0","25,950.0","26,050.0","25,400.0","4.87M","-0.97%"
"Feb 28, 2020","25,750.0","25,500.0","26,050.0","25,000.0","7.89M","-1.72%"
"Feb 27, 2020","26,200.0","25,750.0","26,200.0","25,600.0","5.52M","1.55%"
"Feb 26, 2020","25,800.0","25,550.0","26,200.0","25,400.0","6.23M","-1.15%"
"Feb 25, 2020","26,100.0","24,400.0","26,100.0","24,350.0","9.76M","6.97%"
"Feb 24, 2020","24,400.0","25,100.0","25,400.0","24,350.0","12.32M","-5.61%"
"Feb 21, 2020","25,850.0","26,800.0","26,900.0","25,650.0","12.05M","-3.90%"
"Feb 20, 2020","26,900.0","27,350.0","27,700.0","26,650.0","9.01M","-0.37%"
"Feb 19, 2020","27,000.0","26,800.0","27,200.0","26,800.0","5.90M","1.12%"
"Feb 18, 2020","26,700.0","26,700.0","27,250.0","26,600.0","7.23M","0.56%"
"Feb 17, 2020","26,550.0","26,900.0","27,050.0","26,400.0","5.82M","-0.93%"
"Feb 14, 2020","26,800.0","27,350.0","27,350.0","26,700.0","6.11M","-1.65%"
"Feb 13, 2020","27,250.0","27,350.0","27,600.0","26,500.0","9.49M","0.18%"
"Feb 12, 2020","27,200.0","28,450.0","28,450.0","27,200.0","10.39M","-1.98%"
"Feb 11, 2020","27,750.0","26,900.0","27,750.0","26,850.0","6.76M","4.32%"
"Feb 10, 2020","26,600.0","26,250.0","27,300.0","26,200.0","6.29M","-1.12%"
"Feb 07, 2020","26,900.0","27,500.0","27,650.0","26,650.0","8.96M","-3.06%"
"Feb 06, 2020","27,750.0","26,700.0","28,100.0","26,350.0","10.57M","4.52%"
