"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2020","18,000.0","18,100.0","18,150.0","17,850.0","185.65K","-0.55%"
"Jun 10, 2020","18,100.0","18,150.0","18,150.0","17,800.0","95.31K","0.00%"
"Jun 09, 2020","18,100.0","17,750.0","18,300.0","17,750.0","139.25K","1.97%"
"Jun 08, 2020","17,750.0","17,900.0","18,200.0","17,700.0","453.80K","0.28%"
"Jun 05, 2020","17,700.0","17,800.0","18,000.0","17,650.0","447.98K","0.28%"
"Jun 04, 2020","17,650.0","17,600.0","17,950.0","17,600.0","328.35K","0.00%"
"Jun 03, 2020","17,650.0","17,700.0","18,150.0","17,600.0","213.44K","0.28%"
"Jun 02, 2020","17,600.0","17,450.0","18,000.0","17,450.0","425.64K","0.86%"
"Jun 01, 2020","17,450.0","17,450.0","18,100.0","17,100.0","229.56K","0.87%"
"May 29, 2020","17,300.0","17,000.0","17,600.0","17,000.0","362.45K","2.37%"
"May 28, 2020","16,900.0","17,200.0","17,600.0","16,900.0","502.18K","-1.74%"
"May 27, 2020","17,200.0","17,000.0","17,600.0","17,000.0","471.44K","1.78%"
"May 26, 2020","16,900.0","16,800.0","17,100.0","16,800.0","382.38K","0.00%"
"May 25, 2020","16,900.0","16,700.0","17,150.0","16,500.0","389.24K","0.00%"
"May 22, 2020","16,900.0","16,700.0","17,500.0","16,550.0","641.70K","-2.87%"
"May 21, 2020","17,400.0","16,400.0","17,400.0","16,300.0","968.45K","6.75%"
"May 20, 2020","16,300.0","16,200.0","16,600.0","16,050.0","363.97K","0.31%"
"May 19, 2020","16,250.0","15,800.0","16,450.0","15,800.0","430.26K","3.17%"
"May 18, 2020","15,750.0","15,400.0","15,750.0","15,300.0","518.89K","1.61%"
"May 15, 2020","15,500.0","15,300.0","15,600.0","15,250.0","436.86K","0.98%"
"May 14, 2020","15,350.0","15,050.0","15,450.0","15,050.0","739.60K","0.66%"
"May 13, 2020","15,250.0","15,250.0","15,300.0","14,200.0","500.73K","0.00%"
