"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2020","46,000.0","48,800.0","48,800.0","46,000.0","4.28M","-5.74%"
"Jun 10, 2020","48,800.0","49,000.0","49,000.0","48,400.0","1.31M","-0.31%"
"Jun 09, 2020","48,950.0","49,600.0","49,650.0","48,900.0","1.49M","-0.81%"
"Jun 08, 2020","49,350.0","49,000.0","50,000.0","49,000.0","4.11M","1.33%"
"Jun 05, 2020","48,700.0","48,400.0","48,700.0","48,150.0","1.24M","0.62%"
"Jun 04, 2020","48,400.0","48,900.0","48,900.0","48,400.0","1.26M","-0.51%"
"Jun 03, 2020","48,650.0","48,000.0","48,950.0","47,900.0","1.89M","1.35%"
"Jun 02, 2020","48,000.0","48,300.0","48,500.0","48,000.0","1.46M","-0.62%"
"Jun 01, 2020","48,300.0","48,000.0","48,350.0","48,000.0","1.30M","0.73%"
"May 29, 2020","47,950.0","48,000.0","48,100.0","47,500.0","1.35M","-0.10%"
"May 28, 2020","48,000.0","48,200.0","48,600.0","48,000.0","1.19M","0.00%"
"May 27, 2020","48,000.0","48,900.0","49,400.0","48,000.0","2.10M","-1.64%"
"May 26, 2020","48,800.0","48,500.0","48,800.0","48,350.0","1.62M","0.72%"
"May 25, 2020","48,450.0","48,500.0","48,600.0","47,800.0","2.03M","0.00%"
"May 22, 2020","48,450.0","49,000.0","49,000.0","48,450.0","1.73M","-1.72%"
"May 21, 2020","49,300.0","48,900.0","49,300.0","48,850.0","2.01M","0.82%"
"May 20, 2020","48,900.0","49,000.0","49,000.0","48,550.0","1.25M","-0.71%"
"May 19, 2020","49,250.0","49,200.0","49,700.0","48,600.0","2.88M","1.86%"
"May 18, 2020","48,350.0","47,500.0","48,350.0","47,400.0","2.00M","0.73%"
"May 15, 2020","48,000.0","48,300.0","48,900.0","47,750.0","2.43M","-1.44%"
"May 14, 2020","48,700.0","48,950.0","49,100.0","48,500.0","2.60M","-1.32%"
"May 13, 2020","49,350.0","47,500.0","49,550.0","47,400.0","6.85M","6.02%"
"May 12, 2020","46,548.2","46,205.9","46,548.2","45,863.6","3.25M","0.74%"
"May 11, 2020","46,205.9","46,205.9","46,548.2","45,606.9","2.44M","0.56%"
"May 08, 2020","45,949.2","45,863.6","47,147.1","45,863.6","4.12M","0.37%"
"May 07, 2020","45,778.1","45,350.2","45,778.1","44,836.8","2.34M","1.13%"
"May 06, 2020","45,264.7","43,638.9","45,435.8","43,638.9","3.99M","3.93%"
"May 05, 2020","43,553.3","43,467.8","43,638.9","43,125.5","779.69K","0.79%"
"May 04, 2020","43,211.1","42,954.4","43,553.3","42,612.1","1.03M","-0.59%"
"Apr 29, 2020","43,467.8","43,467.8","43,981.2","43,211.1","1.55M","0.20%"
"Apr 28, 2020","43,382.2","43,382.2","43,467.8","42,954.4","1.12M","0.00%"
"Apr 27, 2020","43,382.2","44,066.7","44,066.7","43,211.1","1.63M","-0.59%"
"Apr 24, 2020","43,638.9","43,553.3","43,810.0","42,868.8","1.62M","0.00%"
"Apr 23, 2020","43,638.9","44,580.1","44,665.7","43,638.9","1.57M","-0.20%"
"Apr 22, 2020","43,724.5","41,756.5","43,810.0","41,670.9","2.81M","3.65%"
"Apr 21, 2020","42,184.3","43,211.1","43,553.3","41,842.0","4.30M","-3.90%"
"Apr 20, 2020","43,895.6","44,409.0","44,494.6","43,382.2","2.58M","0.20%"
"Apr 17, 2020","43,810.0","43,810.0","43,895.6","42,954.4","3.03M","1.79%"
"Apr 16, 2020","43,039.9","42,526.6","43,467.8","42,184.3","1.73M","0.40%"
"Apr 15, 2020","42,868.8","43,211.1","43,467.8","42,654.9","2.54M","1.21%"
"Apr 14, 2020","42,355.4","40,729.7","42,355.4","40,216.3","4.68M","6.45%"
"Apr 13, 2020","39,788.4","39,702.9","40,216.3","39,446.2","1.44M","0.22%"
"Apr 10, 2020","39,702.9","39,874.0","40,216.3","39,275.0","2.16M","-0.96%"
"Apr 09, 2020","40,087.9","40,216.3","40,729.7","39,788.4","2.46M","0.00%"
"Apr 08, 2020","40,087.9","39,446.2","40,259.0","39,146.7","1.81M","-0.95%"
"Apr 07, 2020","40,473.0","40,644.1","40,815.2","39,788.4","2.83M","-0.42%"
"Apr 06, 2020","40,644.1","39,360.6","40,644.1","38,932.8","3.13M","6.50%"
"Apr 03, 2020","38,162.7","36,793.6","38,205.4","36,536.9","2.38M","5.44%"
"Apr 01, 2020","36,194.6","34,911.1","36,964.7","34,911.1","1.67M","2.92%"
"Mar 31, 2020","35,167.8","35,510.1","36,280.2","34,312.2","1.91M","1.73%"
"Mar 30, 2020","34,568.9","34,654.4","35,167.8","34,312.2","2.48M","-6.26%"
"Mar 27, 2020","36,879.2","37,991.5","37,991.5","36,708.0","3.03M","-2.49%"
"Mar 26, 2020","37,820.4","38,932.8","39,232.2","37,820.4","2.71M","-3.91%"
"Mar 25, 2020","39,360.6","39,360.6","39,702.9","38,633.3","2.45M","3.37%"
"Mar 24, 2020","38,077.1","38,504.9","38,504.9","37,221.4","2.52M","0.23%"
"Mar 23, 2020","37,991.5","39,446.2","40,130.7","37,991.5","3.25M","-6.92%"
"Mar 20, 2020","40,815.2","41,243.1","41,285.8","40,515.7","1.49M","0.00%"
"Mar 19, 2020","40,815.2","40,729.7","41,157.5","40,729.7","1.49M","-1.45%"
"Mar 18, 2020","41,414.2","41,927.6","42,013.2","41,371.4","1.89M","-0.21%"
"Mar 17, 2020","41,499.8","40,216.3","41,499.8","39,788.4","2.85M","1.89%"
"Mar 16, 2020","40,729.7","41,200.3","42,526.6","40,644.1","2.18M","-1.14%"
"Mar 13, 2020","41,200.3","38,761.6","42,783.3","38,676.1","3.36M","0.10%"
"Mar 12, 2020","41,157.5","41,585.3","42,184.3","40,473.0","4.58M","-5.31%"
"Mar 11, 2020","43,467.8","44,494.6","44,922.4","42,355.4","3.17M","-1.74%"
"Mar 10, 2020","44,237.9","43,638.9","44,494.6","43,039.9","2.33M","2.78%"
"Mar 09, 2020","43,039.9","43,810.0","44,494.6","43,039.9","5.45M","-6.85%"
"Mar 06, 2020","46,205.9","46,377.0","46,462.6","45,778.1","1.50M","-1.10%"
"Mar 05, 2020","46,719.3","47,489.4","47,831.7","46,719.3","1.49M","-1.62%"
"Mar 04, 2020","47,489.4","47,489.4","47,489.4","46,976.0","1.91M","-0.72%"
"Mar 03, 2020","47,831.7","48,088.4","48,772.9","47,660.5","1.37M","0.36%"
"Mar 02, 2020","47,660.5","47,147.1","48,088.4","46,890.4","2.06M","1.09%"
"Feb 28, 2020","47,147.1","47,061.6","47,660.5","46,719.3","2.45M","-1.61%"
"Feb 27, 2020","47,917.2","47,061.6","48,345.1","46,719.3","3.37M","1.82%"
"Feb 26, 2020","47,061.6","45,692.5","47,232.7","45,350.2","3.70M","1.85%"
"Feb 25, 2020","46,205.9","44,580.1","46,205.9","44,494.6","1.62M","2.86%"
"Feb 24, 2020","44,922.4","45,435.8","46,120.3","44,922.4","2.60M","-4.02%"
"Feb 21, 2020","46,804.9","47,831.7","47,831.7","46,804.9","1.68M","-1.97%"
"Feb 20, 2020","47,746.1","48,002.8","48,259.5","47,489.4","897.93K","0.18%"
"Feb 19, 2020","47,660.5","47,831.7","48,088.4","47,489.4","783.44K","-0.54%"
"Feb 18, 2020","47,917.2","46,548.2","47,917.2","46,462.6","2.03M","3.32%"
"Feb 17, 2020","46,377.0","46,719.3","46,719.3","46,205.9","835.35K","-0.55%"
"Feb 14, 2020","46,633.7","46,291.5","46,633.7","46,205.9","1.02M","0.37%"
"Feb 13, 2020","46,462.6","46,291.5","46,633.7","45,949.2","1.19M","0.37%"
"Feb 12, 2020","46,291.5","46,034.8","46,804.9","45,949.2","1.27M","0.93%"
"Feb 11, 2020","45,863.6","45,264.7","45,949.2","45,093.5","1.25M","1.90%"
"Feb 10, 2020","45,008.0","44,836.8","45,350.2","44,580.1","848.80K","-1.31%"
"Feb 07, 2020","45,606.9","45,350.2","45,778.1","45,179.1","1.40M","-0.56%"
"Feb 06, 2020","45,863.6","44,922.4","45,863.6","44,323.4","1.96M","3.08%"
"Feb 05, 2020","44,494.6","44,751.3","45,179.1","44,494.6","1.90M","0.39%"
"Feb 04, 2020","44,323.4","44,836.8","44,836.8","43,638.9","1.90M","0.58%"
"Feb 03, 2020","44,066.7","42,441.0","44,922.4","41,927.6","4.14M","-0.96%"
"Jan 31, 2020","44,494.6","46,205.9","46,976.0","44,494.6","4.74M","-4.94%"
"Jan 30, 2020","46,804.9","47,318.3","47,746.1","46,120.3","3.03M","-3.19%"
"Jan 22, 2020","48,345.1","47,061.6","48,345.1","46,804.9","3.64M","1.80%"
"Jan 21, 2020","47,489.4","49,457.4","49,628.6","47,489.4","5.00M","-3.31%"
"Jan 20, 2020","49,115.2","49,200.7","49,628.6","48,944.0","1.41M","-0.35%"
"Jan 17, 2020","49,286.3","49,628.6","49,714.1","48,772.9","1.60M","-0.69%"
"Jan 16, 2020","49,628.6","48,772.9","49,799.7","48,772.9","2.23M","1.75%"
"Jan 15, 2020","48,772.9","48,772.9","48,858.5","48,601.8","1.08M","0.00%"
