"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2020","72,600.0","77,500.0","78,100.0","72,600.0","1.25M","-6.92%"
"Jun 10, 2020","78,000.0","78,000.0","78,400.0","77,500.0","426.40K","-0.51%"
"Jun 09, 2020","78,400.0","78,200.0","78,900.0","78,000.0","481.61K","-0.76%"
"Jun 08, 2020","79,000.0","79,500.0","79,500.0","78,300.0","659.45K","2.60%"
"Jun 05, 2020","77,000.0","77,000.0","78,000.0","76,500.0","881.33K","-1.28%"
"Jun 04, 2020","78,000.0","78,100.0","79,500.0","78,000.0","848.03K","0.00%"
"Jun 03, 2020","78,000.0","77,500.0","78,300.0","76,700.0","633.96K","2.09%"
"Jun 02, 2020","76,400.0","75,300.0","77,800.0","75,000.0","1.45M","1.46%"
"Jun 01, 2020","75,300.0","74,900.0","76,000.0","74,600.0","596.06K","1.21%"
"May 29, 2020","74,400.0","74,500.0","74,500.0","73,700.0","372.61K","0.68%"
"May 28, 2020","73,900.0","75,000.0","75,400.0","73,900.0","551.21K","-1.47%"
"May 27, 2020","75,000.0","75,500.0","76,300.0","74,800.0","1.14M","0.13%"
"May 26, 2020","74,900.0","74,500.0","74,900.0","73,800.0","615.97K","1.63%"
"May 25, 2020","73,700.0","73,900.0","74,100.0","73,400.0","554.99K","-0.27%"
"May 22, 2020","73,900.0","74,900.0","74,900.0","73,600.0","982.70K","-1.47%"
"May 21, 2020","75,000.0","74,500.0","75,600.0","74,000.0","952.81K","1.08%"
"May 20, 2020","74,200.0","73,000.0","74,800.0","73,000.0","548.54K","-0.80%"
"May 19, 2020","74,800.0","75,400.0","75,400.0","74,100.0","1.14M","1.77%"
"May 18, 2020","73,500.0","71,600.0","73,500.0","71,600.0","1.07M","3.67%"
"May 15, 2020","70,900.0","72,900.0","73,000.0","70,900.0","904.36K","-0.84%"
"May 14, 2020","71,500.0","71,600.0","72,400.0","71,200.0","688.00K","-1.24%"
"May 13, 2020","72,400.0","73,000.0","73,900.0","72,000.0","991.06K","-1.09%"
"May 12, 2020","73,200.0","72,900.0","74,000.0","71,000.0","1.15M","0.27%"
"May 11, 2020","73,000.0","70,000.0","73,000.0","70,000.0","1.08M","4.89%"
"May 08, 2020","69,600.0","68,700.0","70,800.0","68,700.0","1.70M","1.31%"
"May 07, 2020","68,700.0","68,600.0","69,500.0","67,700.0","705.71K","0.15%"
"May 06, 2020","68,600.0","66,700.0","68,800.0","66,700.0","1.54M","4.73%"
"May 05, 2020","65,500.0","65,000.0","65,500.0","64,000.0","652.83K","2.66%"
"May 04, 2020","63,800.0","65,000.0","65,600.0","63,600.0","410.24K","0.63%"
"Apr 29, 2020","63,400.0","63,000.0","64,200.0","63,000.0","623.86K","0.96%"
"Apr 28, 2020","62,800.0","62,600.0","64,000.0","62,400.0","775.61K","-2.18%"
"Apr 27, 2020","64,200.0","65,100.0","65,900.0","64,000.0","476.51K","-1.38%"
"Apr 24, 2020","65,100.0","65,800.0","66,000.0","64,700.0","583.01K","0.00%"
"Apr 23, 2020","65,100.0","65,000.0","66,000.0","64,800.0","620.26K","2.52%"
"Apr 22, 2020","63,500.0","61,000.0","64,600.0","61,000.0","760.59K","-1.55%"
"Apr 21, 2020","64,500.0","66,000.0","67,200.0","64,500.0","1.56M","-6.25%"
"Apr 20, 2020","68,800.0","68,000.0","69,000.0","67,100.0","1.23M","1.62%"
"Apr 17, 2020","67,700.0","67,500.0","69,000.0","67,500.0","811.68K","0.45%"
"Apr 16, 2020","67,400.0","66,600.0","68,000.0","65,800.0","717.40K","1.20%"
"Apr 15, 2020","66,600.0","65,800.0","67,300.0","65,500.0","645.24K","-0.60%"
"Apr 14, 2020","67,000.0","67,000.0","67,300.0","65,400.0","1.27M","-1.47%"
"Apr 13, 2020","68,000.0","68,200.0","69,500.0","67,500.0","1.05M","1.34%"
"Apr 10, 2020","67,100.0","66,000.0","67,500.0","65,000.0","944.26K","0.15%"
