"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2020","27,200.0","27,800.0","27,900.0","26,900.0","1.80M","-2.86%"
"Jun 10, 2020","28,000.0","28,050.0","28,100.0","27,400.0","719.23K","-0.18%"
"Jun 09, 2020","28,050.0","27,400.0","28,100.0","27,250.0","1.00M","2.37%"
"Jun 08, 2020","27,400.0","27,600.0","27,900.0","27,250.0","1.49M","-0.36%"
"Jun 05, 2020","27,500.0","27,400.0","27,800.0","26,900.0","931.87K","-1.08%"
"Jun 04, 2020","27,800.0","28,500.0","28,700.0","27,800.0","943.65K","-2.46%"
"Jun 03, 2020","28,500.0","28,500.0","28,500.0","27,000.0","2.00M","6.94%"
"Jun 02, 2020","26,650.0","26,650.0","26,650.0","26,500.0","2.24M","6.81%"
"Jun 01, 2020","24,950.0","24,250.0","25,000.0","24,250.0","890.79K","3.10%"
"May 29, 2020","24,200.0","23,600.0","24,200.0","23,250.0","937.90K","2.11%"
"May 28, 2020","23,700.0","24,000.0","24,000.0","23,650.0","510.18K","0.00%"
"May 27, 2020","23,700.0","24,800.0","24,800.0","23,700.0","850.80K","-2.67%"
"May 26, 2020","24,350.0","23,700.0","24,350.0","23,700.0","755.08K","1.04%"
"May 25, 2020","24,100.0","24,000.0","24,400.0","23,800.0","942.60K","0.84%"
"May 22, 2020","23,900.0","24,000.0","24,500.0","23,850.0","1.05M","-4.59%"
"May 21, 2020","25,050.0","23,150.0","25,050.0","23,150.0","1.12M","6.82%"
"May 20, 2020","23,450.0","23,300.0","23,550.0","23,300.0","435.17K","-0.42%"
"May 19, 2020","23,550.0","23,700.0","23,900.0","23,300.0","1.32M","1.51%"
"May 18, 2020","23,200.0","22,700.0","23,200.0","22,550.0","880.59K","1.53%"
"May 15, 2020","22,850.0","23,000.0","23,500.0","22,550.0","561.39K","-0.65%"
"May 14, 2020","23,000.0","23,200.0","23,500.0","23,000.0","860.84K","-2.95%"
"May 13, 2020","23,700.0","22,600.0","23,900.0","22,200.0","2.27M","4.41%"
"May 12, 2020","22,700.0","22,550.0","22,900.0","22,450.0","1.02M","0.67%"
"May 11, 2020","22,550.0","22,400.0","22,900.0","22,000.0","1.47M","0.67%"
"May 08, 2020","22,400.0","21,300.0","22,750.0","21,300.0","2.22M","5.16%"
"May 07, 2020","21,300.0","21,800.0","21,800.0","21,200.0","1.20M","-0.47%"
"May 06, 2020","21,400.0","21,600.0","21,600.0","21,150.0","393.86K","-1.15%"
"May 05, 2020","21,650.0","21,600.0","21,700.0","21,100.0","1.18M","0.46%"
"May 04, 2020","21,550.0","20,650.0","21,650.0","20,550.0","1.81M","4.36%"
"Apr 29, 2020","20,650.0","20,550.0","20,700.0","20,450.0","2.10M","0.49%"
"Apr 28, 2020","20,550.0","20,500.0","20,700.0","20,100.0","1.66M","0.24%"
"Apr 27, 2020","20,500.0","20,400.0","20,800.0","20,250.0","1.76M","-0.49%"
"Apr 24, 2020","20,600.0","20,600.0","20,600.0","20,050.0","2.08M","0.00%"
"Apr 23, 2020","20,600.0","21,000.0","21,200.0","20,200.0","2.25M","-0.96%"
"Apr 22, 2020","20,800.0","19,500.0","20,900.0","19,300.0","1.49M","3.48%"
"Apr 21, 2020","20,100.0","20,800.0","21,000.0","19,950.0","2.22M","-5.85%"
"Apr 20, 2020","21,350.0","21,800.0","21,950.0","21,250.0","1.51M","-0.70%"
"Apr 17, 2020","21,500.0","21,700.0","22,000.0","21,450.0","2.46M","2.63%"
"Apr 16, 2020","20,950.0","20,600.0","21,200.0","20,400.0","1.76M","1.45%"
"Apr 15, 2020","20,650.0","20,000.0","20,650.0","20,000.0","1.18M","3.25%"
"Apr 14, 2020","20,000.0","20,250.0","20,250.0","19,550.0","1.07M","-0.99%"
"Apr 13, 2020","20,200.0","19,950.0","20,200.0","19,350.0","1.62M","1.00%"
"Apr 10, 2020","20,000.0","20,150.0","20,500.0","19,800.0","1.58M","-3.15%"
"Apr 09, 2020","20,650.0","20,650.0","20,800.0","20,150.0","2.08M","0.00%"
