"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2020","25,500.0","26,850.0","27,150.0","25,500.0","22.87M","-5.56%"
"Jun 10, 2020","27,000.0","27,000.0","27,400.0","26,650.0","9.87M","-0.37%"
"Jun 09, 2020","27,100.0","27,950.0","28,000.0","26,950.0","18.69M","-2.17%"
"Jun 08, 2020","27,700.0","27,500.0","28,100.0","27,300.0","17.14M","2.40%"
"Jun 05, 2020","27,050.0","26,500.0","27,300.0","26,200.0","13.53M","1.69%"
"Jun 04, 2020","26,600.0","27,000.0","27,400.0","26,600.0","13.49M","-1.30%"
"Jun 03, 2020","26,950.0","27,050.0","27,200.0","26,600.0","12.02M","-0.37%"
"Jun 02, 2020","27,050.0","27,800.0","27,800.0","26,950.0","11.49M","-2.17%"
"Jun 01, 2020","27,650.0","27,800.0","27,800.0","27,450.0","8.02M","0.91%"
"May 29, 2020","27,400.0","27,300.0","27,700.0","27,000.0","12.58M","0.74%"
"May 28, 2020","27,200.0","27,500.0","27,600.0","26,900.0","14.49M","0.00%"
"May 27, 2020","27,200.0","28,600.0","28,600.0","27,200.0","19.78M","-4.23%"
"May 26, 2020","28,400.0","27,350.0","28,400.0","27,300.0","11.50M","4.03%"
"May 25, 2020","27,300.0","27,500.0","27,800.0","27,150.0","11.17M","0.18%"
"May 22, 2020","27,250.0","26,350.0","27,450.0","26,250.0","16.25M","2.83%"
"May 21, 2020","26,500.0","26,350.0","26,550.0","26,100.0","11.21M","0.19%"
"May 20, 2020","26,450.0","26,000.0","26,600.0","25,650.0","11.58M","1.15%"
"May 19, 2020","26,150.0","26,400.0","26,850.0","26,050.0","18.84M","4.18%"
"May 18, 2020","25,100.0","24,450.0","25,100.0","24,000.0","13.49M","6.81%"
"May 15, 2020","23,500.0","23,950.0","24,050.0","23,400.0","7.93M","-1.88%"
"May 14, 2020","23,950.0","23,800.0","24,100.0","23,700.0","6.52M","-0.62%"
"May 13, 2020","24,100.0","23,450.0","24,200.0","23,300.0","9.61M","1.90%"
"May 12, 2020","23,650.0","23,650.0","23,900.0","23,400.0","10.53M","-1.25%"
"May 11, 2020","23,950.0","23,700.0","24,100.0","23,300.0","7.22M","2.35%"
"May 08, 2020","23,400.0","23,800.0","24,150.0","23,400.0","12.48M","-0.85%"
"May 07, 2020","23,600.0","22,300.0","23,600.0","22,300.0","14.73M","6.31%"
"May 06, 2020","22,200.0","21,550.0","22,200.0","21,500.0","7.62M","3.74%"
"May 05, 2020","21,400.0","21,400.0","21,650.0","21,300.0","5.89M","1.90%"
"May 04, 2020","21,000.0","21,500.0","21,550.0","21,000.0","4.83M","-2.33%"
"Apr 29, 2020","21,500.0","21,400.0","21,700.0","21,000.0","7.45M","0.47%"
"Apr 28, 2020","21,400.0","22,000.0","22,100.0","21,250.0","7.69M","-2.51%"
"Apr 27, 2020","21,950.0","22,250.0","22,600.0","21,850.0","6.64M","-0.68%"
"Apr 24, 2020","22,100.0","21,700.0","22,200.0","21,300.0","8.30M","2.31%"
"Apr 23, 2020","21,600.0","21,300.0","21,950.0","21,300.0","8.35M","3.85%"
"Apr 22, 2020","20,800.0","20,500.0","21,300.0","20,300.0","11.04M","2.97%"
"Apr 21, 2020","20,200.0","20,750.0","21,250.0","20,150.0","11.93M","-4.72%"
"Apr 20, 2020","21,200.0","21,000.0","21,500.0","20,550.0","9.42M","2.42%"
"Apr 17, 2020","20,700.0","20,250.0","20,800.0","20,200.0","8.82M","2.22%"
"Apr 16, 2020","20,250.0","19,950.0","20,400.0","19,750.0","6.67M","0.75%"
"Apr 15, 2020","20,100.0","20,000.0","20,300.0","19,950.0","5.96M","0.75%"
"Apr 14, 2020","19,950.0","19,300.0","19,950.0","19,200.0","8.74M","3.10%"
"Apr 13, 2020","19,350.0","18,800.0","19,500.0","18,700.0","9.04M","2.93%"
"Apr 10, 2020","18,800.0","18,500.0","19,000.0","18,300.0","5.56M","1.35%"
"Apr 09, 2020","18,550.0","18,800.0","19,000.0","18,550.0","7.13M","-0.80%"
"Apr 08, 2020","18,700.0","18,400.0","18,800.0","18,300.0","5.11M","-1.58%"
"Apr 07, 2020","19,000.0","19,050.0","19,100.0","18,250.0","7.66M","0.80%"
"Apr 06, 2020","18,850.0","18,150.0","18,850.0","17,900.0","10.21M","6.80%"
"Apr 03, 2020","17,650.0","17,250.0","17,700.0","17,200.0","6.50M","2.32%"
"Apr 01, 2020","17,250.0","16,700.0","17,500.0","16,650.0","4.86M","2.37%"
"Mar 31, 2020","16,850.0","16,350.0","17,350.0","15,250.0","11.16M","3.06%"
"Mar 30, 2020","16,350.0","15,300.0","16,700.0","15,250.0","10.87M","0.93%"
"Mar 27, 2020","16,200.0","16,900.0","17,000.0","15,800.0","13.44M","-4.42%"
"Mar 26, 2020","16,950.0","17,550.0","17,600.0","16,900.0","8.51M","-4.78%"
"Mar 25, 2020","17,800.0","17,850.0","17,850.0","17,400.0","7.76M","4.09%"
"Mar 24, 2020","17,100.0","17,000.0","17,350.0","16,650.0","13.83M","-1.16%"
"Mar 23, 2020","17,300.0","17,400.0","18,000.0","17,300.0","12.95M","-6.99%"
"Mar 20, 2020","18,600.0","19,250.0","19,300.0","18,600.0","13.40M","-2.87%"
"Mar 19, 2020","19,150.0","19,400.0","19,500.0","18,900.0","7.77M","-2.79%"
"Mar 18, 2020","19,700.0","19,400.0","20,100.0","19,350.0","10.40M","2.60%"
"Mar 17, 2020","19,200.0","18,600.0","19,300.0","18,600.0","6.05M","0.52%"
"Mar 16, 2020","19,100.0","19,200.0","19,850.0","18,950.0","9.28M","0.26%"
"Mar 13, 2020","19,050.0","18,050.0","19,700.0","17,950.0","12.84M","-1.04%"
"Mar 12, 2020","19,250.0","19,550.0","19,800.0","19,150.0","13.04M","-6.33%"
"Mar 11, 2020","20,550.0","21,700.0","21,800.0","20,150.0","8.53M","-5.08%"
"Mar 10, 2020","21,650.0","20,500.0","21,750.0","20,500.0","8.14M","3.84%"
"Mar 09, 2020","20,850.0","20,850.0","21,550.0","20,850.0","16.57M","-6.92%"
"Mar 06, 2020","22,400.0","22,350.0","22,450.0","22,250.0","3.04M","0.22%"
"Mar 05, 2020","22,350.0","22,600.0","22,650.0","22,350.0","2.59M","0.00%"
"Mar 04, 2020","22,350.0","22,400.0","22,600.0","22,350.0","2.95M","0.22%"
"Mar 03, 2020","22,300.0","22,800.0","22,800.0","22,300.0","4.41M","0.00%"
"Mar 02, 2020","22,300.0","22,200.0","22,500.0","22,200.0","3.96M","-0.22%"
"Feb 28, 2020","22,350.0","22,550.0","22,800.0","22,250.0","6.58M","-2.61%"
"Feb 27, 2020","22,950.0","22,700.0","23,050.0","22,700.0","3.32M","0.88%"
"Feb 26, 2020","22,750.0","22,750.0","23,000.0","22,700.0","4.50M","-1.52%"
"Feb 25, 2020","23,100.0","22,600.0","23,100.0","22,600.0","5.30M","1.76%"
"Feb 24, 2020","22,700.0","22,750.0","23,150.0","22,700.0","12.94M","-3.61%"
"Feb 21, 2020","23,550.0","23,750.0","23,800.0","23,500.0","4.51M","-0.84%"
"Feb 20, 2020","23,750.0","23,450.0","23,750.0","23,250.0","5.23M","2.15%"
