"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2020","17,500.0","18,700.0","18,850.0","17,500.0","9.86M","-5.91%"
"Jun 10, 2020","18,600.0","18,050.0","18,850.0","17,950.0","10.29M","2.76%"
"Jun 09, 2020","18,100.0","18,150.0","18,200.0","18,050.0","5.95M","0.00%"
"Jun 08, 2020","18,100.0","18,150.0","18,300.0","18,050.0","8.11M","1.12%"
"Jun 05, 2020","17,900.0","17,950.0","18,000.0","17,800.0","6.86M","-0.56%"
"Jun 04, 2020","18,000.0","18,150.0","18,300.0","18,000.0","8.63M","-0.28%"
"Jun 03, 2020","18,050.0","18,000.0","18,100.0","17,900.0","4.40M","0.84%"
"Jun 02, 2020","17,900.0","18,000.0","18,300.0","17,900.0","14.02M","0.28%"
"Jun 01, 2020","17,850.0","17,250.0","18,050.0","17,250.0","17.15M","3.78%"
"May 29, 2020","17,200.0","17,300.0","17,300.0","17,150.0","4.37M","-0.58%"
"May 28, 2020","17,300.0","17,350.0","17,500.0","17,250.0","3.44M","0.00%"
"May 27, 2020","17,300.0","17,800.0","17,800.0","17,300.0","10.81M","-1.70%"
"May 26, 2020","17,600.0","17,400.0","17,600.0","17,350.0","9.16M","1.73%"
"May 25, 2020","17,300.0","17,250.0","17,450.0","17,200.0","4.24M","0.29%"
"May 22, 2020","17,250.0","17,500.0","17,650.0","17,200.0","7.71M","-1.99%"
"May 21, 2020","17,600.0","17,350.0","17,650.0","17,250.0","8.73M","1.73%"
"May 20, 2020","17,300.0","17,250.0","17,400.0","17,150.0","4.06M","-0.57%"
"May 19, 2020","17,400.0","17,400.0","17,500.0","17,250.0","9.17M","2.05%"
"May 18, 2020","17,050.0","16,950.0","17,100.0","16,800.0","4.69M","0.59%"
"May 15, 2020","16,950.0","17,400.0","17,450.0","16,950.0","8.05M","-2.02%"
"May 14, 2020","17,300.0","17,300.0","17,550.0","17,100.0","7.37M","-1.14%"
"May 13, 2020","17,500.0","17,400.0","17,650.0","17,000.0","10.54M","1.74%"
"May 12, 2020","17,200.0","16,800.0","17,200.0","16,600.0","11.94M","2.38%"
"May 11, 2020","16,800.0","16,900.0","17,000.0","16,500.0","13.87M","1.20%"
"May 08, 2020","16,600.0","16,400.0","17,000.0","16,400.0","12.65M","1.84%"
"May 07, 2020","16,300.0","15,950.0","16,350.0","15,950.0","6.24M","2.19%"
"May 06, 2020","15,950.0","15,900.0","16,000.0","15,700.0","3.83M","0.95%"
"May 05, 2020","15,800.0","15,900.0","15,950.0","15,650.0","2.51M","-0.32%"
"May 04, 2020","15,850.0","15,950.0","16,050.0","15,850.0","2.27M","-0.63%"
"Apr 29, 2020","15,950.0","15,900.0","16,100.0","15,850.0","2.73M","0.95%"
"Apr 28, 2020","15,800.0","15,800.0","15,950.0","15,600.0","2.90M","0.64%"
"Apr 27, 2020","15,700.0","16,100.0","16,200.0","15,700.0","4.85M","-2.18%"
"Apr 24, 2020","16,050.0","16,000.0","16,150.0","15,900.0","2.66M","-0.62%"
"Apr 23, 2020","16,150.0","16,400.0","16,450.0","16,050.0","3.57M","0.31%"
"Apr 22, 2020","16,100.0","15,250.0","16,150.0","15,250.0","5.23M","2.88%"
"Apr 21, 2020","15,650.0","16,400.0","16,450.0","15,650.0","10.67M","-6.01%"
