"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2020","58,500.0","63,300.0","64,100.0","58,500.0","2.64M","-7.00%"
"Jun 10, 2020","62,900.0","62,900.0","63,000.0","62,500.0","1.21M","-0.16%"
"Jun 09, 2020","63,000.0","63,500.0","64,200.0","62,700.0","1.61M","-0.63%"
"Jun 08, 2020","63,400.0","63,400.0","64,400.0","62,800.0","1.76M","0.63%"
"Jun 05, 2020","63,000.0","63,000.0","63,300.0","62,500.0","1.83M","-0.79%"
"Jun 04, 2020","63,500.0","64,600.0","64,600.0","63,300.0","1.53M","-0.78%"
"Jun 03, 2020","64,000.0","64,500.0","64,500.0","63,600.0","749.70K","0.16%"
"Jun 02, 2020","63,900.0","63,600.0","65,800.0","63,400.0","4.19M","1.27%"
"Jun 01, 2020","63,100.0","62,700.0","63,700.0","62,700.0","1.08M","0.64%"
"May 29, 2020","62,700.0","62,800.0","62,900.0","62,200.0","698.10K","-0.16%"
"May 28, 2020","62,800.0","63,400.0","63,400.0","62,400.0","797.48K","0.48%"
"May 27, 2020","62,500.0","63,200.0","64,600.0","62,500.0","2.19M","0.00%"
"May 26, 2020","62,500.0","62,000.0","62,800.0","61,900.0","1.05M","1.13%"
"May 25, 2020","61,800.0","62,200.0","62,700.0","61,500.0","1.35M","-0.32%"
"May 22, 2020","62,000.0","63,500.0","63,700.0","62,000.0","1.31M","-2.82%"
"May 21, 2020","63,800.0","63,800.0","64,000.0","62,800.0","1.51M","0.00%"
"May 20, 2020","63,800.0","62,500.0","63,900.0","62,500.0","998.40K","1.27%"
"May 19, 2020","63,000.0","63,300.0","64,400.0","62,500.0","1.92M","0.80%"
"May 18, 2020","62,500.0","62,100.0","62,800.0","61,400.0","840.07K","0.64%"
"May 15, 2020","62,100.0","64,500.0","64,900.0","62,100.0","1.31M","-2.82%"
"May 14, 2020","63,900.0","61,500.0","65,200.0","61,000.0","2.57M","3.23%"
"May 13, 2020","61,900.0","61,300.0","62,500.0","60,500.0","1.60M","-0.16%"
"May 12, 2020","62,000.0","63,000.0","63,200.0","61,800.0","1.03M","-1.74%"
"May 11, 2020","63,100.0","61,500.0","63,100.0","60,600.0","1.84M","3.44%"
"May 08, 2020","61,000.0","59,000.0","62,400.0","58,900.0","3.32M","3.74%"
"May 07, 2020","58,800.0","58,800.0","59,000.0","58,000.0","780.60K","1.38%"
"May 06, 2020","58,000.0","57,000.0","58,000.0","55,700.0","1.02M","2.84%"
