"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2020","83,200.0","89,500.0","89,500.0","83,200.0","2.78M","-6.94%"
"Jun 10, 2020","89,400.0","88,500.0","90,000.0","87,100.0","1.01M","0.79%"
"Jun 09, 2020","88,700.0","90,800.0","90,800.0","88,600.0","1.12M","-1.55%"
"Jun 08, 2020","90,100.0","87,500.0","91,300.0","86,800.0","3.69M","4.65%"
"Jun 05, 2020","86,100.0","85,500.0","86,200.0","85,100.0","744.28K","0.70%"
"Jun 04, 2020","85,500.0","85,600.0","87,000.0","85,300.0","1.01M","0.12%"
"Jun 03, 2020","85,400.0","85,500.0","85,800.0","85,200.0","861.72K","0.12%"
"Jun 02, 2020","85,300.0","86,100.0","86,800.0","85,300.0","1.11M","-0.81%"
"Jun 01, 2020","86,000.0","84,600.0","86,100.0","84,600.0","819.63K","1.65%"
"May 29, 2020","84,600.0","84,600.0","85,000.0","84,100.0","849.50K","-0.12%"
"May 28, 2020","84,700.0","85,000.0","85,700.0","84,500.0","950.52K","-0.12%"
"May 27, 2020","84,800.0","86,900.0","87,400.0","84,800.0","1.32M","-1.97%"
"May 26, 2020","86,500.0","86,200.0","86,800.0","85,600.0","1.18M","0.46%"
"May 25, 2020","86,100.0","85,000.0","87,000.0","84,200.0","1.14M","1.29%"
"May 22, 2020","85,000.0","87,000.0","87,100.0","85,000.0","1.48M","-2.30%"
"May 21, 2020","87,000.0","86,600.0","88,300.0","86,200.0","1.54M","0.58%"
"May 20, 2020","86,500.0","86,100.0","86,700.0","85,700.0","1.10M","-0.80%"
"May 19, 2020","87,200.0","87,500.0","87,700.0","86,500.0","1.67M","1.99%"
"May 18, 2020","85,500.0","82,000.0","85,600.0","82,000.0","2.18M","4.14%"
"May 15, 2020","82,100.0","83,200.0","83,800.0","82,000.0","1.11M","-1.08%"
"May 14, 2020","83,000.0","82,000.0","83,800.0","82,000.0","1.04M","-1.07%"
"May 13, 2020","83,900.0","82,000.0","84,100.0","81,100.0","1.67M","0.72%"
"May 12, 2020","83,300.0","84,800.0","84,800.0","82,500.0","1.94M","-2.00%"
"May 11, 2020","85,000.0","84,000.0","85,600.0","83,800.0","1.26M","1.43%"
"May 08, 2020","83,800.0","83,000.0","85,900.0","83,000.0","2.36M","1.45%"
"May 07, 2020","82,600.0","81,800.0","82,600.0","81,500.0","1.21M","1.72%"
"May 06, 2020","81,200.0","80,000.0","81,200.0","79,000.0","846.52K","2.40%"
"May 05, 2020","79,300.0","79,800.0","80,600.0","78,800.0","522.28K","-0.13%"
"May 04, 2020","79,400.0","81,500.0","81,500.0","79,400.0","917.32K","-2.82%"
"Apr 29, 2020","81,700.0","80,900.0","82,300.0","79,000.0","1.18M","0.99%"
"Apr 28, 2020","80,900.0","81,500.0","81,900.0","80,400.0","899.94K","-1.58%"
"Apr 27, 2020","82,200.0","83,900.0","83,900.0","81,200.0","1.12M","-0.96%"
"Apr 24, 2020","83,000.0","83,500.0","83,500.0","81,200.0","1.03M","-0.60%"
"Apr 23, 2020","83,500.0","85,000.0","85,000.0","82,000.0","1.35M","1.83%"
"Apr 22, 2020","82,000.0","77,100.0","83,000.0","77,100.0","1.80M","3.27%"
"Apr 21, 2020","79,400.0","82,100.0","83,400.0","78,600.0","2.58M","-5.81%"
"Apr 20, 2020","84,300.0","84,000.0","85,100.0","82,300.0","2.18M","2.80%"
"Apr 17, 2020","82,000.0","77,900.0","82,000.0","77,500.0","2.47M","6.63%"
"Apr 16, 2020","76,900.0","76,000.0","77,000.0","75,400.0","1.46M","0.13%"
"Apr 15, 2020","76,800.0","76,000.0","78,200.0","75,600.0","1.56M","2.67%"
"Apr 14, 2020","74,800.0","75,200.0","75,800.0","73,400.0","1.04M","-0.27%"
"Apr 13, 2020","75,000.0","72,000.0","76,700.0","72,000.0","2.21M","4.60%"
"Apr 10, 2020","71,700.0","71,600.0","72,900.0","70,600.0","1.24M","-1.78%"
"Apr 09, 2020","73,000.0","75,000.0","75,300.0","73,000.0","1.61M","-1.35%"
"Apr 08, 2020","74,000.0","72,800.0","74,600.0","71,500.0","2.04M","-0.80%"
"Apr 07, 2020","74,600.0","74,700.0","74,700.0","70,900.0","5.82M","6.72%"
"Apr 06, 2020","69,900.0","69,900.0","69,900.0","69,900.0","486.16K","6.88%"
"Apr 03, 2020","65,400.0","62,900.0","65,400.0","62,300.0","1.65M","6.86%"
"Apr 01, 2020","61,200.0","58,700.0","62,200.0","58,400.0","1.60M","3.90%"
"Mar 31, 2020","58,900.0","61,000.0","62,700.0","56,300.0","1.87M","-1.01%"
"Mar 30, 2020","59,500.0","58,900.0","65,000.0","58,900.0","1.86M","-6.00%"
"Mar 27, 2020","63,300.0","65,300.0","66,000.0","63,300.0","2.50M","-6.91%"
"Mar 26, 2020","68,000.0","72,300.0","72,300.0","68,000.0","2.12M","-6.85%"
"Mar 25, 2020","73,000.0","70,000.0","73,000.0","69,000.0","1.42M","6.10%"
"Mar 24, 2020","68,800.0","71,800.0","71,800.0","66,800.0","1.57M","-4.18%"
"Mar 23, 2020","71,800.0","73,200.0","75,000.0","71,800.0","1.36M","-6.99%"
"Mar 20, 2020","77,200.0","75,800.0","77,200.0","74,900.0","1.10M","2.12%"
"Mar 19, 2020","75,600.0","77,000.0","77,700.0","74,600.0","1.13M","-4.06%"
"Mar 18, 2020","78,800.0","77,800.0","80,500.0","77,000.0","1.41M","1.94%"
"Mar 17, 2020","77,300.0","72,500.0","78,000.0","71,600.0","1.25M","1.71%"
"Mar 16, 2020","76,000.0","77,000.0","79,200.0","74,000.0","1.53M","-3.80%"
"Mar 13, 2020","79,000.0","75,700.0","86,000.0","75,700.0","3.61M","-2.83%"
"Mar 12, 2020","81,300.0","81,300.0","81,300.0","81,300.0","527.93K","-6.98%"
"Mar 11, 2020","87,400.0","94,000.0","94,500.0","87,400.0","1.58M","-6.92%"
"Mar 10, 2020","93,900.0","90,900.0","95,000.0","90,200.0","1.43M","-2.09%"
"Mar 09, 2020","95,900.0","95,900.0","98,500.0","95,900.0","1.05M","-6.98%"
"Mar 06, 2020","103,100.0","104,400.0","104,800.0","101,400.0","827.89K","-2.27%"
"Mar 05, 2020","105,500.0","106,000.0","106,600.0","104,500.0","673.15K","-0.47%"
"Mar 04, 2020","106,000.0","105,900.0","106,000.0","104,600.0","680.74K","-0.38%"
"Mar 03, 2020","106,400.0","107,800.0","107,800.0","106,300.0","679.50K","-0.09%"
"Mar 02, 2020","106,500.0","106,500.0","107,200.0","105,900.0","474.16K","0.00%"
"Feb 28, 2020","106,500.0","106,000.0","107,200.0","104,500.0","1.30M","-1.75%"
"Feb 27, 2020","108,400.0","106,200.0","108,400.0","106,200.0","2.14M","2.07%"
"Feb 26, 2020","106,200.0","106,000.0","107,900.0","105,500.0","1.08M","-0.75%"
"Feb 25, 2020","107,000.0","105,200.0","107,000.0","105,200.0","692.65K","0.75%"
"Feb 24, 2020","106,200.0","108,000.0","108,900.0","105,700.0","1.56M","-3.98%"
"Feb 21, 2020","110,600.0","110,600.0","112,000.0","109,800.0","901.89K","0.00%"
"Feb 20, 2020","110,600.0","111,000.0","111,400.0","110,200.0","451.76K","0.09%"
"Feb 19, 2020","110,500.0","109,400.0","110,500.0","108,900.0","672.44K","1.47%"
"Feb 18, 2020","108,900.0","107,500.0","109,100.0","107,000.0","568.75K","1.30%"
"Feb 17, 2020","107,500.0","107,200.0","107,500.0","106,200.0","384.49K","0.37%"
"Feb 14, 2020","107,100.0","107,000.0","107,700.0","105,900.0","415.29K","-0.83%"
"Feb 13, 2020","108,000.0","107,900.0","109,000.0","107,900.0","412.04K","-0.92%"
"Feb 12, 2020","109,000.0","106,700.0","109,400.0","106,700.0","569.23K","2.35%"
"Feb 11, 2020","106,500.0","106,000.0","106,800.0","106,000.0","396.13K","0.66%"
"Feb 10, 2020","105,800.0","106,500.0","107,500.0","105,800.0","702.79K","-2.67%"
"Feb 07, 2020","108,700.0","109,300.0","109,300.0","107,800.0","628.35K","-0.73%"
"Feb 06, 2020","109,500.0","108,000.0","110,300.0","108,000.0","785.62K","1.39%"
"Feb 05, 2020","108,000.0","108,000.0","109,700.0","108,000.0","805.80K","0.09%"
"Feb 04, 2020","107,900.0","109,000.0","110,500.0","106,400.0","905.30K","-0.83%"
"Feb 03, 2020","108,800.0","108,200.0","109,900.0","104,000.0","1.95M","-1.81%"
"Jan 31, 2020","110,800.0","113,000.0","114,600.0","110,500.0","1.43M","-2.81%"
"Jan 30, 2020","114,000.0","116,000.0","117,100.0","113,000.0","1.32M","-4.36%"
"Jan 22, 2020","119,200.0","119,600.0","120,100.0","118,500.0","460.24K","-0.67%"
"Jan 21, 2020","120,000.0","118,600.0","120,500.0","118,400.0","692.20K","1.18%"
"Jan 20, 2020","118,600.0","115,500.0","118,600.0","115,500.0","1.46M","2.15%"
"Jan 17, 2020","116,100.0","115,400.0","116,200.0","115,400.0","435.03K","0.61%"
"Jan 16, 2020","115,400.0","114,000.0","116,000.0","113,900.0","521.08K","1.23%"
"Jan 15, 2020","114,000.0","113,900.0","114,200.0","113,700.0","293.16K","0.09%"
"Jan 14, 2020","113,900.0","114,800.0","114,800.0","113,800.0","320.81K","-0.52%"
"Jan 13, 2020","114,500.0","114,500.0","115,300.0","114,100.0","288.24K","-0.52%"
"Jan 10, 2020","115,100.0","114,600.0","115,600.0","114,300.0","412.18K","0.52%"
"Jan 09, 2020","114,500.0","113,900.0","115,000.0","113,400.0","318.07K","1.51%"
"Jan 08, 2020","112,800.0","114,000.0","115,000.0","112,800.0","742.39K","-2.42%"
"Jan 07, 2020","115,600.0","114,700.0","115,600.0","113,300.0","648.23K","0.78%"
"Jan 06, 2020","114,700.0","114,800.0","115,400.0","114,000.0","389.25K","-0.52%"
"Jan 03, 2020","115,300.0","117,000.0","117,700.0","115,200.0","791.02K","-1.45%"
"Jan 02, 2020","117,000.0","114,000.0","117,000.0","113,700.0","716.29K","2.63%"
"Dec 31, 2019","114,000.0","114,000.0","114,900.0","114,000.0","604.05K","0.00%"
"Dec 30, 2019","114,000.0","113,500.0","114,500.0","113,200.0","616.46K","0.44%"
"Dec 27, 2019","113,500.0","113,000.0","113,500.0","112,500.0","488.24K","0.18%"
"Dec 26, 2019","113,300.0","113,900.0","113,900.0","112,100.0","615.24K","-0.53%"
"Dec 25, 2019","113,900.0","111,600.0","113,900.0","111,300.0","547.47K","2.34%"
"Dec 24, 2019","111,300.0","111,200.0","111,800.0","110,600.0","374.75K","0.27%"
"Dec 23, 2019","111,000.0","111,700.0","112,200.0","111,000.0","425.78K","0.27%"
"Dec 20, 2019","110,700.0","110,800.0","111,800.0","110,200.0","356.76K","0.64%"
