"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2020","54,500.0","54,500.0","54,600.0","54,100.0","760.09K","0.00%"
"Jun 10, 2020","54,500.0","54,500.0","54,800.0","53,500.0","1.07M","0.00%"
"Jun 09, 2020","54,500.0","54,800.0","55,500.0","53,500.0","1.39M","-0.37%"
"Jun 08, 2020","54,700.0","54,500.0","54,900.0","54,300.0","665.51K","0.18%"
"Jun 05, 2020","54,600.0","54,500.0","54,600.0","54,300.0","565.32K","0.18%"
"Jun 04, 2020","54,500.0","54,000.0","55,300.0","53,300.0","1.06M","0.37%"
"Jun 03, 2020","54,300.0","54,100.0","54,500.0","53,200.0","689.39K","0.18%"
"Jun 02, 2020","54,200.0","54,700.0","55,300.0","53,500.0","1.18M","-1.45%"
"Jun 01, 2020","55,000.0","53,700.0","55,000.0","53,400.0","1.19M","2.42%"
"May 29, 2020","53,700.0","54,000.0","54,900.0","53,300.0","899.22K","-1.10%"
"May 28, 2020","54,300.0","53,800.0","54,900.0","52,700.0","1.36M","0.93%"
"May 27, 2020","53,800.0","53,400.0","54,100.0","52,500.0","1.05M","0.75%"
"May 26, 2020","53,400.0","53,400.0","53,900.0","52,500.0","1.12M","0.19%"
"May 25, 2020","53,300.0","53,400.0","53,900.0","52,200.0","1.04M","0.00%"
"May 22, 2020","53,300.0","53,500.0","54,300.0","52,400.0","1.05M","-0.37%"
"May 21, 2020","53,500.0","53,200.0","53,800.0","52,100.0","1.75M","0.75%"
"May 20, 2020","53,100.0","53,200.0","53,500.0","52,000.0","992.87K","0.19%"
"May 19, 2020","53,000.0","52,900.0","53,500.0","52,100.0","961.21K","0.38%"
"May 18, 2020","52,800.0","52,600.0","53,200.0","51,600.0","1.24M","0.38%"
"May 15, 2020","52,600.0","52,700.0","53,900.0","52,100.0","912.37K","0.00%"
"May 14, 2020","52,600.0","52,200.0","53,500.0","51,500.0","1.22M","0.19%"
"May 13, 2020","52,500.0","52,700.0","52,800.0","51,500.0","1.30M","-0.38%"
"May 12, 2020","52,700.0","54,100.0","54,200.0","52,500.0","979.42K","-2.41%"
"May 11, 2020","54,000.0","51,900.0","54,500.0","51,900.0","855.36K","0.19%"
"May 08, 2020","53,900.0","53,100.0","54,000.0","53,000.0","1.34M","1.51%"
"May 07, 2020","53,100.0","53,000.0","53,600.0","51,700.0","1.52M","0.19%"
"May 06, 2020","53,000.0","52,500.0","53,700.0","51,500.0","1.28M","0.38%"
"May 05, 2020","52,800.0","52,800.0","54,500.0","52,000.0","1.82M","0.00%"
"May 04, 2020","52,800.0","53,500.0","55,000.0","52,100.0","1.11M","-0.75%"
"Apr 29, 2020","53,200.0","53,000.0","54,200.0","51,800.0","1.60M","0.19%"
"Apr 28, 2020","53,100.0","52,800.0","54,000.0","52,000.0","1.13M","0.57%"
"Apr 27, 2020","52,800.0","53,000.0","53,600.0","51,700.0","853.17K","-0.38%"
"Apr 24, 2020","53,000.0","52,500.0","53,500.0","51,500.0","1.11M","0.76%"
"Apr 23, 2020","52,600.0","52,500.0","53,700.0","51,500.0","1.16M","0.19%"
"Apr 22, 2020","52,500.0","52,100.0","52,500.0","51,200.0","738.97K","0.00%"
"Apr 21, 2020","52,500.0","52,000.0","52,800.0","51,500.0","653.99K","-0.38%"
"Apr 20, 2020","52,700.0","52,700.0","53,000.0","51,200.0","886.65K","0.00%"
"Apr 17, 2020","52,700.0","52,100.0","53,000.0","51,900.0","640.16K","1.54%"
"Apr 16, 2020","51,900.0","51,700.0","51,900.0","51,400.0","455.28K","0.00%"
"Apr 15, 2020","51,900.0","51,800.0","52,000.0","51,200.0","446.90K","0.00%"
"Apr 14, 2020","51,900.0","51,800.0","51,900.0","51,300.0","409.52K","-0.19%"
"Apr 13, 2020","52,000.0","51,900.0","52,100.0","51,400.0","291.63K","0.00%"
"Apr 10, 2020","52,000.0","52,000.0","52,000.0","51,400.0","232.06K","0.00%"
"Apr 09, 2020","52,000.0","52,100.0","53,000.0","51,800.0","532.05K","0.00%"
"Apr 08, 2020","52,000.0","51,700.0","52,000.0","51,200.0","281.50K","0.58%"
"Apr 07, 2020","51,700.0","52,000.0","52,100.0","50,800.0","589.84K","-0.58%"
"Apr 06, 2020","52,000.0","51,900.0","52,000.0","51,400.0","244.74K","0.19%"
"Apr 03, 2020","51,900.0","51,800.0","51,900.0","51,200.0","376.19K","0.19%"
"Apr 01, 2020","51,800.0","51,900.0","52,000.0","51,700.0","462.50K","-0.19%"
"Mar 31, 2020","51,900.0","51,600.0","52,000.0","51,600.0","452.83K","0.00%"
"Mar 30, 2020","51,900.0","51,600.0","52,000.0","51,100.0","239.26K","-0.19%"
"Mar 27, 2020","52,000.0","52,000.0","52,000.0","51,000.0","729.27K","0.39%"
"Mar 26, 2020","51,800.0","51,500.0","52,000.0","51,000.0","225.93K","-0.58%"
"Mar 25, 2020","52,100.0","52,000.0","52,200.0","51,300.0","316.07K","0.19%"
"Mar 24, 2020","52,000.0","51,500.0","52,500.0","51,400.0","418.88K","0.00%"
"Mar 23, 2020","52,000.0","50,500.0","52,000.0","49,400.0","915.75K","1.96%"
"Mar 20, 2020","51,000.0","51,000.0","51,000.0","49,100.0","2.92M","0.00%"
"Mar 19, 2020","51,000.0","51,000.0","51,000.0","50,100.0","709.88K","0.00%"
"Mar 18, 2020","51,000.0","51,300.0","51,500.0","50,000.0","464.36K","-0.97%"
"Mar 17, 2020","51,500.0","51,500.0","51,600.0","50,800.0","306.06K","-0.19%"
"Mar 16, 2020","51,600.0","52,800.0","52,800.0","51,100.0","405.92K","-2.64%"
"Mar 13, 2020","53,000.0","52,200.0","53,000.0","51,200.0","357.57K","0.38%"
"Mar 12, 2020","52,800.0","53,000.0","53,000.0","51,600.0","425.39K","-0.38%"
"Mar 11, 2020","53,000.0","53,000.0","53,100.0","51,800.0","777.76K","0.00%"
"Mar 10, 2020","53,000.0","52,000.0","53,400.0","52,000.0","692.09K","0.00%"
"Mar 09, 2020","53,000.0","53,000.0","54,000.0","51,700.0","612.38K","-1.85%"
"Mar 06, 2020","54,000.0","53,500.0","54,000.0","53,000.0","581.02K","0.19%"
"Mar 05, 2020","53,900.0","53,800.0","54,500.0","53,200.0","639.33K","0.19%"
"Mar 04, 2020","53,800.0","53,700.0","54,400.0","53,000.0","586.25K","0.19%"
"Mar 03, 2020","53,700.0","53,300.0","54,100.0","53,300.0","721.83K","0.19%"
"Mar 02, 2020","53,600.0","53,300.0","53,700.0","53,100.0","524.05K","0.19%"
