"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2020","44,400.0","48,000.0","48,000.0","44,400.0","997.81K","-6.92%"
"Jun 10, 2020","47,700.0","47,600.0","47,700.0","46,600.0","690.86K","0.21%"
"Jun 09, 2020","47,600.0","48,000.0","48,100.0","47,400.0","670.76K","-0.83%"
"Jun 08, 2020","48,000.0","47,400.0","48,100.0","47,300.0","1.54M","2.13%"
"Jun 05, 2020","47,000.0","47,200.0","47,200.0","45,400.0","586.88K","-0.32%"
"Jun 04, 2020","47,150.0","47,000.0","47,400.0","46,900.0","868.58K","0.96%"
"Jun 03, 2020","46,700.0","46,900.0","47,000.0","46,500.0","508.87K","0.65%"
"Jun 02, 2020","46,400.0","46,800.0","47,100.0","46,150.0","1.31M","0.22%"
"Jun 01, 2020","46,300.0","46,150.0","46,700.0","46,150.0","817.19K","0.33%"
"May 29, 2020","46,150.0","46,800.0","46,850.0","46,050.0","806.01K","-1.39%"
"May 28, 2020","46,800.0","46,900.0","47,000.0","46,550.0","458.95K","-0.21%"
"May 27, 2020","46,900.0","47,000.0","47,650.0","46,900.0","958.69K","0.00%"
"May 26, 2020","46,900.0","47,000.0","47,000.0","46,400.0","626.27K","1.19%"
"May 25, 2020","46,350.0","46,400.0","46,800.0","45,500.0","625.22K","-0.11%"
"May 22, 2020","46,400.0","46,900.0","46,900.0","46,200.0","795.93K","-1.28%"
"May 21, 2020","47,000.0","47,000.0","47,500.0","46,500.0","1.02M","0.32%"
"May 20, 2020","46,850.0","46,100.0","46,850.0","46,100.0","738.99K","0.11%"
"May 19, 2020","46,800.0","47,500.0","47,500.0","46,300.0","1.38M","3.20%"
"May 18, 2020","45,350.0","44,500.0","45,500.0","44,500.0","851.61K","1.91%"
"May 15, 2020","44,500.0","45,900.0","45,950.0","44,500.0","1.24M","-2.41%"
"May 14, 2020","45,600.0","45,600.0","45,800.0","44,850.0","995.73K","-0.11%"
"May 13, 2020","45,650.0","45,550.0","46,500.0","44,600.0","1.76M","0.22%"
"May 12, 2020","45,550.0","44,300.0","46,000.0","43,400.0","1.80M","2.82%"
"May 11, 2020","44,300.0","44,000.0","44,500.0","43,650.0","1.34M","1.14%"
"May 08, 2020","43,800.0","42,200.0","44,950.0","42,200.0","2.38M","4.16%"
"May 07, 2020","42,050.0","42,000.0","42,400.0","41,600.0","1.27M","0.24%"
"May 06, 2020","41,950.0","41,200.0","42,300.0","40,900.0","1.70M","3.84%"
"May 05, 2020","40,400.0","39,500.0","40,650.0","39,500.0","545.09K","0.75%"
