"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2020","60,500.0","64,600.0","65,000.0","60,500.0","2.00M","-6.92%"
"Jun 10, 2020","65,000.0","65,500.0","65,600.0","64,000.0","808.85K","-0.76%"
"Jun 09, 2020","65,500.0","66,600.0","66,700.0","64,800.0","741.24K","-0.91%"
"Jun 08, 2020","66,100.0","64,100.0","66,200.0","64,100.0","2.21M","3.77%"
"Jun 05, 2020","63,700.0","63,600.0","63,700.0","63,400.0","540.20K","0.00%"
"Jun 04, 2020","63,700.0","63,800.0","64,000.0","63,400.0","790.28K","0.47%"
"Jun 03, 2020","63,400.0","63,300.0","63,800.0","63,100.0","454.85K","0.32%"
"Jun 02, 2020","63,200.0","64,000.0","64,000.0","63,200.0","570.23K","-1.10%"
"Jun 01, 2020","63,900.0","63,400.0","64,300.0","63,300.0","704.97K","1.27%"
"May 29, 2020","63,100.0","62,500.0","64,000.0","62,100.0","764.03K","0.64%"
"May 28, 2020","62,700.0","62,500.0","63,100.0","62,200.0","796.35K","-0.48%"
"May 27, 2020","63,000.0","64,500.0","65,000.0","63,000.0","1.27M","-1.87%"
"May 26, 2020","64,200.0","64,400.0","64,800.0","63,900.0","1.05M","0.31%"
"May 25, 2020","64,000.0","63,500.0","64,300.0","63,500.0","709.35K","1.27%"
"May 22, 2020","63,200.0","63,600.0","63,700.0","62,800.0","801.20K","-1.25%"
"May 21, 2020","64,000.0","63,600.0","64,000.0","63,000.0","1.38M","0.00%"
"May 20, 2020","64,000.0","63,600.0","64,400.0","63,400.0","691.47K","-0.47%"
"May 19, 2020","64,300.0","64,300.0","65,300.0","63,500.0","1.05M","1.26%"
"May 18, 2020","63,500.0","61,800.0","64,000.0","61,500.0","785.81K","2.42%"
"May 15, 2020","62,000.0","63,800.0","63,900.0","61,500.0","1.38M","-2.52%"
"May 14, 2020","63,600.0","63,800.0","64,900.0","63,300.0","1.02M","-2.00%"
"May 13, 2020","64,900.0","64,000.0","65,500.0","62,000.0","1.46M","1.72%"
"May 12, 2020","63,800.0","59,700.0","63,800.0","58,700.0","2.36M","6.87%"
"May 11, 2020","59,700.0","58,800.0","59,900.0","58,300.0","1.23M","2.58%"
"May 08, 2020","58,200.0","58,000.0","59,500.0","57,900.0","1.52M","1.22%"
"May 07, 2020","57,500.0","57,000.0","57,600.0","56,800.0","823.31K","1.77%"
"May 06, 2020","56,500.0","56,000.0","56,800.0","56,000.0","932.63K","0.89%"
"May 05, 2020","56,000.0","56,800.0","57,100.0","55,700.0","786.06K","-0.88%"
"May 04, 2020","56,500.0","56,800.0","58,000.0","56,200.0","274.49K","-0.70%"
"Apr 29, 2020","56,900.0","57,200.0","57,400.0","56,700.0","890.67K","-0.52%"
"Apr 28, 2020","57,200.0","58,000.0","58,400.0","57,000.0","716.42K","-1.38%"
"Apr 27, 2020","58,000.0","60,000.0","60,200.0","58,000.0","932.47K","-2.52%"
"Apr 24, 2020","59,500.0","59,600.0","59,700.0","59,100.0","434.14K","0.17%"
"Apr 23, 2020","59,400.0","60,500.0","60,600.0","59,000.0","634.07K","1.02%"
"Apr 22, 2020","58,800.0","56,200.0","58,900.0","56,200.0","873.32K","1.55%"
"Apr 21, 2020","57,900.0","59,500.0","60,200.0","56,900.0","1.31M","-3.82%"
"Apr 20, 2020","60,200.0","61,000.0","61,200.0","59,500.0","1.22M","0.84%"
"Apr 17, 2020","59,700.0","59,800.0","60,500.0","59,400.0","1.19M","1.19%"
"Apr 16, 2020","59,000.0","58,800.0","59,500.0","57,500.0","621.76K","-0.34%"
"Apr 15, 2020","59,200.0","57,800.0","59,400.0","57,800.0","797.85K","2.96%"
"Apr 14, 2020","57,500.0","58,400.0","58,400.0","56,500.0","740.38K","-0.17%"
"Apr 13, 2020","57,600.0","57,600.0","59,400.0","56,700.0","820.65K","0.00%"
"Apr 10, 2020","57,600.0","58,000.0","58,800.0","56,100.0","847.96K","-0.69%"
"Apr 09, 2020","58,000.0","56,200.0","59,900.0","56,200.0","1.08M","3.20%"
"Apr 08, 2020","56,200.0","54,300.0","56,500.0","54,300.0","833.93K","-1.40%"
"Apr 07, 2020","57,000.0","56,000.0","57,300.0","55,000.0","1.21M","2.70%"
"Apr 06, 2020","55,500.0","54,600.0","55,500.0","53,100.0","1.28M","6.94%"
"Apr 03, 2020","51,900.0","49,500.0","52,000.0","49,200.0","873.07K","6.79%"
"Apr 01, 2020","48,600.0","45,100.0","49,100.0","45,100.0","545.62K","5.88%"
"Mar 31, 2020","45,900.0","47,270.1","48,738.2","44,040.5","595.87K","-2.90%"
"Mar 30, 2020","47,270.1","47,270.1","48,933.9","47,270.1","1.03M","-8.92%"
"Mar 27, 2020","51,900.0","54,100.0","54,500.0","51,100.0","936.12K","-3.53%"
"Mar 26, 2020","53,800.0","55,000.0","56,400.0","53,800.0","1.10M","-2.00%"
"Mar 25, 2020","54,900.0","53,900.0","54,900.0","53,000.0","1.19M","6.81%"
"Mar 24, 2020","51,400.0","51,500.0","52,500.0","50,300.0","824.75K","0.39%"
"Mar 23, 2020","51,200.0","53,000.0","53,000.0","51,200.0","931.29K","-6.91%"
"Mar 20, 2020","55,000.0","54,000.0","55,100.0","53,400.0","808.07K","1.10%"
"Mar 19, 2020","54,400.0","56,500.0","56,500.0","54,000.0","467.22K","-5.23%"
"Mar 18, 2020","57,400.0","57,000.0","58,500.0","57,000.0","777.38K","0.70%"
"Mar 17, 2020","57,000.0","53,300.0","57,000.0","53,300.0","1.24M","-0.52%"
"Mar 16, 2020","57,300.0","60,500.0","60,500.0","57,300.0","903.30K","-6.98%"
"Mar 13, 2020","61,600.0","59,400.0","62,700.0","59,400.0","1.55M","-3.45%"
"Mar 12, 2020","63,800.0","63,800.0","64,000.0","63,800.0","516.33K","-7.00%"
"Mar 11, 2020","68,600.0","74,500.0","74,500.0","68,600.0","1.21M","-6.92%"
"Mar 10, 2020","73,700.0","71,000.0","75,300.0","71,000.0","653.47K","-1.86%"
"Mar 09, 2020","75,100.0","75,200.0","78,000.0","75,100.0","1.11M","-6.94%"
"Mar 06, 2020","80,700.0","81,500.0","81,700.0","80,200.0","582.16K","-1.22%"
"Mar 05, 2020","81,700.0","82,600.0","82,700.0","81,700.0","318.45K","-0.61%"
"Mar 04, 2020","82,200.0","81,800.0","82,200.0","81,600.0","263.23K","0.24%"
"Mar 03, 2020","82,000.0","82,600.0","82,600.0","81,600.0","390.16K","0.49%"
"Mar 02, 2020","81,600.0","81,700.0","82,400.0","81,400.0","450.12K","-0.12%"
"Feb 28, 2020","81,700.0","82,000.0","82,500.0","81,600.0","455.89K","-2.16%"
"Feb 27, 2020","83,500.0","83,000.0","83,600.0","82,800.0","355.50K","0.60%"
"Feb 26, 2020","83,000.0","82,000.0","83,800.0","81,800.0","602.24K","0.00%"
"Feb 25, 2020","83,000.0","81,000.0","83,000.0","81,000.0","775.41K","2.22%"
"Feb 24, 2020","81,200.0","82,100.0","82,700.0","81,200.0","1.11M","-3.10%"
"Feb 21, 2020","83,800.0","85,200.0","85,500.0","83,500.0","682.03K","-1.76%"
"Feb 20, 2020","85,300.0","86,400.0","86,400.0","84,700.0","439.93K","-0.23%"
"Feb 19, 2020","85,500.0","83,700.0","85,500.0","83,700.0","692.45K","2.15%"
"Feb 18, 2020","83,700.0","82,600.0","84,300.0","82,400.0","659.89K","1.58%"
"Feb 17, 2020","82,400.0","82,500.0","83,000.0","82,200.0","343.22K","-0.36%"
"Feb 14, 2020","82,700.0","82,500.0","82,800.0","82,200.0","297.19K","0.24%"
"Feb 13, 2020","82,500.0","82,500.0","83,000.0","81,900.0","384.70K","0.00%"
"Feb 12, 2020","82,500.0","82,200.0","83,900.0","81,700.0","622.61K","1.23%"
"Feb 11, 2020","81,500.0","82,000.0","82,200.0","81,500.0","405.25K","0.00%"
"Feb 10, 2020","81,500.0","82,000.0","82,400.0","81,000.0","555.45K","-1.33%"
"Feb 07, 2020","82,600.0","84,000.0","84,000.0","82,300.0","753.34K","-1.55%"
"Feb 06, 2020","83,900.0","82,700.0","84,000.0","82,600.0","586.84K","1.45%"
"Feb 05, 2020","82,700.0","84,300.0","84,900.0","82,600.0","648.86K","-1.55%"
"Feb 04, 2020","84,000.0","83,000.0","84,400.0","82,500.0","812.53K","1.45%"
"Feb 03, 2020","82,800.0","80,000.0","84,000.0","79,600.0","1.43M","-1.78%"
"Jan 31, 2020","84,300.0","87,000.0","88,300.0","84,000.0","2.09M","-3.88%"
"Jan 30, 2020","87,700.0","90,600.0","90,800.0","85,200.0","1.30M","-3.94%"
"Jan 22, 2020","91,300.0","91,000.0","91,900.0","90,400.0","702.79K","0.33%"
"Jan 21, 2020","91,000.0","92,400.0","92,500.0","91,000.0","622.42K","-1.09%"
"Jan 20, 2020","92,000.0","91,000.0","92,400.0","91,000.0","818.96K","1.43%"
"Jan 17, 2020","90,700.0","90,000.0","90,900.0","89,700.0","738.24K","0.89%"
"Jan 16, 2020","89,900.0","90,300.0","90,600.0","89,600.0","629.29K","-0.11%"
"Jan 15, 2020","90,000.0","88,600.0","90,600.0","88,500.0","1.18M","1.24%"
"Jan 14, 2020","88,900.0","88,900.0","89,000.0","88,400.0","435.56K","-0.11%"
"Jan 13, 2020","89,000.0","88,400.0","89,400.0","88,100.0","711.99K","0.56%"
"Jan 10, 2020","88,500.0","86,500.0","88,700.0","86,500.0","1.67M","2.67%"
"Jan 09, 2020","86,200.0","86,100.0","87,100.0","85,600.0","563.34K","1.29%"
"Jan 08, 2020","85,100.0","87,000.0","87,100.0","84,100.0","948.88K","-2.07%"
"Jan 07, 2020","86,900.0","86,000.0","87,000.0","85,000.0","576.31K","1.28%"
"Jan 06, 2020","85,800.0","86,700.0","87,800.0","85,800.0","692.37K","-1.15%"
"Jan 03, 2020","86,800.0","87,900.0","88,200.0","86,100.0","659.87K","-0.69%"
"Jan 02, 2020","87,400.0","86,500.0","87,600.0","86,000.0","651.79K","1.63%"
"Dec 31, 2019","86,000.0","86,300.0","86,900.0","85,600.0","374.05K","-0.58%"
"Dec 30, 2019","86,500.0","87,000.0","87,900.0","86,500.0","741.96K","0.00%"
"Dec 27, 2019","86,500.0","85,600.0","86,500.0","85,000.0","473.75K","1.05%"
"Dec 26, 2019","85,600.0","85,500.0","86,700.0","85,000.0","1.16M","0.12%"
"Dec 25, 2019","85,500.0","84,700.0","85,800.0","84,300.0","722.33K","1.18%"
"Dec 24, 2019","84,500.0","85,000.0","85,000.0","84,100.0","347.58K","-0.24%"
