"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2020","10,500.0","11,250.0","11,400.0","10,500.0","8.03M","-6.67%"
"Jun 10, 2020","11,250.0","11,100.0","11,600.0","10,950.0","8.46M","1.81%"
"Jun 09, 2020","11,050.0","10,700.0","11,200.0","10,650.0","11.29M","3.27%"
"Jun 08, 2020","10,700.0","10,600.0","10,950.0","10,550.0","9.23M","1.42%"
"Jun 05, 2020","10,550.0","10,450.0","10,600.0","10,450.0","3.63M","-0.47%"
"Jun 04, 2020","10,600.0","10,600.0","10,700.0","10,550.0","4.42M","0.00%"
"Jun 03, 2020","10,600.0","10,500.0","10,600.0","10,500.0","1.85M","0.95%"
"Jun 02, 2020","10,500.0","10,450.0","10,800.0","10,400.0","8.40M","0.48%"
"Jun 01, 2020","10,450.0","10,300.0","10,500.0","10,200.0","5.90M","1.95%"
"May 29, 2020","10,250.0","10,400.0","10,400.0","10,250.0","3.27M","-1.44%"
"May 28, 2020","10,400.0","10,350.0","10,500.0","10,250.0","4.37M","0.97%"
"May 27, 2020","10,300.0","10,800.0","10,850.0","10,300.0","6.55M","-2.83%"
"May 26, 2020","10,600.0","10,300.0","10,700.0","10,250.0","9.49M","3.92%"
"May 25, 2020","10,200.0","10,100.0","10,400.0","10,000.0","6.13M","0.99%"
"May 22, 2020","10,100.0","10,150.0","10,200.0","10,100.0","3.43M","-0.98%"
"May 21, 2020","10,200.0","10,250.0","10,300.0","10,100.0","3.42M","0.00%"
"May 20, 2020","10,200.0","10,200.0","10,250.0","10,100.0","2.83M","0.00%"
"May 19, 2020","10,200.0","10,300.0","10,300.0","10,150.0","5.69M","0.99%"
"May 18, 2020","10,100.0","10,050.0","10,150.0","9,960.0","4.18M","1.00%"
"May 15, 2020","10,000.0","10,150.0","10,350.0","9,980.0","6.77M","-1.48%"
"May 14, 2020","10,150.0","10,250.0","10,300.0","10,150.0","4.74M","-1.46%"
"May 13, 2020","10,300.0","10,400.0","10,550.0","10,150.0","5.44M","-0.96%"
"May 12, 2020","10,400.0","10,150.0","10,700.0","10,000.0","9.62M","2.46%"
"May 11, 2020","10,150.0","10,100.0","10,200.0","9,970.0","6.89M","0.50%"
"May 08, 2020","10,100.0","10,200.0","10,400.0","10,000.0","9.45M","-0.98%"
"May 07, 2020","10,200.0","9,960.0","10,200.0","9,950.0","5.57M","2.51%"
"May 06, 2020","9,950.0","9,560.0","9,950.0","9,560.0","3.99M","3.00%"
