"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2020","30,500.0","31,950.0","32,000.0","30,500.0","1.44M","-4.54%"
"Jun 10, 2020","31,950.0","31,950.0","31,950.0","31,650.0","480.40K","0.00%"
"Jun 09, 2020","31,950.0","32,500.0","32,500.0","31,900.0","585.77K","-0.62%"
"Jun 08, 2020","32,150.0","32,200.0","32,600.0","32,000.0","1.39M","0.47%"
"Jun 05, 2020","32,000.0","32,000.0","32,000.0","31,850.0","578.07K","0.00%"
"Jun 04, 2020","32,000.0","31,700.0","32,100.0","31,700.0","1.06M","0.95%"
"Jun 03, 2020","31,700.0","31,650.0","31,800.0","31,600.0","517.36K","0.16%"
"Jun 02, 2020","31,650.0","31,800.0","32,000.0","31,550.0","432.35K","-0.16%"
"Jun 01, 2020","31,700.0","31,300.0","31,800.0","31,300.0","454.60K","1.44%"
"May 29, 2020","31,250.0","31,450.0","31,450.0","31,150.0","477.83K","-0.64%"
"May 28, 2020","31,450.0","31,800.0","31,850.0","31,400.0","486.44K","-0.32%"
"May 27, 2020","31,550.0","32,500.0","32,600.0","31,550.0","959.99K","-2.92%"
"May 26, 2020","32,500.0","31,200.0","32,500.0","31,200.0","1.49M","4.17%"
"May 25, 2020","31,200.0","31,200.0","31,300.0","30,950.0","415.19K","0.00%"
"May 22, 2020","31,200.0","31,600.0","31,600.0","31,200.0","408.66K","-1.89%"
"May 21, 2020","31,800.0","31,400.0","31,800.0","31,200.0","515.86K","1.27%"
"May 20, 2020","31,400.0","31,450.0","31,500.0","31,250.0","380.66K","-0.16%"
"May 19, 2020","31,450.0","31,500.0","31,750.0","31,300.0","1.13M","0.32%"
"May 18, 2020","31,350.0","31,050.0","31,350.0","30,850.0","495.25K","-0.16%"
"May 15, 2020","31,400.0","31,950.0","31,950.0","30,900.0","678.80K","-1.72%"
"May 14, 2020","31,950.0","31,600.0","32,100.0","31,600.0","460.71K","-0.16%"
"May 13, 2020","32,000.0","31,300.0","32,000.0","30,900.0","1.00M","2.24%"
"May 12, 2020","31,300.0","30,700.0","31,450.0","30,450.0","924.90K","1.95%"
"May 11, 2020","30,700.0","30,900.0","30,950.0","30,500.0","349.49K","0.33%"
"May 08, 2020","30,600.0","30,850.0","31,400.0","30,450.0","853.13K","0.00%"
"May 07, 2020","30,600.0","30,500.0","30,700.0","30,300.0","370.94K","0.66%"
"May 06, 2020","30,400.0","30,000.0","30,400.0","30,000.0","190.64K","1.33%"
"May 05, 2020","30,000.0","29,600.0","30,000.0","29,600.0","226.73K","1.35%"
"May 04, 2020","29,600.0","29,550.0","30,000.0","29,550.0","643.73K","-1.33%"
"Apr 29, 2020","30,000.0","30,350.0","30,450.0","30,000.0","547.65K","-1.15%"
"Apr 28, 2020","30,350.0","30,500.0","30,500.0","29,950.0","357.44K","-0.49%"
"Apr 27, 2020","30,500.0","30,850.0","31,100.0","30,300.0","446.05K","-0.33%"
"Apr 24, 2020","30,600.0","29,400.0","30,650.0","29,400.0","914.12K","3.73%"
"Apr 23, 2020","29,500.0","30,000.0","30,000.0","29,500.0","811.49K","0.17%"
"Apr 22, 2020","29,450.0","29,000.0","29,950.0","28,900.0","752.29K","0.51%"
"Apr 21, 2020","29,300.0","30,600.0","30,800.0","29,300.0","1.20M","-5.02%"
"Apr 20, 2020","30,850.0","31,000.0","31,300.0","30,650.0","384.66K","-0.48%"
"Apr 17, 2020","31,000.0","30,800.0","31,400.0","30,800.0","617.04K","0.65%"
"Apr 16, 2020","30,800.0","30,750.0","31,000.0","30,650.0","406.41K","-0.65%"
"Apr 15, 2020","31,000.0","30,500.0","31,350.0","30,450.0","1.22M","1.81%"
"Apr 14, 2020","30,450.0","30,400.0","30,600.0","29,900.0","589.07K","0.16%"
"Apr 13, 2020","30,400.0","30,350.0","30,900.0","29,900.0","586.15K","0.16%"
"Apr 10, 2020","30,350.0","29,850.0","31,100.0","29,800.0","1.02M","1.68%"
"Apr 09, 2020","29,850.0","29,850.0","30,400.0","29,750.0","651.20K","0.17%"
"Apr 08, 2020","29,800.0","29,150.0","29,950.0","29,100.0","326.71K","-0.67%"
"Apr 07, 2020","30,000.0","30,450.0","30,450.0","29,100.0","467.97K","-0.66%"
"Apr 06, 2020","30,200.0","29,300.0","30,250.0","29,100.0","572.64K","4.68%"
"Apr 03, 2020","28,850.0","28,650.0","29,100.0","28,550.0","397.31K","1.94%"
