"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2020","3,230.0","3,450.0","3,450.0","3,230.0","43.04M","-6.92%"
"Jun 10, 2020","3,470.0","3,520.0","3,690.0","3,440.0","60.20M","-5.96%"
"Jun 09, 2020","3,690.0","3,880.0","3,920.0","3,510.0","58.45M","0.00%"
"Jun 08, 2020","3,690.0","3,690.0","3,690.0","3,620.0","44.37M","6.96%"
"Jun 05, 2020","3,450.0","3,450.0","3,450.0","3,400.0","68.09M","6.81%"
"Jun 04, 2020","3,230.0","3,000.0","3,230.0","2,870.0","44.68M","6.95%"
"Jun 03, 2020","3,020.0","3,220.0","3,230.0","3,000.0","23.32M","-5.63%"
"Jun 02, 2020","3,200.0","3,420.0","3,440.0","3,170.0","46.64M","-5.88%"
"Jun 01, 2020","3,400.0","3,470.0","3,640.0","3,260.0","82.21M","-2.86%"
"May 29, 2020","3,500.0","3,420.0","3,520.0","3,400.0","10.23M","2.64%"
"May 28, 2020","3,410.0","3,400.0","3,480.0","3,390.0","6.00M","0.29%"
"May 27, 2020","3,400.0","3,420.0","3,450.0","3,400.0","5.64M","-0.29%"
"May 26, 2020","3,410.0","3,410.0","3,490.0","3,390.0","12.53M","-0.87%"
"May 25, 2020","3,440.0","3,450.0","3,520.0","3,400.0","6.46M","-1.43%"
"May 22, 2020","3,490.0","3,550.0","3,600.0","3,470.0","4.09M","-3.59%"
"May 21, 2020","3,620.0","3,800.0","3,870.0","3,370.0","46.41M","0.00%"
"May 20, 2020","3,620.0","3,390.0","3,620.0","3,380.0","13.94M","6.78%"
"May 19, 2020","3,390.0","3,420.0","3,440.0","3,390.0","5.78M","-0.59%"
"May 18, 2020","3,410.0","3,430.0","3,440.0","3,390.0","4.69M","-0.58%"
"May 15, 2020","3,430.0","3,470.0","3,540.0","3,420.0","4.50M","-0.58%"
"May 14, 2020","3,450.0","3,370.0","3,490.0","3,360.0","5.88M","2.37%"
"May 13, 2020","3,370.0","3,420.0","3,430.0","3,370.0","11.71M","-2.32%"
"May 12, 2020","3,450.0","3,490.0","3,510.0","3,420.0","8.39M","-1.15%"
"May 11, 2020","3,490.0","3,530.0","3,630.0","3,400.0","13.84M","-1.41%"
"May 08, 2020","3,540.0","3,570.0","3,610.0","3,540.0","8.06M","-0.84%"
"May 07, 2020","3,570.0","3,620.0","3,630.0","3,560.0","3.59M","-1.11%"
"May 06, 2020","3,610.0","3,650.0","3,670.0","3,500.0","12.20M","0.56%"
"May 05, 2020","3,590.0","3,510.0","3,630.0","3,510.0","4.12M","1.99%"
"May 04, 2020","3,520.0","3,550.0","3,640.0","3,510.0","11.27M","-6.38%"
"Apr 29, 2020","3,760.0","3,710.0","3,810.0","3,710.0","6.59M","0.27%"
"Apr 28, 2020","3,750.0","3,870.0","3,880.0","3,750.0","6.10M","-3.35%"
"Apr 27, 2020","3,880.0","3,810.0","3,960.0","3,750.0","14.54M","4.58%"
"Apr 24, 2020","3,710.0","3,640.0","3,740.0","3,520.0","13.51M","1.92%"
"Apr 23, 2020","3,640.0","3,640.0","3,750.0","3,590.0","7.07M","1.96%"
"Apr 22, 2020","3,570.0","3,400.0","3,690.0","3,360.0","9.51M","-0.56%"
"Apr 21, 2020","3,590.0","3,760.0","3,800.0","3,590.0","24.42M","-6.99%"
"Apr 20, 2020","3,860.0","4,000.0","4,000.0","3,840.0","16.42M","-1.53%"
"Apr 17, 2020","3,920.0","3,910.0","4,040.0","3,900.0","16.24M","-2.00%"
"Apr 16, 2020","4,000.0","4,000.0","4,180.0","3,920.0","14.42M","0.00%"
"Apr 15, 2020","4,000.0","3,710.0","4,080.0","3,710.0","16.35M","4.17%"
"Apr 14, 2020","3,840.0","3,950.0","4,010.0","3,840.0","17.93M","-5.88%"
"Apr 13, 2020","4,080.0","4,100.0","4,240.0","3,890.0","13.46M","-0.49%"
"Apr 10, 2020","4,100.0","4,560.0","4,570.0","3,990.0","82.34M","-4.21%"
"Apr 09, 2020","4,280.0","4,280.0","4,280.0","4,250.0","28.79M","7.00%"
"Apr 08, 2020","4,000.0","3,900.0","4,000.0","3,750.0","12.87M","6.95%"
"Apr 07, 2020","3,740.0","4,000.0","4,000.0","3,720.0","21.62M","-6.03%"
"Apr 06, 2020","3,980.0","3,970.0","3,980.0","3,720.0","36.00M","6.99%"
"Apr 03, 2020","3,720.0","3,720.0","3,720.0","3,700.0","18.79M","6.90%"
"Apr 01, 2020","3,480.0","3,040.0","3,480.0","3,040.0","19.42M","6.75%"
"Mar 31, 2020","3,260.0","3,350.0","3,520.0","3,260.0","7.99M","-6.86%"
"Mar 30, 2020","3,500.0","3,530.0","3,580.0","3,500.0","4.63M","-6.91%"
