"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2020","177,000.0","178,000.0","180,500.0","177,000.0","61.23K","-0.56%"
"Jun 10, 2020","178,000.0","178,700.0","180,000.0","177,500.0","44.99K","-0.39%"
"Jun 09, 2020","178,700.0","182,700.0","182,700.0","178,000.0","54.36K","-1.81%"
"Jun 08, 2020","182,000.0","179,000.0","183,500.0","179,000.0","98.91K","1.68%"
"Jun 05, 2020","179,000.0","179,000.0","181,900.0","179,000.0","26.27K","0.00%"
"Jun 04, 2020","179,000.0","181,800.0","183,000.0","179,000.0","51.66K","-0.56%"
"Jun 03, 2020","180,000.0","183,500.0","185,000.0","180,000.0","54.70K","-1.64%"
"Jun 02, 2020","183,000.0","177,700.0","189,000.0","177,700.0","144.46K","2.98%"
"Jun 01, 2020","177,700.0","176,400.0","182,000.0","175,300.0","86.81K","0.74%"
"May 29, 2020","176,400.0","174,800.0","177,000.0","174,000.0","61.38K","0.68%"
"May 28, 2020","175,200.0","176,500.0","177,200.0","173,000.0","73.99K","0.00%"
"May 27, 2020","175,200.0","175,600.0","176,000.0","175,000.0","72.14K","-0.06%"
"May 26, 2020","175,300.0","175,100.0","179,000.0","174,500.0","97.86K","0.17%"
"May 25, 2020","175,000.0","174,000.0","176,100.0","173,000.0","59.22K","0.57%"
"May 22, 2020","174,000.0","176,000.0","176,000.0","173,000.0","45.22K","-1.14%"
"May 21, 2020","176,000.0","178,000.0","178,000.0","173,000.0","128.71K","2.03%"
"May 20, 2020","172,500.0","175,000.0","175,000.0","172,500.0","60.74K","0.29%"
"May 19, 2020","172,000.0","175,000.0","177,000.0","172,000.0","181.10K","-0.58%"
"May 18, 2020","173,000.0","174,000.0","174,000.0","172,300.0","111.48K","0.46%"
"May 15, 2020","172,200.0","172,200.0","175,000.0","172,200.0","58.62K","0.00%"
"May 14, 2020","172,200.0","172,000.0","173,000.0","171,000.0","45.79K","0.12%"
"May 13, 2020","172,000.0","168,000.0","174,000.0","166,000.0","115.74K","-0.86%"
"May 12, 2020","173,500.0","173,300.0","175,100.0","173,000.0","59.11K","0.23%"
"May 11, 2020","173,100.0","172,000.0","176,000.0","169,000.0","111.67K","0.64%"
"May 08, 2020","172,000.0","170,000.0","180,000.0","170,000.0","245.53K","1.78%"
"May 07, 2020","169,000.0","161,900.0","169,000.0","160,000.0","63.68K","6.96%"
"May 06, 2020","158,000.0","161,800.0","161,800.0","152,000.0","86.53K","4.15%"
"May 05, 2020","151,700.0","155,000.0","155,000.0","150,900.0","117.62K","-2.13%"
"May 04, 2020","155,000.0","163,000.0","163,500.0","155,000.0","198.03K","-4.91%"
"Apr 29, 2020","163,000.0","170,000.0","175,000.0","163,000.0","146.24K","-4.12%"
"Apr 28, 2020","170,000.0","176,000.0","179,900.0","170,000.0","73.21K","-5.56%"
"Apr 27, 2020","180,000.0","180,000.0","180,000.0","175,000.0","81.05K","0.00%"
"Apr 24, 2020","180,000.0","180,600.0","185,000.0","175,200.0","77.88K","-0.33%"
"Apr 23, 2020","180,600.0","186,900.0","186,900.0","178,700.0","119.24K","3.20%"
"Apr 22, 2020","175,000.0","165,000.0","175,000.0","159,800.0","103.89K","2.94%"
"Apr 21, 2020","170,000.0","176,900.0","189,200.0","170,000.0","204.65K","-3.90%"
"Apr 20, 2020","176,900.0","172,000.0","176,900.0","168,100.0","108.76K","6.95%"
"Apr 17, 2020","165,400.0","167,500.0","168,000.0","165,000.0","128.30K","4.95%"
"Apr 16, 2020","157,600.0","153,000.0","163,200.0","153,000.0","158.28K","3.01%"
"Apr 15, 2020","153,000.0","143,500.0","153,400.0","143,500.0","210.03K","6.69%"
"Apr 14, 2020","143,400.0","145,800.0","145,800.0","141,300.0","54.34K","1.70%"
"Apr 13, 2020","141,000.0","143,000.0","145,500.0","141,000.0","40.03K","0.00%"
"Apr 10, 2020","141,000.0","144,200.0","146,900.0","140,000.0","33.31K","0.71%"
"Apr 09, 2020","140,000.0","140,000.0","147,600.0","140,000.0","236.31K","1.45%"
"Apr 08, 2020","138,000.0","138,000.0","142,500.0","136,000.0","86.70K","0.73%"
"Apr 07, 2020","137,000.0","138,000.0","139,000.0","132,000.0","67.53K","3.79%"
"Apr 06, 2020","132,000.0","129,000.0","133,500.0","127,000.0","85.70K","5.60%"
"Apr 03, 2020","125,000.0","129,500.0","129,900.0","125,000.0","67.80K","1.54%"
"Apr 01, 2020","123,100.0","122,200.0","127,900.0","120,600.0","33.75K","0.08%"
"Mar 31, 2020","123,000.0","121,100.0","128,900.0","121,100.0","19.22K","1.57%"
"Mar 30, 2020","121,100.0","129,600.0","130,000.0","120,600.0","24.21K","-6.56%"
"Mar 27, 2020","129,600.0","125,000.0","132,300.0","125,000.0","145.57K","3.68%"
"Mar 26, 2020","125,000.0","121,500.0","126,600.0","120,000.0","188.08K","4.17%"
"Mar 25, 2020","120,000.0","116,000.0","123,000.0","115,900.0","137.91K","3.90%"
"Mar 24, 2020","115,500.0","112,000.0","119,800.0","111,500.0","24.52K","-1.45%"
"Mar 23, 2020","117,200.0","121,000.0","125,500.0","117,200.0","38.23K","-6.98%"
"Mar 20, 2020","126,000.0","127,000.0","131,000.0","120,100.0","51.94K","-0.79%"
"Mar 19, 2020","127,000.0","130,500.0","138,000.0","127,000.0","40.74K","-6.62%"
"Mar 18, 2020","136,000.0","141,100.0","145,900.0","136,000.0","49.23K","-3.61%"
"Mar 17, 2020","141,100.0","141,000.0","150,000.0","141,000.0","25.32K","-5.93%"
"Mar 16, 2020","150,000.0","142,000.0","150,000.0","139,000.0","46.80K","4.17%"
"Mar 13, 2020","144,000.0","138,000.0","153,000.0","138,000.0","54.56K","-0.41%"
"Mar 12, 2020","144,600.0","149,300.0","159,900.0","142,100.0","38.40K","-4.87%"
"Mar 11, 2020","152,000.0","155,400.0","160,000.0","152,000.0","73.12K","-2.12%"
"Mar 10, 2020","155,300.0","155,300.0","159,900.0","151,000.0","39.62K","0.00%"
"Mar 09, 2020","155,300.0","153,000.0","159,000.0","151,300.0","107.57K","-4.49%"
"Mar 06, 2020","162,600.0","169,000.0","169,000.0","162,000.0","38.17K","-3.79%"
"Mar 05, 2020","169,000.0","169,000.0","170,000.0","169,000.0","65.38K","0.00%"
"Mar 04, 2020","169,000.0","170,000.0","170,400.0","168,000.0","30.31K","-0.59%"
"Mar 03, 2020","170,000.0","172,500.0","172,500.0","169,000.0","129.27K","0.00%"
"Mar 02, 2020","170,000.0","162,000.0","173,000.0","162,000.0","179.49K","4.94%"
"Feb 28, 2020","162,000.0","172,300.0","172,300.0","162,000.0","76.91K","-6.47%"
"Feb 27, 2020","173,200.0","177,000.0","177,200.0","173,200.0","46.30K","-2.15%"
"Feb 26, 2020","177,000.0","179,400.0","179,400.0","176,200.0","79.88K","-0.56%"
"Feb 25, 2020","178,000.0","180,000.0","180,000.0","176,400.0","16.23K","0.00%"
"Feb 24, 2020","178,000.0","180,200.0","180,200.0","177,100.0","43.78K","-1.44%"
"Feb 21, 2020","180,600.0","180,000.0","181,600.0","180,000.0","45.38K","0.33%"
"Feb 20, 2020","180,000.0","180,000.0","180,500.0","178,900.0","280.19K","1.12%"
"Feb 19, 2020","178,000.0","177,000.0","180,000.0","175,000.0","105.56K","0.00%"
"Feb 18, 2020","178,000.0","182,500.0","183,000.0","178,000.0","86.32K","-4.30%"
"Feb 17, 2020","186,000.0","189,800.0","190,000.0","186,000.0","31.46K","-2.00%"
"Feb 14, 2020","189,800.0","192,900.0","193,000.0","189,100.0","38.65K","-0.63%"
"Feb 13, 2020","191,000.0","191,800.0","191,800.0","188,000.0","76.77K","1.87%"
"Feb 12, 2020","187,500.0","192,310.0","192,310.0","187,500.0","57.41K","-1.55%"
"Feb 11, 2020","190,445.0","191,427.0","191,427.0","190,445.0","26.30K","-0.51%"
"Feb 10, 2020","191,427.0","195,353.0","195,353.0","191,427.0","69.57K","0.00%"
"Feb 07, 2020","191,427.0","188,482.0","195,353.0","187,500.0","47.95K","2.63%"
"Feb 06, 2020","186,518.0","190,445.0","195,353.0","185,831.0","165.08K","-2.06%"
"Feb 05, 2020","190,445.0","199,280.0","199,280.0","190,445.0","43.87K","-4.43%"
"Feb 04, 2020","199,280.0","205,072.0","205,072.0","196,335.0","167.14K","-2.82%"
"Feb 03, 2020","205,072.0","193,586.0","208,115.0","193,586.0","16.88K","-3.27%"
"Jan 31, 2020","212,000.0","212,000.0","225,600.0","204,000.0","24.73K","-2.75%"
"Jan 30, 2020","218,000.0","231,400.0","231,400.0","218,000.0","38.14K","-6.24%"
"Jan 22, 2020","232,500.0","233,000.0","236,000.0","231,100.0","11.51K","-0.21%"
"Jan 21, 2020","233,000.0","236,000.0","236,000.0","233,000.0","52.16K","-1.27%"
