"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2020","16,200.0","16,200.0","16,400.0","15,300.0","3.12M","0.00%"
"Jun 10, 2020","16,200.0","16,100.0","16,600.0","15,750.0","2.62M","0.31%"
"Jun 09, 2020","16,150.0","16,700.0","16,700.0","16,100.0","2.20M","0.31%"
"Jun 08, 2020","16,100.0","15,200.0","16,100.0","15,200.0","3.89M","6.98%"
"Jun 05, 2020","15,050.0","15,100.0","15,100.0","14,900.0","2.15M","0.00%"
"Jun 04, 2020","15,050.0","15,000.0","15,200.0","14,950.0","2.39M","0.67%"
"Jun 03, 2020","14,950.0","14,950.0","15,000.0","14,800.0","2.18M","0.00%"
"Jun 02, 2020","14,950.0","15,100.0","15,100.0","14,800.0","2.28M","-0.33%"
"Jun 01, 2020","15,000.0","14,900.0","15,000.0","14,700.0","2.28M","0.67%"
"May 29, 2020","14,900.0","14,850.0","14,900.0","14,700.0","2.15M","0.00%"
"May 28, 2020","14,900.0","14,950.0","15,000.0","14,800.0","2.27M","-0.33%"
"May 27, 2020","14,950.0","15,300.0","15,300.0","14,800.0","2.48M","-0.33%"
"May 26, 2020","15,000.0","14,800.0","15,350.0","14,800.0","3.19M","1.35%"
"May 25, 2020","14,800.0","14,800.0","14,900.0","14,800.0","2.15M","-0.67%"
"May 22, 2020","14,900.0","14,900.0","15,200.0","14,750.0","2.29M","-1.32%"
"May 21, 2020","15,100.0","15,100.0","15,150.0","14,850.0","2.39M","1.00%"
"May 20, 2020","14,950.0","15,000.0","15,000.0","14,850.0","2.80M","-0.33%"
"May 19, 2020","15,000.0","14,850.0","15,150.0","14,700.0","2.17M","2.04%"
"May 18, 2020","14,700.0","14,800.0","14,850.0","14,600.0","2.17M","-0.68%"
"May 15, 2020","14,800.0","14,750.0","14,950.0","14,700.0","2.15M","0.34%"
"May 14, 2020","14,750.0","14,950.0","14,950.0","14,700.0","2.28M","-1.34%"
"May 13, 2020","14,950.0","14,500.0","15,200.0","14,300.0","2.71M","3.10%"
"May 12, 2020","14,500.0","14,700.0","14,750.0","14,450.0","2.25M","-2.03%"
"May 11, 2020","14,800.0","15,000.0","15,000.0","14,600.0","2.14M","0.34%"
"May 08, 2020","14,750.0","14,250.0","15,050.0","14,250.0","3.44M","3.51%"
"May 07, 2020","14,250.0","14,200.0","14,350.0","14,000.0","2.17M","0.00%"
"May 06, 2020","14,250.0","14,200.0","14,300.0","14,000.0","2.16M","0.71%"
"May 05, 2020","14,150.0","14,200.0","14,300.0","14,100.0","2.26M","0.00%"
"May 04, 2020","14,150.0","14,000.0","14,600.0","13,800.0","2.04M","2.91%"
"Apr 29, 2020","13,750.0","13,700.0","14,000.0","13,600.0","2.19M","0.73%"
"Apr 28, 2020","13,650.0","13,700.0","14,050.0","13,500.0","2.47M","-0.36%"
"Apr 27, 2020","13,700.0","14,100.0","14,100.0","13,700.0","2.25M","-2.49%"
"Apr 24, 2020","14,050.0","13,900.0","14,300.0","13,800.0","2.18M","0.00%"
"Apr 23, 2020","14,050.0","14,150.0","14,400.0","14,000.0","3.48M","-0.71%"
"Apr 22, 2020","14,150.0","13,500.0","14,250.0","13,500.0","3.45M","-0.70%"
"Apr 21, 2020","14,250.0","15,000.0","15,100.0","14,250.0","4.01M","-6.86%"
"Apr 20, 2020","15,300.0","14,900.0","15,300.0","14,650.0","2.44M","3.03%"
"Apr 17, 2020","14,850.0","14,400.0","14,900.0","13,250.0","5.50M","4.58%"
"Apr 16, 2020","14,200.0","14,050.0","14,200.0","13,800.0","2.18M","0.35%"
"Apr 15, 2020","14,150.0","14,200.0","14,500.0","14,050.0","1.56M","0.00%"
"Apr 14, 2020","14,150.0","14,000.0","14,300.0","13,600.0","1.50M","1.07%"
"Apr 13, 2020","14,000.0","13,500.0","14,350.0","13,500.0","1.59M","3.70%"
"Apr 10, 2020","13,500.0","13,650.0","13,800.0","13,400.0","1.44M","0.00%"
"Apr 09, 2020","13,500.0","13,150.0","14,150.0","13,150.0","1.48M","0.00%"
"Apr 08, 2020","13,500.0","13,450.0","13,500.0","12,800.0","1.40M","0.37%"
