"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2020","14,900.0","16,000.0","16,200.0","14,900.0","9.35M","-6.88%"
"Jun 10, 2020","16,000.0","15,750.0","16,100.0","15,400.0","6.54M","0.95%"
"Jun 09, 2020","15,850.0","16,300.0","16,300.0","15,800.0","6.44M","-1.25%"
"Jun 08, 2020","16,050.0","16,200.0","16,200.0","15,900.0","5.99M","2.23%"
"Jun 05, 2020","15,700.0","15,700.0","15,800.0","15,500.0","5.73M","0.00%"
"Jun 04, 2020","15,700.0","15,450.0","15,950.0","15,450.0","9.36M","3.29%"
"Jun 03, 2020","15,200.0","15,100.0","15,200.0","15,000.0","3.25M","1.00%"
"Jun 02, 2020","15,050.0","15,300.0","15,350.0","15,000.0","6.11M","-0.99%"
"Jun 01, 2020","15,200.0","14,900.0","15,300.0","14,850.0","4.46M","2.70%"
"May 29, 2020","14,800.0","14,800.0","14,900.0","14,650.0","3.57M","-0.34%"
"May 28, 2020","14,850.0","14,900.0","15,100.0","14,800.0","4.88M","-0.34%"
"May 27, 2020","14,900.0","15,500.0","15,550.0","14,900.0","7.94M","-2.93%"
"May 26, 2020","15,350.0","14,700.0","15,400.0","14,650.0","8.12M","5.50%"
"May 25, 2020","14,550.0","14,400.0","14,600.0","14,300.0","6.02M","1.75%"
"May 22, 2020","14,300.0","14,200.0","14,700.0","14,100.0","7.46M","-0.35%"
"May 21, 2020","14,350.0","14,450.0","14,500.0","14,200.0","3.31M","0.35%"
"May 20, 2020","14,300.0","14,250.0","14,400.0","14,200.0","2.58M","0.00%"
"May 19, 2020","14,300.0","14,500.0","14,600.0","14,200.0","6.87M","1.06%"
"May 18, 2020","14,150.0","13,950.0","14,200.0","13,850.0","2.31M","1.43%"
"May 15, 2020","13,950.0","14,350.0","14,450.0","13,900.0","3.73M","-2.11%"
"May 14, 2020","14,250.0","13,850.0","14,650.0","13,850.0","5.86M","1.42%"
"May 13, 2020","14,050.0","14,000.0","14,300.0","13,700.0","5.49M","-1.06%"
"May 12, 2020","14,200.0","14,000.0","14,350.0","13,800.0","3.96M","0.35%"
"May 11, 2020","14,150.0","13,700.0","14,150.0","13,650.0","6.21M","4.81%"
"May 08, 2020","13,500.0","13,200.0","13,800.0","13,200.0","7.92M","2.27%"
"May 07, 2020","13,200.0","12,950.0","13,200.0","12,900.0","2.33M","1.93%"
"May 06, 2020","12,950.0","12,750.0","13,000.0","12,700.0","1.68M","2.37%"
"May 05, 2020","12,650.0","12,700.0","12,900.0","12,600.0","1.67M","-0.39%"
"May 04, 2020","12,700.0","12,900.0","13,000.0","12,700.0","2.18M","-2.31%"
"Apr 29, 2020","13,000.0","13,000.0","13,100.0","12,900.0","1.45M","0.39%"
"Apr 28, 2020","12,950.0","13,100.0","13,100.0","12,800.0","2.59M","-1.15%"
"Apr 27, 2020","13,100.0","13,350.0","13,350.0","13,050.0","2.11M","-1.13%"
"Apr 24, 2020","13,250.0","13,250.0","13,350.0","13,050.0","1.51M","-0.38%"
"Apr 23, 2020","13,300.0","13,500.0","13,800.0","13,300.0","2.59M","0.00%"
"Apr 22, 2020","13,300.0","12,500.0","13,450.0","12,500.0","3.44M","3.50%"
"Apr 21, 2020","12,850.0","13,300.0","13,450.0","12,750.0","4.44M","-6.20%"
"Apr 20, 2020","13,700.0","13,650.0","13,800.0","13,450.0","3.33M","0.74%"
"Apr 17, 2020","13,600.0","13,500.0","13,800.0","13,450.0","3.94M","1.87%"
"Apr 16, 2020","13,350.0","13,200.0","13,550.0","13,100.0","2.60M","0.00%"
"Apr 15, 2020","13,350.0","13,300.0","13,450.0","13,200.0","3.08M","1.14%"
"Apr 14, 2020","13,200.0","13,050.0","13,200.0","12,750.0","3.90M","0.38%"
"Apr 13, 2020","13,150.0","13,150.0","13,400.0","13,000.0","3.57M","-1.13%"
"Apr 10, 2020","13,300.0","13,300.0","13,600.0","13,000.0","3.23M","0.76%"
"Apr 09, 2020","13,200.0","13,000.0","13,200.0","12,950.0","5.51M","6.70%"
"Apr 08, 2020","12,370.7","11,982.8","12,500.0","11,724.0","4.75M","1.41%"
