"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2020","11,050.0","12,200.0","12,300.0","11,000.0","38.09M","-3.91%"
"Jun 10, 2020","11,500.0","10,750.0","11,500.0","10,600.0","30.78M","6.98%"
"Jun 09, 2020","10,750.0","10,750.0","10,900.0","10,650.0","14.17M","0.47%"
"Jun 08, 2020","10,700.0","10,700.0","10,850.0","10,650.0","17.09M","1.42%"
"Jun 05, 2020","10,550.0","10,700.0","10,750.0","10,450.0","16.80M","-0.47%"
"Jun 04, 2020","10,600.0","10,750.0","10,900.0","10,600.0","13.97M","-0.47%"
"Jun 03, 2020","10,650.0","10,600.0","10,700.0","10,500.0","8.71M","1.43%"
"Jun 02, 2020","10,500.0","10,850.0","10,900.0","10,500.0","13.90M","-2.33%"
"Jun 01, 2020","10,750.0","10,400.0","10,750.0","10,350.0","18.02M","4.37%"
"May 29, 2020","10,300.0","10,200.0","10,450.0","10,200.0","6.86M","0.00%"
"May 28, 2020","10,300.0","10,100.0","10,600.0","10,050.0","16.77M","1.98%"
"May 27, 2020","10,100.0","10,450.0","10,550.0","10,000.0","15.37M","-2.88%"
"May 26, 2020","10,400.0","10,300.0","10,450.0","10,300.0","9.40M","1.46%"
"May 25, 2020","10,250.0","10,250.0","10,400.0","10,100.0","9.45M","0.49%"
"May 22, 2020","10,200.0","10,300.0","10,600.0","10,200.0","14.87M","-2.86%"
"May 21, 2020","10,500.0","10,500.0","10,550.0","10,250.0","10.20M","0.96%"
"May 20, 2020","10,400.0","9,900.0","10,550.0","9,860.0","24.36M","5.05%"
"May 19, 2020","9,900.0","9,920.0","10,150.0","9,860.0","15.44M","1.75%"
"May 18, 2020","9,730.0","9,780.0","9,850.0","9,680.0","9.97M","-0.71%"
"May 15, 2020","9,800.0","10,200.0","10,200.0","9,800.0","9.21M","-2.49%"
"May 14, 2020","10,050.0","9,880.0","10,300.0","9,790.0","12.58M","0.90%"
"May 13, 2020","9,960.0","9,700.0","10,150.0","9,550.0","19.00M","2.68%"
"May 12, 2020","9,700.0","9,690.0","9,750.0","9,460.0","11.31M","0.10%"
"May 11, 2020","9,690.0","9,670.0","9,750.0","9,540.0","10.60M","1.79%"
"May 08, 2020","9,520.0","9,400.0","9,770.0","9,400.0","15.59M","1.93%"
"May 07, 2020","9,340.0","9,180.0","9,380.0","9,170.0","12.18M","2.19%"
"May 06, 2020","9,140.0","9,000.0","9,140.0","8,930.0","8.42M","1.90%"
"May 05, 2020","8,970.0","8,980.0","9,090.0","8,930.0","4.80M","-0.11%"
"May 04, 2020","8,980.0","9,100.0","9,100.0","8,980.0","4.40M","-1.32%"
"Apr 29, 2020","9,100.0","9,000.0","9,250.0","9,000.0","3.84M","1.34%"
