"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2020","20,900.0","21,900.0","21,900.0","20,900.0","3.48M","-4.35%"
"Jun 10, 2020","21,850.0","21,350.0","21,950.0","21,250.0","2.30M","1.39%"
"Jun 09, 2020","21,550.0","21,700.0","21,800.0","21,500.0","1.70M","-0.69%"
"Jun 08, 2020","21,700.0","21,550.0","21,900.0","21,550.0","3.48M","1.17%"
"Jun 05, 2020","21,450.0","21,250.0","21,450.0","21,100.0","2.25M","1.18%"
"Jun 04, 2020","21,200.0","21,400.0","21,450.0","21,200.0","2.22M","-0.70%"
"Jun 03, 2020","21,350.0","21,150.0","21,450.0","21,150.0","2.06M","0.95%"
"Jun 02, 2020","21,150.0","21,500.0","21,500.0","21,100.0","2.47M","-0.70%"
"Jun 01, 2020","21,300.0","20,800.0","21,300.0","20,800.0","2.34M","2.90%"
"May 29, 2020","20,700.0","20,850.0","20,950.0","20,700.0","1.10M","-0.96%"
"May 28, 2020","20,900.0","20,900.0","21,200.0","20,800.0","1.58M","0.00%"
"May 27, 2020","20,900.0","21,200.0","21,400.0","20,900.0","2.67M","-1.18%"
"May 26, 2020","21,150.0","21,100.0","21,300.0","21,000.0","2.22M","0.48%"
"May 25, 2020","21,050.0","21,100.0","21,300.0","20,950.0","1.96M","0.00%"
"May 22, 2020","21,050.0","21,600.0","21,600.0","21,050.0","3.32M","-4.32%"
"May 21, 2020","22,000.0","21,050.0","22,000.0","20,850.0","3.54M","4.51%"
"May 20, 2020","21,050.0","21,000.0","21,200.0","20,950.0","1.91M","-1.17%"
"May 19, 2020","21,300.0","21,350.0","21,400.0","20,950.0","4.14M","3.15%"
"May 18, 2020","20,650.0","20,050.0","20,750.0","19,900.0","3.02M","1.98%"
"May 15, 2020","20,250.0","20,600.0","20,600.0","20,000.0","3.00M","-1.22%"
"May 14, 2020","20,500.0","20,400.0","20,600.0","20,100.0","3.35M","-0.49%"
"May 13, 2020","20,600.0","20,300.0","20,700.0","19,800.0","4.75M","0.00%"
"May 12, 2020","20,600.0","20,100.0","20,750.0","19,600.0","3.56M","1.98%"
"May 11, 2020","20,200.0","19,500.0","20,200.0","19,350.0","4.77M","6.88%"
"May 08, 2020","18,900.0","17,700.0","18,900.0","17,700.0","7.26M","6.78%"
"May 07, 2020","17,700.0","17,550.0","17,700.0","17,450.0","2.41M","0.85%"
"May 06, 2020","17,550.0","17,550.0","17,550.0","17,250.0","1.18M","0.86%"
"May 05, 2020","17,400.0","17,500.0","17,600.0","17,350.0","546.01K","0.00%"
"May 04, 2020","17,400.0","17,200.0","17,700.0","17,150.0","2.02M","1.16%"
"Apr 29, 2020","17,200.0","17,100.0","17,550.0","17,000.0","2.86M","0.58%"
"Apr 28, 2020","17,100.0","17,150.0","17,150.0","16,850.0","921.18K","0.29%"
"Apr 27, 2020","17,050.0","17,100.0","17,250.0","17,000.0","962.88K","-0.29%"
"Apr 24, 2020","17,100.0","17,100.0","17,150.0","16,900.0","851.77K","0.88%"
"Apr 23, 2020","16,950.0","17,200.0","17,300.0","16,950.0","1.40M","0.30%"
"Apr 22, 2020","16,900.0","16,250.0","17,200.0","16,250.0","1.74M","0.30%"
"Apr 21, 2020","16,850.0","17,300.0","17,400.0","16,700.0","3.05M","-4.80%"
"Apr 20, 2020","17,700.0","17,900.0","17,950.0","17,500.0","1.85M","-0.28%"
"Apr 17, 2020","17,750.0","17,800.0","17,850.0","17,500.0","2.25M","1.14%"
"Apr 16, 2020","17,550.0","17,500.0","17,550.0","17,200.0","1.86M","0.00%"
"Apr 15, 2020","17,550.0","17,300.0","17,550.0","17,200.0","2.54M","2.33%"
"Apr 14, 2020","17,150.0","17,350.0","17,350.0","16,900.0","1.45M","-0.29%"
"Apr 13, 2020","17,200.0","16,750.0","17,600.0","16,750.0","2.56M","2.69%"
"Apr 10, 2020","16,750.0","16,700.0","16,950.0","16,650.0","1.50M","-0.89%"
"Apr 09, 2020","16,900.0","17,100.0","17,150.0","16,850.0","2.20M","1.20%"
"Apr 08, 2020","16,700.0","16,800.0","16,800.0","16,300.0","1.41M","-1.47%"
"Apr 07, 2020","16,950.0","17,000.0","17,200.0","16,800.0","2.42M","0.00%"
"Apr 06, 2020","16,950.0","16,200.0","16,950.0","16,100.0","2.97M","6.94%"
"Apr 03, 2020","15,850.0","15,500.0","15,950.0","15,500.0","1.43M","2.26%"
"Apr 01, 2020","15,500.0","15,000.0","15,600.0","14,350.0","1.32M","3.33%"
"Mar 31, 2020","15,000.0","15,000.0","15,500.0","14,000.0","1.58M","0.67%"
"Mar 30, 2020","14,900.0","15,100.0","15,500.0","14,900.0","3.36M","-6.88%"
"Mar 27, 2020","16,000.0","16,150.0","16,200.0","15,600.0","2.75M","-0.62%"
"Mar 26, 2020","16,100.0","16,600.0","16,600.0","16,100.0","1.49M","-3.01%"
"Mar 25, 2020","16,600.0","16,500.0","16,700.0","16,300.0","2.95M","3.11%"
"Mar 24, 2020","16,100.0","16,500.0","16,500.0","16,000.0","3.21M","-0.31%"
"Mar 23, 2020","16,150.0","16,200.0","17,000.0","16,150.0","3.27M","-6.92%"
"Mar 20, 2020","17,350.0","17,450.0","17,500.0","17,150.0","1.88M","0.58%"
"Mar 19, 2020","17,250.0","17,600.0","17,800.0","17,150.0","2.21M","-3.90%"
"Mar 18, 2020","17,950.0","18,100.0","18,200.0","17,700.0","1.91M","0.00%"
"Mar 17, 2020","17,950.0","17,000.0","17,950.0","16,850.0","3.11M","2.87%"
"Mar 16, 2020","17,450.0","18,250.0","18,250.0","17,200.0","3.65M","-4.38%"
"Mar 13, 2020","18,250.0","16,700.0","18,550.0","16,700.0","4.33M","1.67%"
"Mar 12, 2020","17,950.0","18,000.0","18,500.0","17,950.0","4.05M","-6.99%"
"Mar 11, 2020","19,300.0","20,800.0","20,950.0","19,300.0","5.63M","-6.76%"
"Mar 10, 2020","20,700.0","20,400.0","21,000.0","20,100.0","3.16M","0.73%"
"Mar 09, 2020","20,550.0","20,650.0","21,000.0","20,550.0","4.58M","-6.80%"
"Mar 06, 2020","22,050.0","22,200.0","22,200.0","21,800.0","2.25M","-1.12%"
"Mar 05, 2020","22,300.0","22,550.0","22,850.0","22,300.0","2.02M","-1.11%"
"Mar 04, 2020","22,550.0","22,350.0","22,600.0","22,200.0","1.94M","0.22%"
