"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2020","88,000.0","89,500.0","89,600.0","87,000.0","1.16M","-1.79%"
"Jun 10, 2020","89,600.0","89,500.0","89,800.0","89,300.0","793.59K","0.11%"
"Jun 09, 2020","89,500.0","89,900.0","90,000.0","89,400.0","417.69K","0.11%"
"Jun 08, 2020","89,400.0","89,000.0","90,200.0","88,400.0","802.24K","0.45%"
"Jun 05, 2020","89,000.0","89,100.0","89,300.0","87,000.0","810.57K","0.00%"
"Jun 04, 2020","89,000.0","88,000.0","89,000.0","88,000.0","450.24K","1.25%"
"Jun 03, 2020","87,900.0","87,000.0","87,900.0","86,900.0","462.75K","1.50%"
"Jun 02, 2020","86,600.0","86,900.0","86,900.0","86,300.0","1.01M","0.12%"
"Jun 01, 2020","86,500.0","85,500.0","86,700.0","85,500.0","725.31K","1.53%"
"May 29, 2020","85,200.0","85,000.0","86,000.0","84,500.0","1.16M","0.83%"
"May 28, 2020","84,500.0","83,000.0","85,100.0","83,000.0","1.85M","1.93%"
"May 27, 2020","82,900.0","83,000.0","84,400.0","82,900.0","817.77K","0.48%"
"May 26, 2020","82,500.0","81,000.0","82,600.0","81,000.0","740.93K","1.73%"
"May 25, 2020","81,100.0","80,900.0","81,300.0","80,800.0","708.71K","0.12%"
"May 22, 2020","81,000.0","81,200.0","81,300.0","80,000.0","805.71K","-0.25%"
"May 21, 2020","81,200.0","80,000.0","81,200.0","79,600.0","1.43M","2.01%"
"May 20, 2020","79,600.0","78,400.0","79,700.0","78,400.0","710.20K","0.76%"
"May 19, 2020","79,000.0","79,900.0","80,100.0","78,800.0","1.13M","0.64%"
"May 18, 2020","78,500.0","76,300.0","79,000.0","75,800.0","1.00M","3.29%"
"May 15, 2020","76,000.0","76,400.0","76,500.0","75,600.0","1.60M","0.00%"
"May 14, 2020","76,000.0","75,000.0","76,400.0","74,900.0","2.12M","0.53%"
"May 13, 2020","75,600.0","75,600.0","76,500.0","72,000.0","1.85M","0.00%"
"May 12, 2020","75,600.0","74,600.0","76,000.0","74,400.0","2.20M","1.48%"
"May 11, 2020","74,500.0","73,500.0","74,500.0","72,500.0","1.70M","1.36%"
"May 08, 2020","73,500.0","70,000.0","74,200.0","69,800.0","3.87M","5.45%"
"May 07, 2020","69,700.0","67,800.0","69,700.0","67,700.0","1.94M","3.11%"
"May 06, 2020","67,600.0","67,300.0","67,700.0","66,500.0","855.77K","1.20%"
"May 05, 2020","66,800.0","67,300.0","67,700.0","66,800.0","1.01M","-0.89%"
"May 04, 2020","67,400.0","68,000.0","68,100.0","66,800.0","852.26K","-0.88%"
"Apr 29, 2020","68,000.0","67,000.0","68,100.0","67,000.0","1.52M","1.49%"
"Apr 28, 2020","67,000.0","66,800.0","68,500.0","65,200.0","2.05M","0.30%"
"Apr 27, 2020","66,800.0","69,900.0","69,900.0","66,800.0","2.55M","-3.05%"
"Apr 24, 2020","68,900.0","69,200.0","69,600.0","67,500.0","972.17K","-0.43%"
"Apr 23, 2020","69,200.0","71,000.0","71,000.0","68,800.0","1.20M","-0.14%"
"Apr 22, 2020","69,300.0","69,000.0","71,100.0","69,000.0","1.61M","-3.08%"
"Apr 21, 2020","71,500.0","71,000.0","71,500.0","67,800.0","2.16M","-0.56%"
"Apr 20, 2020","71,900.0","71,700.0","72,400.0","70,800.0","1.03M","0.70%"
