"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2020","76,500.0","77,500.0","78,600.0","76,500.0","5.71M","-1.29%"
"Jun 10, 2020","77,500.0","77,600.0","77,800.0","76,900.0","3.22M","-0.13%"
"Jun 09, 2020","77,600.0","78,000.0","78,700.0","77,400.0","2.84M","-0.26%"
"Jun 08, 2020","77,800.0","78,000.0","78,700.0","77,500.0","2.66M","0.65%"
"Jun 05, 2020","77,300.0","77,100.0","77,900.0","76,600.0","2.19M","-0.26%"
"Jun 04, 2020","77,500.0","78,000.0","78,700.0","77,000.0","3.13M","-0.51%"
"Jun 03, 2020","77,900.0","78,000.0","78,300.0","77,400.0","2.66M","0.13%"
"Jun 02, 2020","77,800.0","79,100.0","79,200.0","77,700.0","2.64M","-1.64%"
"Jun 01, 2020","79,100.0","77,400.0","79,500.0","77,300.0","3.25M","3.26%"
"May 29, 2020","76,600.0","75,600.0","77,100.0","75,500.0","3.94M","2.13%"
"May 28, 2020","75,000.0","74,900.0","76,000.0","74,400.0","4.35M","0.40%"
"May 27, 2020","74,700.0","76,500.0","77,600.0","74,600.0","3.77M","-2.23%"
"May 26, 2020","76,400.0","77,500.0","77,900.0","76,400.0","3.00M","-0.52%"
"May 25, 2020","76,800.0","76,400.0","78,500.0","74,800.0","4.66M","0.39%"
"May 22, 2020","76,500.0","77,000.0","77,400.0","75,600.0","2.15M","-1.92%"
"May 21, 2020","78,000.0","77,500.0","78,500.0","76,800.0","2.27M","1.17%"
"May 20, 2020","77,100.0","72,900.0","77,100.0","72,800.0","4.30M","5.33%"
"May 19, 2020","73,200.0","73,000.0","74,700.0","72,300.0","3.69M","1.81%"
"May 18, 2020","71,900.0","71,300.0","72,600.0","70,900.0","1.66M","0.42%"
"May 15, 2020","71,600.0","71,000.0","72,000.0","70,500.0","1.56M","1.42%"
"May 14, 2020","70,600.0","70,900.0","71,400.0","70,400.0","2.27M","-1.12%"
"May 13, 2020","71,400.0","72,600.0","73,000.0","70,900.0","3.37M","-2.86%"
"May 12, 2020","73,500.0","73,300.0","73,900.0","72,000.0","1.77M","0.00%"
"May 11, 2020","73,500.0","71,000.0","73,900.0","70,800.0","2.79M","3.67%"
"May 08, 2020","70,900.0","68,000.0","72,300.0","67,800.0","3.64M","4.88%"
"May 07, 2020","67,600.0","67,500.0","68,000.0","66,200.0","1.47M","0.90%"
"May 06, 2020","67,000.0","63,600.0","67,500.0","63,400.0","4.29M","5.35%"
"May 05, 2020","63,600.0","64,700.0","65,500.0","63,400.0","2.40M","-2.00%"
"May 04, 2020","64,900.0","63,600.0","64,900.0","63,600.0","1.58M","2.04%"
"Apr 29, 2020","63,600.0","64,600.0","65,000.0","63,300.0","2.70M","-1.55%"
"Apr 28, 2020","64,600.0","67,000.0","68,500.0","64,500.0","3.63M","0.16%"
"Apr 27, 2020","64,500.0","65,500.0","66,900.0","64,000.0","1.24M","-0.77%"
"Apr 24, 2020","65,000.0","66,600.0","66,800.0","64,300.0","2.15M","-2.40%"
"Apr 23, 2020","66,600.0","67,000.0","67,400.0","65,600.0","1.09M","1.83%"
"Apr 22, 2020","65,400.0","65,200.0","68,000.0","65,200.0","1.30M","-3.82%"
"Apr 21, 2020","68,000.0","68,000.0","68,300.0","66,100.0","1.21M","-0.73%"
"Apr 20, 2020","68,500.0","69,400.0","69,400.0","68,000.0","512.37K","0.00%"
"Apr 17, 2020","68,500.0","67,500.0","69,200.0","67,500.0","734.07K","1.48%"
"Apr 16, 2020","67,500.0","67,600.0","68,200.0","66,800.0","670.94K","-0.44%"
"Apr 15, 2020","67,800.0","68,400.0","69,000.0","67,500.0","533.62K","-0.29%"
"Apr 14, 2020","68,000.0","68,000.0","68,900.0","66,500.0","642.49K","1.04%"
"Apr 13, 2020","67,300.0","68,000.0","69,500.0","67,100.0","449.47K","0.30%"
"Apr 10, 2020","67,100.0","68,500.0","69,200.0","67,000.0","513.31K","-2.75%"
"Apr 09, 2020","69,000.0","70,000.0","70,900.0","68,800.0","854.47K","-1.43%"
"Apr 08, 2020","70,000.0","64,500.0","70,000.0","64,000.0","950.92K","6.06%"
"Apr 07, 2020","66,000.0","65,500.0","66,000.0","62,100.0","902.67K","6.97%"
"Apr 06, 2020","61,700.0","60,000.0","61,700.0","58,600.0","534.02K","6.93%"
"Apr 03, 2020","57,700.0","56,200.0","57,700.0","55,200.0","940.47K","5.29%"
"Apr 01, 2020","54,800.0","53,200.0","57,300.0","53,200.0","553.90K","-0.36%"
"Mar 31, 2020","55,000.0","55,800.0","57,900.0","52,000.0","661.01K","-1.43%"
"Mar 30, 2020","55,800.0","55,800.0","57,000.0","55,800.0","929.82K","-7.00%"
"Mar 27, 2020","60,000.0","60,000.0","61,400.0","58,500.0","710.77K","-1.64%"
"Mar 26, 2020","61,000.0","59,100.0","63,000.0","57,200.0","2.02M","3.21%"
"Mar 25, 2020","59,100.0","57,000.0","59,100.0","54,000.0","1.83M","6.87%"
"Mar 24, 2020","55,300.0","55,400.0","58,400.0","55,300.0","2.04M","-6.90%"
"Mar 23, 2020","59,400.0","60,000.0","62,000.0","59,400.0","198.20K","-6.90%"
"Mar 20, 2020","63,800.0","68,500.0","68,500.0","63,800.0","1.35M","-6.86%"
"Mar 19, 2020","68,500.0","67,300.0","69,300.0","65,000.0","1.48M","-1.44%"
"Mar 18, 2020","69,500.0","69,700.0","70,300.0","67,500.0","1.71M","-0.57%"
"Mar 17, 2020","69,900.0","67,500.0","71,400.0","67,500.0","1.10M","-2.65%"
"Mar 16, 2020","71,800.0","71,000.0","71,800.0","67,500.0","968.81K","-0.28%"
"Mar 13, 2020","72,000.0","67,000.0","72,000.0","67,000.0","1.34M","0.00%"
"Mar 12, 2020","72,000.0","75,500.0","75,500.0","71,200.0","1.16M","-5.88%"
"Mar 11, 2020","76,500.0","76,500.0","76,800.0","71,200.0","932.90K","0.00%"
"Mar 10, 2020","76,500.0","71,000.0","76,500.0","71,000.0","1.05M","1.59%"
"Mar 09, 2020","75,300.0","78,600.0","78,600.0","75,300.0","973.19K","-6.92%"
"Mar 06, 2020","80,900.0","80,000.0","80,900.0","79,000.0","339.74K","-0.12%"
"Mar 05, 2020","81,000.0","80,100.0","81,500.0","80,100.0","361.11K","0.62%"
"Mar 04, 2020","80,500.0","79,100.0","80,500.0","78,900.0","901.07K","0.00%"
"Mar 03, 2020","80,500.0","80,500.0","81,100.0","80,200.0","742.52K","0.00%"
"Mar 02, 2020","80,500.0","79,100.0","80,600.0","79,000.0","447.98K","0.12%"
"Feb 28, 2020","80,400.0","78,500.0","80,400.0","78,500.0","860.76K","-0.50%"
"Feb 27, 2020","80,800.0","79,900.0","81,000.0","79,000.0","1.28M","-0.12%"
"Feb 26, 2020","80,900.0","83,000.0","83,000.0","80,300.0","651.88K","-2.65%"
"Feb 25, 2020","83,100.0","82,300.0","83,800.0","81,000.0","410.30K","-1.07%"
"Feb 24, 2020","84,000.0","83,300.0","85,100.0","83,300.0","619.38K","-2.44%"
