"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2020","93,000.0","95,600.0","96,200.0","93,000.0","761.54K","-2.72%"
"Jun 10, 2020","95,600.0","96,200.0","96,200.0","95,400.0","488.49K","-0.62%"
"Jun 09, 2020","96,200.0","97,000.0","97,000.0","96,100.0","318.40K","0.21%"
"Jun 08, 2020","96,000.0","95,200.0","97,600.0","95,200.0","482.18K","1.05%"
"Jun 05, 2020","95,000.0","96,000.0","96,200.0","95,000.0","525.87K","-1.04%"
"Jun 04, 2020","96,000.0","96,800.0","96,800.0","96,000.0","550.74K","-0.83%"
"Jun 03, 2020","96,800.0","96,500.0","96,800.0","95,500.0","466.43K","0.10%"
"Jun 02, 2020","96,700.0","97,200.0","97,200.0","96,500.0","501.70K","-0.51%"
"Jun 01, 2020","97,200.0","97,000.0","97,200.0","96,500.0","481.49K","0.21%"
"May 29, 2020","97,000.0","97,000.0","97,500.0","96,600.0","493.50K","0.00%"
"May 28, 2020","97,000.0","96,900.0","97,500.0","96,300.0","314.79K","0.10%"
"May 27, 2020","96,900.0","96,900.0","97,900.0","96,500.0","591.44K","0.00%"
"May 26, 2020","96,900.0","97,000.0","97,500.0","96,400.0","360.00K","-0.21%"
"May 25, 2020","97,100.0","96,200.0","97,100.0","96,000.0","216.40K","0.73%"
"May 22, 2020","96,400.0","98,000.0","98,000.0","96,400.0","292.93K","-1.63%"
"May 21, 2020","98,000.0","97,000.0","98,000.0","96,900.0","674.38K","1.45%"
"May 20, 2020","96,600.0","96,400.0","97,000.0","96,100.0","254.73K","0.10%"
"May 19, 2020","96,500.0","97,100.0","97,400.0","96,000.0","729.85K","0.00%"
"May 18, 2020","96,500.0","97,000.0","97,000.0","95,500.0","229.44K","-0.52%"
"May 15, 2020","97,000.0","96,000.0","97,500.0","95,800.0","327.65K","1.04%"
"May 14, 2020","96,000.0","95,000.0","96,700.0","93,900.0","1.00M","1.05%"
"May 13, 2020","95,000.0","95,100.0","96,000.0","91,500.0","2.65M","-2.06%"
"May 12, 2020","97,000.0","97,400.0","97,400.0","95,000.0","770.03K","-0.51%"
"May 11, 2020","97,500.0","98,000.0","98,000.0","95,900.0","1.36M","0.00%"
"May 08, 2020","97,500.0","96,400.0","100,000.0","96,100.0","1.68M","1.56%"
"May 07, 2020","96,000.0","95,000.0","96,000.0","94,000.0","617.80K","1.05%"
"May 06, 2020","95,000.0","92,600.0","95,000.0","92,500.0","773.57K","2.48%"
"May 05, 2020","92,700.0","91,800.0","93,000.0","91,800.0","274.70K","0.98%"
"May 04, 2020","91,800.0","91,900.0","92,500.0","90,000.0","259.55K","-0.11%"
"Apr 29, 2020","91,900.0","93,000.0","93,400.0","90,500.0","314.40K","-0.11%"
"Apr 28, 2020","92,000.0","92,500.0","92,900.0","91,500.0","222.92K","0.00%"
"Apr 27, 2020","92,000.0","95,000.0","95,000.0","92,000.0","453.72K","-1.08%"
"Apr 24, 2020","93,000.0","93,000.0","93,900.0","92,400.0","300.24K","0.00%"
"Apr 23, 2020","93,000.0","93,000.0","94,900.0","92,700.0","347.42K","0.54%"
"Apr 22, 2020","92,500.0","92,000.0","92,800.0","90,500.0","884.07K","-0.54%"
"Apr 21, 2020","93,000.0","95,500.0","95,500.0","92,500.0","892.27K","-3.33%"
"Apr 20, 2020","96,200.0","96,100.0","96,400.0","94,900.0","1.06M","0.10%"
"Apr 17, 2020","96,100.0","95,300.0","96,100.0","89,200.0","1.19M","0.21%"
"Apr 16, 2020","95,900.0","96,000.0","96,000.0","94,700.0","845.58K","-0.10%"
"Apr 15, 2020","96,000.0","95,600.0","96,000.0","94,900.0","1.18M","0.42%"
"Apr 14, 2020","95,600.0","96,500.0","96,500.0","94,500.0","631.63K","-0.42%"
"Apr 13, 2020","96,000.0","95,800.0","96,000.0","94,900.0","1.41M","1.05%"
"Apr 10, 2020","95,000.0","96,000.0","96,800.0","93,700.0","983.12K","-1.04%"
"Apr 09, 2020","96,000.0","94,000.0","97,300.0","93,800.0","1.56M","2.13%"
"Apr 08, 2020","94,000.0","97,000.0","97,000.0","94,000.0","760.12K","-3.39%"
"Apr 07, 2020","97,300.0","97,600.0","100,900.0","93,000.0","2.86M","0.00%"
"Apr 06, 2020","97,300.0","92,000.0","97,300.0","91,300.0","2.70M","6.92%"
"Apr 03, 2020","91,000.0","86,000.0","91,000.0","86,000.0","1.18M","5.81%"
"Apr 01, 2020","86,000.0","82,500.0","87,000.0","81,000.0","437.82K","3.12%"
"Mar 31, 2020","83,400.0","81,400.0","87,000.0","80,400.0","1.30M","2.46%"
"Mar 30, 2020","81,400.0","80,800.0","82,000.0","80,800.0","881.24K","-6.22%"
"Mar 27, 2020","86,800.0","82,000.0","87,400.0","79,500.0","1.15M","6.11%"
"Mar 26, 2020","81,800.0","77,600.0","81,800.0","75,600.0","1.24M","6.93%"
"Mar 25, 2020","76,500.0","71,500.0","76,500.0","68,000.0","1.40M","6.99%"
"Mar 24, 2020","71,500.0","71,800.0","75,000.0","71,500.0","1.47M","-6.90%"
"Mar 23, 2020","76,800.0","78,000.0","78,300.0","76,800.0","678.16K","-6.91%"
"Mar 20, 2020","82,500.0","88,700.0","88,700.0","82,500.0","1.08M","-6.99%"
"Mar 19, 2020","88,700.0","86,900.0","88,700.0","83,100.0","1.10M","-0.34%"
"Mar 18, 2020","89,000.0","87,900.0","90,000.0","86,500.0","785.39K","0.56%"
"Mar 17, 2020","88,500.0","89,500.0","92,300.0","87,600.0","681.33K","-4.32%"
"Mar 16, 2020","92,500.0","92,000.0","92,500.0","86,600.0","971.34K","0.00%"
