"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2020","113,500.0","117,800.0","117,900.0","113,500.0","697.58K","-3.65%"
"Jun 10, 2020","117,800.0","117,900.0","118,400.0","117,400.0","544.33K","0.00%"
"Jun 09, 2020","117,800.0","116,800.0","118,800.0","116,000.0","727.70K","2.43%"
"Jun 08, 2020","115,000.0","114,300.0","115,600.0","114,300.0","688.02K","0.61%"
"Jun 05, 2020","114,300.0","114,100.0","114,300.0","113,600.0","368.78K","0.00%"
"Jun 04, 2020","114,300.0","113,900.0","114,300.0","113,800.0","687.65K","0.44%"
"Jun 03, 2020","113,800.0","114,700.0","114,700.0","113,700.0","311.36K","-0.78%"
"Jun 02, 2020","114,700.0","113,300.0","115,500.0","113,200.0","593.95K","1.24%"
"Jun 01, 2020","113,300.0","113,000.0","114,000.0","112,900.0","406.51K","0.27%"
"May 29, 2020","113,000.0","113,300.0","113,300.0","112,900.0","449.84K","-0.26%"
"May 28, 2020","113,300.0","113,000.0","114,200.0","113,000.0","436.06K","0.27%"
"May 27, 2020","113,000.0","113,000.0","115,200.0","113,000.0","496.87K","0.00%"
"May 26, 2020","113,000.0","113,000.0","113,300.0","112,400.0","464.12K","-0.09%"
"May 25, 2020","113,100.0","114,000.0","114,000.0","113,100.0","331.26K","-0.79%"
"May 22, 2020","114,000.0","114,800.0","114,800.0","113,000.0","397.86K","-0.87%"
"May 21, 2020","115,000.0","113,700.0","115,000.0","113,600.0","452.16K","1.14%"
"May 20, 2020","113,700.0","114,500.0","114,500.0","113,500.0","290.20K","-1.04%"
"May 19, 2020","114,900.0","115,000.0","116,000.0","114,500.0","565.86K","0.79%"
"May 18, 2020","114,000.0","114,000.0","114,200.0","113,100.0","403.23K","0.00%"
"May 15, 2020","114,000.0","114,000.0","114,500.0","113,800.0","396.39K","0.00%"
"May 14, 2020","114,000.0","114,800.0","114,800.0","112,800.0","529.83K","-0.78%"
"May 13, 2020","114,900.0","117,000.0","117,000.0","109,200.0","709.77K","-2.13%"
"May 12, 2020","117,400.0","118,600.0","118,600.0","116,600.0","448.58K","-1.01%"
"May 11, 2020","118,600.0","119,300.0","119,300.0","117,600.0","404.18K","-1.17%"
"May 08, 2020","120,000.0","115,200.0","123,200.0","115,100.0","922.10K","4.17%"
"May 07, 2020","115,200.0","112,200.0","115,200.0","112,200.0","413.82K","2.77%"
