"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2020","122,300.0","123,000.0","125,000.0","121,000.0","1.10M","-0.57%"
"Jun 10, 2020","123,000.0","126,000.0","126,000.0","122,800.0","1.24M","-1.60%"
"Jun 09, 2020","125,000.0","123,100.0","126,000.0","123,100.0","1.70M","1.79%"
"Jun 08, 2020","122,800.0","119,200.0","123,400.0","119,100.0","1.42M","3.02%"
"Jun 05, 2020","119,200.0","117,800.0","119,200.0","116,700.0","1.08M","1.19%"
"Jun 04, 2020","117,800.0","117,000.0","117,900.0","117,000.0","735.42K","1.03%"
"Jun 03, 2020","116,600.0","116,200.0","118,100.0","115,600.0","1.32M","0.52%"
"Jun 02, 2020","116,000.0","116,100.0","117,000.0","115,700.0","891.91K","-0.09%"
"Jun 01, 2020","116,100.0","115,100.0","117,000.0","115,100.0","1.05M","0.96%"
"May 29, 2020","115,000.0","113,500.0","115,200.0","113,500.0","1.20M","0.17%"
"May 28, 2020","114,800.0","115,000.0","116,000.0","114,800.0","1.00M","-0.17%"
"May 27, 2020","115,000.0","117,700.0","117,800.0","115,000.0","1.11M","-2.21%"
"May 26, 2020","117,600.0","118,000.0","118,000.0","115,200.0","983.17K","0.00%"
"May 25, 2020","117,600.0","114,500.0","117,600.0","114,100.0","1.58M","2.80%"
"May 22, 2020","114,400.0","114,400.0","114,800.0","113,500.0","1.08M","-0.52%"
"May 21, 2020","115,000.0","114,000.0","115,000.0","113,500.0","1.58M","0.88%"
"May 20, 2020","114,000.0","112,500.0","114,400.0","112,500.0","1.20M","1.24%"
"May 19, 2020","112,600.0","113,800.0","114,400.0","112,300.0","1.43M","1.35%"
"May 18, 2020","111,100.0","110,800.0","111,800.0","109,000.0","898.37K","0.27%"
"May 15, 2020","110,800.0","113,000.0","113,500.0","109,400.0","2.32M","-1.95%"
"May 14, 2020","113,000.0","112,600.0","113,900.0","112,500.0","1.40M","-0.62%"
"May 13, 2020","113,700.0","113,200.0","115,000.0","110,000.0","2.51M","-0.18%"
"May 12, 2020","113,900.0","108,500.0","114,400.0","107,400.0","2.94M","4.98%"
"May 11, 2020","108,500.0","105,000.0","108,500.0","104,700.0","1.79M","3.33%"
"May 08, 2020","105,000.0","104,500.0","107,600.0","104,000.0","3.18M","1.55%"
"May 07, 2020","103,400.0","101,600.0","103,800.0","101,500.0","1.58M","1.87%"
"May 06, 2020","101,500.0","100,700.0","101,500.0","99,700.0","1.11M","1.00%"
"May 05, 2020","100,500.0","98,800.0","100,900.0","98,000.0","1.16M","2.97%"
"May 04, 2020","97,600.0","97,000.0","99,000.0","97,000.0","1.24M","-1.41%"
"Apr 29, 2020","99,000.0","99,500.0","99,900.0","99,000.0","1.77M","-1.49%"
"Apr 28, 2020","100,500.0","102,800.0","103,000.0","99,700.0","1.40M","-2.24%"
"Apr 27, 2020","102,800.0","106,500.0","106,500.0","102,800.0","1.95M","0.00%"
"Apr 24, 2020","102,800.0","99,300.0","102,800.0","97,500.0","3.62M","6.97%"
"Apr 23, 2020","96,100.0","98,600.0","98,600.0","95,900.0","1.44M","-1.44%"
"Apr 22, 2020","97,500.0","96,100.0","97,600.0","95,800.0","1.09M","0.72%"
"Apr 21, 2020","96,800.0","100,000.0","100,000.0","95,800.0","2.13M","-3.20%"
"Apr 20, 2020","100,000.0","100,000.0","101,200.0","100,000.0","1.47M","0.70%"
"Apr 17, 2020","99,300.0","100,000.0","100,100.0","99,000.0","1.77M","0.00%"
"Apr 16, 2020","99,300.0","99,300.0","99,500.0","98,900.0","1.16M","0.10%"
"Apr 15, 2020","99,200.0","99,700.0","99,700.0","99,200.0","886.13K","0.20%"
"Apr 14, 2020","99,000.0","99,500.0","99,700.0","98,700.0","1.06M","-0.10%"
"Apr 13, 2020","99,100.0","99,600.0","99,800.0","98,300.0","1.13M","-0.50%"
"Apr 10, 2020","99,600.0","100,000.0","100,000.0","98,100.0","1.11M","-0.50%"
"Apr 09, 2020","100,100.0","99,900.0","100,900.0","99,200.0","1.22M","1.11%"
"Apr 08, 2020","99,000.0","98,000.0","99,000.0","96,500.0","904.92K","0.51%"
"Apr 07, 2020","98,500.0","96,500.0","99,000.0","95,800.0","2.27M","2.39%"
"Apr 06, 2020","96,200.0","96,500.0","96,600.0","95,000.0","1.84M","1.26%"
"Apr 03, 2020","95,000.0","94,500.0","95,500.0","94,000.0","1.93M","1.06%"
"Apr 01, 2020","94,000.0","91,000.0","94,000.0","91,000.0","1.16M","3.30%"
"Mar 31, 2020","91,000.0","92,500.0","93,400.0","90,000.0","1.29M","-0.22%"
"Mar 30, 2020","91,200.0","90,000.0","92,500.0","89,000.0","1.56M","-3.08%"
"Mar 27, 2020","94,100.0","93,000.0","95,300.0","92,000.0","2.76M","0.11%"
"Mar 26, 2020","94,000.0","92,300.0","95,000.0","88,800.0","2.56M","2.17%"
"Mar 25, 2020","92,000.0","90,600.0","92,100.0","90,100.0","2.99M","6.85%"
"Mar 24, 2020","86,100.0","83,700.0","88,300.0","83,700.0","1.74M","2.87%"
"Mar 23, 2020","83,700.0","89,100.0","89,100.0","83,700.0","2.19M","-7.00%"
"Mar 20, 2020","90,000.0","89,000.0","91,300.0","89,000.0","2.32M","1.12%"
"Mar 19, 2020","89,000.0","93,000.0","94,000.0","89,000.0","2.77M","-6.32%"
"Mar 18, 2020","95,000.0","96,200.0","97,800.0","95,000.0","1.32M","-1.04%"
"Mar 17, 2020","96,000.0","96,000.0","96,400.0","95,000.0","1.79M","-1.03%"
"Mar 16, 2020","97,000.0","99,100.0","99,200.0","96,500.0","1.09M","-2.12%"
"Mar 13, 2020","99,100.0","95,200.0","100,600.0","95,200.0","2.16M","-1.78%"
"Mar 12, 2020","100,900.0","97,200.0","101,500.0","97,000.0","2.43M","-0.69%"
"Mar 11, 2020","101,600.0","102,000.0","105,000.0","99,200.0","2.29M","-0.10%"
"Mar 10, 2020","101,700.0","96,000.0","101,800.0","96,000.0","1.76M","4.85%"
"Mar 09, 2020","97,000.0","100,000.0","102,500.0","97,000.0","2.36M","-6.91%"
"Mar 06, 2020","104,200.0","104,500.0","104,800.0","103,600.0","664.92K","-0.29%"
"Mar 05, 2020","104,500.0","105,000.0","105,900.0","104,500.0","438.02K","-0.29%"
"Mar 04, 2020","104,800.0","105,300.0","106,000.0","104,500.0","612.80K","-0.47%"
"Mar 03, 2020","105,300.0","105,500.0","106,200.0","104,600.0","741.38K","0.77%"
"Mar 02, 2020","104,500.0","104,500.0","105,500.0","103,800.0","909.24K","0.00%"
"Feb 28, 2020","104,500.0","105,300.0","106,100.0","103,000.0","1.44M","-2.70%"
"Feb 27, 2020","107,400.0","105,000.0","107,400.0","103,800.0","863.89K","2.29%"
"Feb 26, 2020","105,000.0","106,700.0","106,700.0","105,000.0","1.35M","-2.78%"
"Feb 25, 2020","108,000.0","106,300.0","108,500.0","106,000.0","1.20M","1.50%"
"Feb 24, 2020","106,400.0","107,000.0","107,800.0","106,000.0","954.60K","-1.94%"
"Feb 21, 2020","108,500.0","107,500.0","109,400.0","107,500.0","1.48M","1.97%"
"Feb 20, 2020","106,400.0","107,000.0","107,500.0","106,300.0","624.62K","0.00%"
"Feb 19, 2020","106,400.0","105,000.0","106,700.0","105,000.0","794.47K","0.85%"
"Feb 18, 2020","105,500.0","107,800.0","107,800.0","105,300.0","1.08M","-1.86%"
"Feb 17, 2020","107,500.0","106,800.0","107,600.0","106,800.0","623.35K","0.84%"
"Feb 14, 2020","106,600.0","107,200.0","107,400.0","106,600.0","708.08K","-0.28%"
"Feb 13, 2020","106,900.0","107,200.0","107,500.0","106,600.0","713.56K","-0.28%"
"Feb 12, 2020","107,200.0","108,000.0","108,000.0","107,200.0","838.17K","0.00%"
"Feb 11, 2020","107,200.0","109,000.0","109,000.0","107,000.0","885.96K","-1.65%"
"Feb 10, 2020","109,000.0","109,000.0","109,400.0","107,300.0","910.51K","-1.09%"
"Feb 07, 2020","110,200.0","107,700.0","110,500.0","107,600.0","1.52M","2.51%"
