"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2020","23,100.0","24,300.0","24,300.0","23,100.0","7.90M","-4.35%"
"Jun 10, 2020","24,150.0","24,000.0","24,500.0","23,500.0","5.60M","0.21%"
"Jun 09, 2020","24,100.0","24,450.0","24,450.0","24,000.0","4.91M","-1.43%"
"Jun 08, 2020","24,450.0","24,850.0","25,000.0","24,400.0","8.06M","-0.20%"
"Jun 05, 2020","24,500.0","23,900.0","24,500.0","23,800.0","5.51M","2.08%"
"Jun 04, 2020","24,000.0","24,500.0","24,600.0","23,950.0","5.97M","-1.23%"
"Jun 03, 2020","24,300.0","24,150.0","24,400.0","23,950.0","3.92M","0.83%"
"Jun 02, 2020","24,100.0","24,850.0","24,850.0","23,950.0","5.98M","-1.83%"
"Jun 01, 2020","24,550.0","23,750.0","24,550.0","23,400.0","8.95M","5.14%"
"May 29, 2020","23,350.0","23,100.0","23,400.0","22,950.0","3.70M","1.08%"
"May 28, 2020","23,100.0","23,100.0","23,500.0","22,750.0","6.46M","0.43%"
"May 27, 2020","23,000.0","24,300.0","24,450.0","23,000.0","7.92M","-4.76%"
"May 26, 2020","24,150.0","24,300.0","24,750.0","24,050.0","5.06M","0.63%"
"May 25, 2020","24,000.0","24,000.0","24,250.0","23,600.0","5.17M","-0.62%"
"May 22, 2020","24,150.0","24,700.0","24,750.0","24,100.0","4.84M","-2.23%"
"May 21, 2020","24,700.0","24,500.0","24,750.0","24,150.0","6.69M","0.41%"
"May 20, 2020","24,600.0","24,500.0","24,900.0","24,450.0","4.80M","-1.60%"
"May 19, 2020","25,000.0","26,000.0","26,000.0","24,950.0","7.26M","-0.40%"
"May 18, 2020","25,100.0","23,800.0","25,100.0","23,650.0","11.75M","5.24%"
"May 15, 2020","23,850.0","23,750.0","23,950.0","23,450.0","5.06M","0.85%"
"May 14, 2020","23,650.0","23,700.0","23,900.0","23,350.0","5.06M","-1.05%"
"May 13, 2020","23,900.0","23,700.0","24,200.0","23,050.0","7.31M","-0.62%"
"May 12, 2020","24,050.0","24,200.0","24,200.0","23,350.0","6.83M","-0.21%"
"May 11, 2020","24,100.0","23,200.0","24,150.0","23,200.0","8.51M","5.70%"
"May 08, 2020","22,800.0","21,500.0","22,850.0","21,500.0","14.72M","6.54%"
"May 07, 2020","21,400.0","20,800.0","21,400.0","20,800.0","3.38M","2.64%"
"May 06, 2020","20,850.0","20,350.0","20,850.0","20,300.0","2.65M","2.46%"
"May 05, 2020","20,350.0","20,250.0","20,450.0","20,000.0","2.32M","1.50%"
"May 04, 2020","20,050.0","19,550.0","20,400.0","19,500.0","3.62M","-2.20%"
"Apr 29, 2020","20,500.0","21,000.0","21,100.0","20,500.0","4.67M","-2.38%"
"Apr 28, 2020","21,000.0","20,900.0","21,400.0","20,500.0","2.45M","0.00%"
"Apr 27, 2020","21,000.0","21,900.0","21,900.0","20,950.0","8.93M","2.44%"
"Apr 24, 2020","20,500.0","19,900.0","20,500.0","19,550.0","3.36M","3.02%"
"Apr 23, 2020","19,900.0","20,700.0","20,700.0","19,900.0","3.74M","-1.49%"
"Apr 22, 2020","20,200.0","19,000.0","20,850.0","19,000.0","5.78M","3.32%"
"Apr 21, 2020","19,550.0","20,500.0","20,900.0","19,550.0","5.65M","-6.90%"
"Apr 20, 2020","21,000.0","21,700.0","21,700.0","20,800.0","3.36M","-2.10%"
"Apr 17, 2020","21,450.0","22,000.0","22,200.0","21,150.0","5.01M","-1.38%"
"Apr 16, 2020","21,750.0","21,050.0","21,750.0","21,000.0","3.78M","0.00%"
"Apr 15, 2020","21,750.0","21,750.0","22,600.0","21,500.0","4.99M","2.11%"
"Apr 14, 2020","21,300.0","21,100.0","21,300.0","20,200.0","8.11M","6.77%"
"Apr 13, 2020","19,950.0","19,050.0","19,950.0","19,000.0","4.61M","6.97%"
"Apr 10, 2020","18,650.0","18,600.0","18,800.0","18,200.0","3.40M","-0.80%"
"Apr 09, 2020","18,800.0","18,900.0","19,300.0","18,750.0","5.98M","-0.53%"
"Apr 08, 2020","18,900.0","19,000.0","19,150.0","18,600.0","3.74M","-2.83%"
"Apr 07, 2020","19,450.0","19,000.0","19,450.0","18,650.0","4.31M","3.73%"
"Apr 06, 2020","18,750.0","18,000.0","18,750.0","17,900.0","5.26M","6.84%"
"Apr 03, 2020","17,550.0","17,250.0","17,850.0","17,200.0","3.24M","1.74%"
"Apr 01, 2020","17,250.0","16,950.0","17,500.0","16,000.0","3.69M","1.77%"
"Mar 31, 2020","16,950.0","18,200.0","18,450.0","16,950.0","4.50M","-6.87%"
"Mar 30, 2020","18,200.0","18,200.0","18,400.0","18,200.0","853.20K","-6.91%"
"Mar 27, 2020","19,550.0","19,600.0","19,650.0","18,800.0","4.78M","-0.26%"
"Mar 26, 2020","19,600.0","20,000.0","20,150.0","19,400.0","3.02M","-3.45%"
"Mar 25, 2020","20,300.0","20,400.0","20,500.0","19,700.0","2.77M","4.10%"
"Mar 24, 2020","19,500.0","19,600.0","20,150.0","18,600.0","5.08M","-0.51%"
"Mar 23, 2020","19,600.0","20,200.0","20,200.0","19,600.0","3.49M","-6.89%"
"Mar 20, 2020","21,050.0","20,800.0","21,350.0","20,600.0","2.84M","1.20%"
"Mar 19, 2020","20,800.0","21,000.0","21,000.0","20,100.0","3.83M","-3.48%"
"Mar 18, 2020","21,550.0","21,500.0","21,850.0","20,900.0","3.26M","0.23%"
"Mar 17, 2020","21,500.0","19,600.0","21,700.0","19,500.0","6.24M","2.63%"
"Mar 16, 2020","20,950.0","22,200.0","22,250.0","20,950.0","5.04M","-6.89%"
"Mar 13, 2020","22,500.0","21,000.0","23,050.0","21,000.0","5.36M","-0.22%"
"Mar 12, 2020","22,550.0","22,600.0","23,300.0","22,550.0","3.09M","-6.82%"
"Mar 11, 2020","24,200.0","26,000.0","26,400.0","24,200.0","6.46M","-6.92%"
"Mar 10, 2020","26,000.0","25,600.0","26,500.0","24,550.0","4.66M","1.56%"
"Mar 09, 2020","25,600.0","25,600.0","26,250.0","25,600.0","3.85M","-6.91%"
"Mar 06, 2020","27,500.0","27,400.0","27,700.0","27,200.0","2.15M","-1.26%"
"Mar 05, 2020","27,850.0","27,500.0","28,450.0","27,200.0","4.98M","2.58%"
"Mar 04, 2020","27,150.0","26,950.0","27,300.0","26,550.0","2.99M","0.00%"
"Mar 03, 2020","27,150.0","27,500.0","27,600.0","27,100.0","2.44M","0.93%"
"Mar 02, 2020","26,900.0","27,100.0","27,300.0","26,800.0","3.12M","-1.10%"
"Feb 28, 2020","27,200.0","27,750.0","27,950.0","26,800.0","4.99M","-4.06%"
"Feb 27, 2020","28,350.0","28,000.0","28,550.0","27,850.0","2.91M","0.18%"
"Feb 26, 2020","28,300.0","27,800.0","28,900.0","27,700.0","4.14M","0.00%"
"Feb 25, 2020","28,300.0","26,200.0","28,300.0","26,200.0","6.05M","5.60%"
"Feb 24, 2020","26,800.0","28,000.0","28,300.0","26,800.0","8.08M","-6.94%"
"Feb 21, 2020","28,800.0","28,500.0","29,300.0","28,200.0","4.76M","0.88%"
"Feb 20, 2020","28,550.0","28,150.0","28,550.0","27,950.0","3.99M","2.70%"
"Feb 19, 2020","27,800.0","27,600.0","27,900.0","27,500.0","3.03M","1.46%"
"Feb 18, 2020","27,400.0","27,000.0","27,600.0","26,900.0","2.66M","1.11%"
"Feb 17, 2020","27,100.0","27,100.0","27,300.0","26,750.0","2.80M","-0.18%"
"Feb 14, 2020","27,150.0","27,000.0","27,500.0","26,600.0","5.75M","2.07%"
"Feb 13, 2020","26,600.0","25,650.0","26,600.0","25,350.0","3.72M","2.90%"
"Feb 12, 2020","25,850.0","25,900.0","26,850.0","25,700.0","6.17M","1.77%"
"Feb 11, 2020","25,400.0","24,600.0","25,400.0","24,550.0","4.95M","3.25%"
