"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2020","26,100.0","27,900.0","27,950.0","26,100.0","4.73M","-6.62%"
"Jun 10, 2020","27,950.0","27,600.0","28,000.0","27,200.0","2.12M","0.18%"
"Jun 09, 2020","27,900.0","28,350.0","28,600.0","27,800.0","2.86M","-2.45%"
"Jun 08, 2020","28,600.0","28,800.0","28,900.0","28,250.0","2.83M","0.53%"
"Jun 05, 2020","28,450.0","28,400.0","28,800.0","28,000.0","2.16M","0.18%"
"Jun 04, 2020","28,400.0","28,300.0","28,850.0","28,300.0","2.84M","1.07%"
"Jun 03, 2020","28,100.0","27,400.0","28,100.0","27,100.0","3.34M","1.81%"
"Jun 02, 2020","27,600.0","27,550.0","28,000.0","27,300.0","2.91M","-0.72%"
"Jun 01, 2020","27,800.0","28,000.0","28,050.0","27,650.0","3.99M","1.09%"
"May 29, 2020","27,500.0","26,900.0","28,200.0","26,550.0","7.82M","2.23%"
"May 28, 2020","26,900.0","25,550.0","27,000.0","25,500.0","6.48M","5.49%"
"May 27, 2020","25,500.0","26,600.0","26,650.0","25,500.0","7.07M","-3.77%"
"May 26, 2020","26,500.0","26,600.0","26,800.0","26,250.0","3.97M","1.15%"
"May 25, 2020","26,200.0","25,700.0","26,650.0","25,300.0","3.77M","1.55%"
"May 22, 2020","25,800.0","26,000.0","26,100.0","25,500.0","5.94M","-1.90%"
"May 21, 2020","26,300.0","26,600.0","27,250.0","26,000.0","5.05M","-0.94%"
"May 20, 2020","26,550.0","24,800.0","26,550.0","24,800.0","6.79M","6.63%"
"May 19, 2020","24,900.0","25,000.0","25,800.0","24,600.0","8.31M","1.43%"
"May 18, 2020","24,550.0","24,200.0","24,700.0","24,050.0","2.60M","1.87%"
"May 15, 2020","24,100.0","24,400.0","24,750.0","24,100.0","2.26M","0.21%"
"May 14, 2020","24,050.0","24,200.0","24,350.0","23,900.0","3.95M","-1.84%"
"May 13, 2020","24,500.0","25,000.0","25,100.0","24,500.0","4.04M","-2.97%"
"May 12, 2020","25,250.0","25,000.0","25,400.0","24,950.0","3.65M","-0.79%"
"May 11, 2020","25,450.0","25,600.0","25,650.0","24,800.0","3.52M","0.59%"
"May 08, 2020","25,300.0","25,000.0","25,900.0","25,000.0","4.04M","2.02%"
"May 07, 2020","24,800.0","25,100.0","25,200.0","24,650.0","2.52M","-0.80%"
"May 06, 2020","25,000.0","23,800.0","25,000.0","23,550.0","5.20M","6.16%"
"May 05, 2020","23,550.0","23,500.0","23,850.0","23,500.0","2.48M","0.43%"
"May 04, 2020","23,450.0","22,800.0","23,750.0","22,800.0","1.76M","1.52%"
"Apr 29, 2020","23,100.0","22,600.0","23,350.0","22,600.0","2.66M","1.54%"
"Apr 28, 2020","22,750.0","23,500.0","23,750.0","22,300.0","3.99M","-3.19%"
"Apr 27, 2020","23,500.0","24,200.0","24,200.0","23,450.0","3.42M","-2.08%"
