"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 11, 2020","76,500.0","77,500.0","78,600.0","76,500.0","5.71M","-1.29%"
"Jun 10, 2020","77,500.0","77,600.0","77,800.0","76,900.0","3.22M","-0.13%"
"Jun 09, 2020","77,600.0","78,000.0","78,700.0","77,400.0","2.84M","-0.26%"
"Jun 08, 2020","77,800.0","78,000.0","78,700.0","77,500.0","2.66M","0.65%"
"Jun 05, 2020","77,300.0","77,100.0","77,900.0","76,600.0","2.19M","-0.26%"
"Jun 04, 2020","77,500.0","78,000.0","78,700.0","77,000.0","3.13M","-0.51%"
"Jun 03, 2020","77,900.0","78,000.0","78,300.0","77,400.0","2.66M","0.13%"
"Jun 02, 2020","77,800.0","79,100.0","79,200.0","77,700.0","2.64M","-1.64%"
"Jun 01, 2020","79,100.0","77,400.0","79,500.0","77,300.0","3.25M","3.26%"
"May 29, 2020","76,600.0","75,600.0","77,100.0","75,500.0","3.94M","2.13%"
"May 28, 2020","75,000.0","74,900.0","76,000.0","74,400.0","4.35M","0.40%"
"May 27, 2020","74,700.0","76,500.0","77,600.0","74,600.0","3.77M","-2.23%"
"May 26, 2020","76,400.0","77,500.0","77,900.0","76,400.0","3.00M","-0.52%"
"May 25, 2020","76,800.0","76,400.0","78,500.0","74,800.0","4.66M","0.39%"
"May 22, 2020","76,500.0","77,000.0","77,400.0","75,600.0","2.15M","-1.92%"
"May 21, 2020","78,000.0","77,500.0","78,500.0","76,800.0","2.27M","1.17%"
"May 20, 2020","77,100.0","72,900.0","77,100.0","72,800.0","4.30M","5.33%"
"May 19, 2020","73,200.0","73,000.0","74,700.0","72,300.0","3.69M","1.81%"
"May 18, 2020","71,900.0","71,300.0","72,600.0","70,900.0","1.66M","0.42%"
"May 15, 2020","71,600.0","71,000.0","72,000.0","70,500.0","1.56M","1.42%"
"May 14, 2020","70,600.0","70,900.0","71,400.0","70,400.0","2.27M","-1.12%"
"May 13, 2020","71,400.0","72,600.0","73,000.0","70,900.0","3.37M","-2.86%"
"May 12, 2020","73,500.0","73,300.0","73,900.0","72,000.0","1.77M","0.00%"
"May 11, 2020","73,500.0","71,000.0","73,900.0","70,800.0","2.79M","3.67%"
