tradeDate;Price;OpenPrice;High;Low;Vol.;Change %
Jun 11, 2020;76500.0;77500.0;78600.0;76500.0;5710000.0;-1.29
Jun 10, 2020;77500.0;77600.0;77800.0;76900.0;3220000.0;-0.13
Jun 09, 2020;77600.0;78000.0;78700.0;77400.0;2840000.0;-0.26
Jun 08, 2020;77800.0;78000.0;78700.0;77500.0;2660000.0;0.65
Jun 05, 2020;77300.0;77100.0;77900.0;76600.0;2190000.0;-0.26
Jun 04, 2020;77500.0;78000.0;78700.0;77000.0;3130000.0;-0.51
Jun 03, 2020;77900.0;78000.0;78300.0;77400.0;2660000.0;0.13
Jun 02, 2020;77800.0;79100.0;79200.0;77700.0;2640000.0;-1.64
Jun 01, 2020;79100.0;77400.0;79500.0;77300.0;3250000.0;3.26
May 29, 2020;76600.0;75600.0;77100.0;75500.0;3940000.0;2.13
May 28, 2020;75000.0;74900.0;76000.0;74400.0;4350000.0;0.40
May 27, 2020;74700.0;76500.0;77600.0;74600.0;3770000.0;-2.23
May 26, 2020;76400.0;77500.0;77900.0;76400.0;3000000.0;-0.52
May 25, 2020;76800.0;76400.0;78500.0;74800.0;4660000.0;0.39
May 22, 2020;76500.0;77000.0;77400.0;75600.0;2150000.0;-1.92
May 21, 2020;78000.0;77500.0;78500.0;76800.0;2270000.0;1.17
May 20, 2020;77100.0;72900.0;77100.0;72800.0;4300000.0;5.33
May 19, 2020;73200.0;73000.0;74700.0;72300.0;3690000.0;1.81
May 18, 2020;71900.0;71300.0;72600.0;70900.0;1660000.0;0.42
May 15, 2020;71600.0;71000.0;72000.0;70500.0;1560000.0;1.42
May 14, 2020;70600.0;70900.0;71400.0;70400.0;2270000.0;-1.12
May 13, 2020;71400.0;72600.0;73000.0;70900.0;3370000.0;-2.86
May 12, 2020;73500.0;73300.0;73900.0;72000.0;1770000.0;0.00
May 11, 2020;73500.0;71000.0;73900.0;70800.0;2790000.0;3.67
