tradeDate;Price;OpenPrice;High;Low;Vol.;Change %
Jun 11, 2020;867.37;900.48;903.7;867.37;707460.0;-3.63
Jun 10, 2020;900.0;898.78;902.69;890.3;542870.0;0.06
Jun 09, 2020;899.43;902.26;904.89;898.87;501730.0;-0.05
Jun 08, 2020;899.92;888.7;905.65;888.7;572020.0;1.55
Jun 05, 2020;886.22;883.4;886.59;878.5;499610.0;0.26
Jun 04, 2020;883.9;883.22;888.32;883.22;431120.0;0.31
Jun 03, 2020;881.17;876.73;881.17;874.01;351960.0;0.73
Jun 02, 2020;874.8;879.23;882.73;874.53;484710.0;-0.44
Jun 01, 2020;878.67;868.97;878.67;868.97;476520.0;1.64
May 29, 2020;864.47;861.59;866.95;859.26;318190.0;0.36
May 28, 2020;861.39;858.97;866.17;856.48;322220.0;0.46
May 27, 2020;857.48;869.13;875.35;857.48;388900.0;-1.34
May 26, 2020;869.13;861.47;869.65;860.22;328350.0;1.17
May 25, 2020;859.04;852.9;860.45;849.12;307230.0;0.74
May 22, 2020;852.74;859.29;860.65;852.08;303980.0;-1.16
May 21, 2020;862.73;854.93;862.73;854.04;331910.0;1.15
May 20, 2020;852.91;843.26;852.91;842.21;265770.0;0.83
May 19, 2020;845.92;852.14;854.25;844.15;385270.0;1.06
May 18, 2020;837.01;827.49;837.61;823.08;254050.0;1.21
May 15, 2020;827.03;835.42;838.47;824.59;301890.0;-0.65
May 14, 2020;832.4;830.97;836.19;826.17;341120.0;-0.22
May 13, 2020;834.21;835.32;839.59;815.13;374600.0;-0.13
May 12, 2020;835.32;827.29;835.95;819.66;322210.0;0.84
May 11, 2020;828.33;818.26;828.33;812.48;353420.0;1.79
May 08, 2020;813.73;800.32;825.72;800.2;371340.0;2.16
May 07, 2020;796.54;785.08;796.54;785.08;240800.0;1.78
May 06, 2020;782.59;767.3;782.59;765.37;272450.0;2.41
May 05, 2020;764.16;763.22;767.03;760.04;212380.0;0.22
May 04, 2020;762.47;766.14;769.73;761.64;285570.0;-0.86
Apr 29, 2020;769.11;768.59;772.62;768.19;250080.0;0.25
Apr 28, 2020;767.21;773.31;776.13;763.66;219400.0;-0.46
Apr 27, 2020;770.77;780.65;785.74;770.77;307360.0;-0.76
Apr 24, 2020;776.66;777.28;778.3;767.31;262270.0;0.36
Apr 23, 2020;773.91;768.92;785.6;768.92;205800.0;0.65
Apr 22, 2020;768.92;752.8;774.94;749.97;253440.0;0.27
Apr 21, 2020;766.84;794.97;794.97;761.96;397400.0;-3.54
Apr 20, 2020;794.97;796.17;797.49;786.73;336050.0;0.68
Apr 17, 2020;789.6;786.96;790.95;783.74;309860.0;1.14
Apr 16, 2020;780.7;773.11;781.06;770.91;250940.0;0.45
Apr 15, 2020;777.22;768.05;779.52;768.01;302620.0;1.28
Apr 14, 2020;767.41;769.01;769.53;753.85;266780.0;0.21
Apr 13, 2020;765.79;762.99;774.62;762.53;235280.0;1.04
Apr 10, 2020;757.94;759.08;764.36;751.59;338400.0;-0.31
Apr 09, 2020;760.33;751.08;765.87;751.08;298470.0;1.65
Apr 08, 2020;748.02;740.03;748.36;730.12;252290.0;0.18
Apr 07, 2020;746.69;744.97;749.13;730.28;292970.0;1.35
Apr 06, 2020;736.75;716.22;736.75;715.39;334900.0;4.98
Apr 03, 2020;701.8;687.92;701.8;687.92;233090.0;3.17
Apr 01, 2020;680.23;658.8;684.96;657.41;267020.0;2.67
Mar 31, 2020;662.53;669.74;678.64;649.1;262790.0;0.04
Mar 30, 2020;662.26;663.91;665.56;657.36;233100.0;-4.86
Mar 27, 2020;696.06;692.54;703.22;682.52;327990.0;0.27
Mar 26, 2020;694.21;689.0;700.76;680.1;221850.0;0.57
Mar 25, 2020;690.25;669.76;690.25;667.58;270180.0;4.71
Mar 24, 2020;659.21;666.59;666.59;652.27;245150.0;-1.11
Mar 23, 2020;666.59;694.77;694.77;664.23;280250.0;-6.08
Mar 20, 2020;709.73;728.55;729.35;709.73;230590.0;-2.23
Mar 19, 2020;725.94;732.35;733.43;714.02;353390.0;-2.91
Mar 18, 2020;747.66;747.4;752.65;742.12;259019.99999999997;0.25
Mar 17, 2020;745.78;724.07;750.03;721.84;287280.0;-0.28
Mar 16, 2020;747.86;758.28;758.59;737.58;292250.0;-1.83
Mar 13, 2020;761.78;750.56;764.69;723.42;354710.0;-0.97
Mar 12, 2020;769.25;778.06;778.06;762.12;339230.0;-5.19
Mar 11, 2020;811.35;843.52;844.94;794.54;318570.0;-3.12
Mar 10, 2020;837.5;813.83;843.28;806.63;298020.0;0.24
Mar 09, 2020;835.49;875.8;875.8;834.67;309100.0;-6.28
Mar 06, 2020;891.44;888.96;891.44;882.71;214340.0;-0.21
Mar 05, 2020;893.31;892.71;898.43;891.2;231340.0;0.44
Mar 04, 2020;889.37;887.85;889.85;882.83;238450.0;-0.14
Mar 03, 2020;890.61;895.39;896.39;890.06;212740.0;0.70
Mar 02, 2020;884.43;878.43;886.45;877.31;206640.0;0.25
Feb 28, 2020;882.19;885.47;887.07;872.46;241890.0;-1.81
Feb 27, 2020;898.44;892.15;899.34;889.14;163290.0;0.28
Feb 26, 2020;895.97;901.51;903.27;894.25;142580.0;-1.51
Feb 25, 2020;909.67;893.95;909.67;893.95;221120.0;0.70
Feb 24, 2020;903.34;917.49;917.49;903.34;291880.0;-3.19
Feb 21, 2020;933.09;938.13;940.53;932.32;206750.0;-0.54
Feb 20, 2020;938.13;933.69;938.13;930.41;198340.0;1.01
Feb 19, 2020;928.76;926.41;931.66;925.86;192170.0;0.09
Feb 18, 2020;927.93;934.47;934.98;926.01;187760.0;-0.73
Feb 17, 2020;934.77;938.52;938.52;931.66;183250.0;-0.29
Feb 14, 2020;937.45;939.28;940.65;936.47;204350.0;-0.08
Feb 13, 2020;938.24;937.19;939.1;934.47;177730.0;0.06
Feb 12, 2020;937.68;940.72;943.11;937.34;228040.0;0.32
Feb 11, 2020;934.67;930.73;936.04;930.73;179350.0;0.42
Feb 10, 2020;930.73;934.38;935.87;926.61;153970.0;-1.07
Feb 07, 2020;940.75;938.61;943.48;935.94;194170.0;0.24
Feb 06, 2020;938.54;926.66;938.54;925.21;223670.0;1.36
Feb 05, 2020;925.91;934.75;936.33;921.89;197380.0;-0.34
Feb 04, 2020;929.09;929.42;934.91;919.33;197690.0;0.10
Feb 03, 2020;928.14;916.6;930.37;891.85;275520.0;-0.91
Jan 31, 2020;936.62;959.58;960.96;936.62;253950.0;-2.39
Jan 30, 2020;959.58;975.15;977.72;954.0;198510.0;-3.22
Jan 22, 2020;991.46;986.52;991.46;983.92;152350.0;0.52
Jan 21, 2020;986.37;978.82;986.37;978.82;157670.0;0.79
Jan 20, 2020;978.63;978.23;979.85;975.93;148800.0;-0.03
Jan 17, 2020;978.96;976.28;980.02;973.79;164140.0;0.48
Jan 16, 2020;974.31;967.2;974.7;967.17;201250.0;0.70
Jan 15, 2020;967.56;967.69;967.69;964.84;150040.0;0.06
Jan 14, 2020;967.0;966.26;968.85;965.76;190350.0;0.12
Jan 13, 2020;965.84;966.89;968.63;964.79;147150.0;-0.28
Jan 10, 2020;968.54;961.17;969.71;961.17;222160.0;0.87
Jan 09, 2020;960.15;953.86;960.73;952.16;166150.0;1.18
Jan 08, 2020;948.98;954.13;955.84;945.28;319170.0;-1.03
Jan 07, 2020;958.88;955.79;959.46;953.19;181630.0;0.32
Jan 06, 2020;955.79;962.79;963.2;955.59;187200.0;-0.97
Jan 03, 2020;965.14;968.72;970.88;965.14;174130.0;-0.16
Jan 02, 2020;966.67;960.26;966.67;959.67;200600.0;0.59
Dec 31, 2019;960.99;965.71;965.71;958.22;185240.0;-0.42
Dec 30, 2019;965.03;962.89;967.52;962.47;177740.0;0.16
Dec 27, 2019;963.51;957.7;963.51;954.19;180520.0;0.51
Dec 26, 2019;958.59;960.67;962.11;957.43;265940.0;-0.24
Dec 25, 2019;960.92;958.18;962.83;957.5;238320.0;0.21
Dec 24, 2019;958.88;959.43;959.43;953.29;229670.0;-0.06
Dec 23, 2019;959.43;959.55;960.71;958.07;241520.0;0.32
